time,runtime
0.0000066,1.4998e+00
1.4997987,1.2090e+00
2.7088351,1.1525e+00
3.8613489,1.4528e+00
5.3141670,1.2452e+00
6.5593309,1.2088e+00
7.7681265,1.1374e+00
8.9055424,1.2039e+00
10.1094780,1.5017e+00
11.6111755,1.1568e+00
12.7679605,1.4456e+00
14.2135906,1.4196e+00
15.6331835,1.3982e+00
17.0314198,1.5153e+00
18.5466900,1.3052e+00
19.8518867,1.1513e+00
21.0032330,1.4671e+00
22.4703159,1.4233e+00
23.8936081,1.1405e+00
25.0340786,1.1734e+00
26.2074432,1.4289e+00
27.6363049,1.1936e+00
28.8298664,1.1617e+00
29.9916019,1.2199e+00
31.2114620,1.4216e+00
32.6330757,1.1593e+00
33.7923965,1.1598e+00
34.9521828,1.4112e+00
36.3633423,1.1533e+00
37.5166130,1.4599e+00
38.9764786,1.2168e+00
40.1932335,1.1454e+00
41.3386040,1.4268e+00
42.7653999,1.1612e+00
43.9266205,1.4506e+00
45.3771935,1.1399e+00
46.5171471,1.4140e+00
47.9312019,1.3467e+00
49.2778931,1.4010e+00
50.6788521,1.3432e+00
52.0221024,1.4770e+00
53.4991264,1.4817e+00
54.9808731,1.2707e+00
56.2515602,1.1476e+00
57.3991432,1.1471e+00
58.5462265,1.1437e+00
59.6900024,1.1315e+00
60.8215256,1.1490e+00
61.9705238,1.4735e+00
63.4440460,1.1314e+00
64.5754547,1.3606e+00
65.9360809,1.3985e+00
67.3346100,1.1449e+00
68.4795074,1.3384e+00
69.8179398,1.3950e+00
71.2129822,1.1780e+00
72.3909454,1.1358e+00
73.5267563,1.4208e+00
74.9476013,1.1416e+00
76.0891724,1.1566e+00
77.2457733,1.1380e+00
78.3837738,1.3261e+00
79.7098770,1.3526e+00
81.0625305,1.5509e+00
82.6134491,1.3540e+00
83.9674911,1.1488e+00
85.1162872,1.3389e+00
86.4551849,1.4306e+00
87.8857956,1.3622e+00
89.2480164,1.1590e+00
90.4069824,1.1448e+00
91.5518112,1.3379e+00
92.8897552,1.1348e+00
94.0245361,1.1288e+00
95.1533890,1.1279e+00
96.2813034,1.1563e+00
97.4375839,1.1549e+00
98.5924911,1.2140e+00
99.8065109,1.3520e+00
101.1585464,1.2124e+00
102.3709106,1.4114e+00
103.7823486,1.2138e+00
104.9961624,1.3405e+00
106.3366547,1.3902e+00
107.7268829,1.3403e+00
109.0671616,1.9492e+00
111.0163956,1.3502e+00
112.3665771,1.3514e+00
113.7179642,1.3462e+00
115.0641479,1.1435e+00
116.2076340,1.4440e+00
117.6516342,1.1306e+00
118.7822266,1.1396e+00
119.9218292,1.1642e+00
121.0860672,1.4199e+00
122.5059509,1.1323e+00
123.6382294,1.4155e+00
125.0537262,1.4437e+00
126.4974365,1.3534e+00
127.8508530,1.3509e+00
129.2017517,1.2016e+00
130.4033966,1.1498e+00
131.5531921,1.1915e+00
132.7447052,1.2106e+00
133.9553070,1.3483e+00
135.3035889,1.3532e+00
136.6568146,1.3389e+00
137.9957886,1.3475e+00
139.3432617,1.1554e+00
140.4986725,1.3419e+00
141.8406067,1.3385e+00
143.1791382,1.3523e+00
144.5314178,1.4524e+00
145.9838715,1.2487e+00
147.2325592,1.1288e+00
148.3614044,1.2480e+00
149.6093750,1.4083e+00
151.0176392,1.1390e+00
152.1566162,1.1409e+00
153.2975159,1.2184e+00
154.5159454,1.1558e+00
155.6717682,1.3233e+00
156.9950867,1.1291e+00
158.1242371,1.1566e+00
159.2808685,1.1327e+00
160.4135895,1.3366e+00
161.7501678,1.3508e+00
163.1009674,1.1673e+00
164.2682495,1.3416e+00
165.6098633,1.1412e+00
166.7511292,1.1323e+00
167.8834686,1.1342e+00
169.0177307,1.1500e+00
170.1676941,1.2318e+00
171.3995361,1.4002e+00
172.7997131,1.1523e+00
173.9520569,1.3520e+00
175.3040924,1.1435e+00
176.4475708,1.4174e+00
177.8649750,1.3919e+00
179.2568512,1.1255e+00
180.3823242,1.3362e+00
181.7185516,1.3685e+00
183.0870667,1.1648e+00
184.2518921,1.1452e+00
185.3970642,1.4205e+00
186.8175964,1.1589e+00
187.9764709,1.3621e+00
189.3386078,1.2133e+00
190.5519257,1.1438e+00
191.6957550,1.3513e+00
193.0470886,1.1351e+00
194.1822205,1.1426e+00
195.3248444,1.2684e+00
196.5932007,1.1674e+00
197.7606201,1.1449e+00
198.9055176,1.2467e+00
200.1522217,1.4098e+00
201.5620422,1.2121e+00
202.7741547,1.1631e+00
203.9373016,1.1518e+00
205.0891571,1.4090e+00
206.4981689,1.1552e+00
207.6533356,1.1265e+00
208.7798309,1.3349e+00
210.1147003,1.3419e+00
211.4565887,1.3462e+00
212.8028412,1.3440e+00
214.1468506,1.3690e+00
215.5158234,1.3654e+00
216.8812714,1.1410e+00
218.0222778,1.1403e+00
219.1625519,1.3380e+00
220.5005646,1.1316e+00
221.6321716,1.3533e+00
222.9854584,1.1558e+00
224.1412964,1.1378e+00
225.2790680,1.3377e+00
226.6167908,1.1455e+00
227.7622681,1.3342e+00
229.0964355,1.3292e+00
230.4255981,1.1550e+00
231.5805511,1.1324e+00
