time,runtime
7.4756675,1.7565e+00
9.2321339,1.4844e+00
10.7165318,1.8343e+00
12.5507917,1.8990e+00
14.4497795,1.4740e+00
15.9237909,1.6815e+00
17.6052895,1.8419e+00
19.4471970,1.8744e+00
21.3215752,1.4409e+00
22.7625179,1.4685e+00
24.2309818,1.7042e+00
25.9351673,1.7369e+00
27.6720734,1.7588e+00
29.4308681,1.4922e+00
30.9231148,1.8329e+00
32.7559891,1.7147e+00
34.4707375,1.7035e+00
36.1742859,1.8851e+00
38.0593910,1.9179e+00
39.9773178,1.8316e+00
41.8088913,1.6529e+00
43.4617653,1.3957e+00
44.8575058,1.7205e+00
46.5780563,1.3994e+00
47.9774132,1.7756e+00
49.7529716,1.8406e+00
51.5936012,1.5836e+00
53.1772423,1.3870e+00
54.5642090,1.7647e+00
56.3289261,1.3265e+00
57.6554527,1.7822e+00
59.4376793,1.4642e+00
60.9019089,1.5529e+00
62.4547882,1.5575e+00
64.0122604,1.5229e+00
65.5352097,1.8221e+00
67.3573303,1.4793e+00
68.8366165,1.9060e+00
70.7426682,1.6132e+00
72.3558655,1.5136e+00
73.8695068,1.6902e+00
75.5597458,1.3697e+00
76.9294586,1.6042e+00
78.5336304,1.5214e+00
80.0550690,1.6829e+00
81.7379684,1.8908e+00
83.6287766,1.6400e+00
85.2687912,1.3244e+00
86.5932388,1.3981e+00
87.9913483,1.4715e+00
89.4628448,1.6307e+00
91.0935516,1.4851e+00
92.5786133,1.4511e+00
94.0297241,1.4514e+00
95.4811783,1.4645e+00
96.9456940,1.3407e+00
98.2864227,1.8679e+00
100.1543045,1.6910e+00
101.8452911,1.6206e+00
103.4659424,1.7136e+00
105.1795273,1.5524e+00
106.7319031,1.6588e+00
108.3907547,1.3272e+00
109.7179337,1.7514e+00
111.4693069,1.7935e+00
113.2628326,1.1537e+00
114.4165421,1.4776e+00
115.8941193,1.4698e+00
117.3639603,1.4717e+00
118.8356781,1.6414e+00
120.4770737,1.4959e+00
121.9729691,1.4356e+00
123.4085541,1.6481e+00
125.0566940,1.3392e+00
126.3959351,1.3678e+00
127.7637558,1.6774e+00
129.4411926,1.4889e+00
130.9301453,1.4901e+00
132.4202881,1.6883e+00
134.1085510,1.5665e+00
135.6750488,1.4600e+00
137.1350861,1.4727e+00
138.6077728,1.4555e+00
140.0632324,1.6670e+00
141.7302246,1.5578e+00
143.2879944,1.7817e+00
145.0696869,1.7280e+00
146.7977448,1.3059e+00
148.1036224,1.5440e+00
149.6475983,1.6712e+00
151.3188477,1.4486e+00
152.7674866,1.5651e+00
154.3326111,1.5672e+00
155.8998413,1.2291e+00
157.1289825,1.2737e+00
158.4026642,1.2948e+00
159.6974182,1.2258e+00
160.9232330,1.2091e+00
162.1323700,1.2689e+00
163.4012451,1.3133e+00
164.7145233,1.3687e+00
166.0831757,1.1749e+00
167.2580414,1.1824e+00
168.4403839,1.3097e+00
169.7500763,1.2283e+00
170.9783783,1.1932e+00
172.1716003,1.2735e+00
173.4450836,1.2299e+00
174.6749573,1.4309e+00
176.1058350,1.2752e+00
177.3809814,1.2027e+00
178.5836792,1.2675e+00
179.8511505,1.3119e+00
181.1630096,1.2780e+00
182.4410248,1.3591e+00
183.8001404,1.2060e+00
185.0061798,1.2653e+00
186.2715149,1.2328e+00
187.5043182,1.3037e+00
188.8080597,1.2327e+00
190.0407715,1.2696e+00
191.3104095,1.2017e+00
192.5121002,1.1947e+00
193.7068329,1.3447e+00
195.0515289,1.2360e+00
196.2875671,1.3312e+00
197.6187439,1.3256e+00
198.9443359,1.1789e+00
200.1232300,1.1678e+00
201.2910004,1.2904e+00
202.5814514,1.3507e+00
203.9321594,1.3190e+00
205.2511444,1.2224e+00
206.4736023,1.2071e+00
207.6807098,1.3899e+00
209.0706329,1.1909e+00
210.2615356,1.2259e+00
211.4874725,1.2590e+00
212.7464600,1.1864e+00
213.9328918,1.1742e+00
215.1071167,1.2542e+00
216.3612823,1.1780e+00
217.5393066,1.3160e+00
218.8552856,1.2820e+00
220.1373291,1.2242e+00
221.3615417,1.2690e+00
222.6305542,1.2194e+00
223.8499146,1.2120e+00
225.0619507,1.2579e+00
226.3198547,1.3724e+00
227.6922302,1.2730e+00
228.9652252,1.3515e+00
230.3166962,1.4353e+00
231.7519836,1.3653e+00
233.1173248,1.2012e+00
234.3185425,1.1852e+00
235.5037231,1.2036e+00
236.7073669,1.1532e+00
237.8605957,1.1757e+00
239.0362854,1.2145e+00
240.2508087,1.2342e+00
241.4850311,1.2363e+00
242.7213593,1.1697e+00
243.8910522,1.1790e+00
245.0700226,1.2082e+00
246.2782593,1.2069e+00
247.4851379,1.1875e+00
248.6726990,1.2477e+00
249.9204559,1.1850e+00
251.1054688,1.1953e+00
252.3007660,1.2678e+00
253.5685883,1.3821e+00
254.9506989,1.2104e+00
256.1611023,1.2064e+00
257.3674927,1.2075e+00
258.5750122,1.2264e+00
259.8013611,1.3265e+00
261.1278992,1.1877e+00
262.3156128,1.1834e+00
263.4989929,1.2731e+00
264.7721252,1.1980e+00
265.9700623,1.1914e+00
267.1614380,1.2037e+00
268.3652039,1.2620e+00
269.6271973,1.1744e+00
270.8016357,1.1992e+00
272.0008240,1.3902e+00
273.3910217,1.2434e+00
274.6344299,1.2668e+00
275.9011841,1.2947e+00
277.1959229,1.3014e+00
278.4973450,1.2354e+00
279.7327576,1.2011e+00
280.9338684,1.2147e+00
282.1485901,1.2647e+00
283.4132385,1.1885e+00
284.6017151,1.1933e+00
285.7950439,1.2420e+00
287.0370789,1.2285e+00
288.2656250,1.2016e+00
289.4672546,1.1840e+00
290.6512756,1.1802e+00
291.8314819,1.1883e+00
293.0197449,1.1965e+00
294.2163086,1.1889e+00
295.4051819,1.3520e+00
296.7572021,1.2174e+00
297.9746094,1.1774e+00
299.1520386,1.1525e+00
300.3045044,1.2658e+00
301.5702820,1.1712e+00
302.7414246,1.2851e+00
304.0265198,1.1859e+00
305.2124329,1.2838e+00
306.4962158,1.2251e+00
307.7213135,1.2729e+00
308.9942017,1.1865e+00
310.1807556,1.1694e+00
311.3501892,1.1809e+00
312.5311279,1.1709e+00
313.7020874,1.1597e+00
314.8617554,1.2599e+00
316.1216125,1.1326e+00
317.2542419,1.2494e+00
318.5036621,1.2205e+00
319.7241821,1.1754e+00
320.8995972,1.2432e+00
322.1427917,1.2601e+00
323.4029541,1.2270e+00
324.6299744,1.2029e+00
325.8328857,1.2708e+00
327.1037292,1.2947e+00
328.3984070,1.3054e+00
329.7038269,1.1819e+00
330.8857727,1.1827e+00
332.0684814,1.2610e+00
333.3294678,1.1636e+00
334.4931335,1.3168e+00
335.8099060,1.2726e+00
337.0825500,1.1777e+00
338.2603149,1.2890e+00
339.5493469,1.2587e+00
340.8079834,1.2409e+00
342.0488586,1.2347e+00
343.2835388,1.2831e+00
344.5666199,1.2867e+00
345.8533325,1.1611e+00
347.0144348,1.1695e+00
348.1839294,1.2300e+00
349.4139099,1.1971e+00
350.6109619,1.2031e+00
351.8140259,1.1740e+00
352.9880981,1.3007e+00
354.2887878,1.2578e+00
355.5466309,1.1811e+00
356.7277527,1.1830e+00
357.9107361,1.1683e+00
359.0790100,1.2035e+00
360.2825317,1.2555e+00
361.5379944,1.2938e+00
362.8318176,1.2933e+00
364.1251526,1.2470e+00
365.3721924,1.1949e+00
366.5670776,1.1737e+00
367.7407532,1.1502e+00
368.8909607,1.2173e+00
370.1082458,1.2221e+00
371.3303223,1.2898e+00
372.6201477,1.3295e+00
373.9496155,1.2638e+00
