time,runtime
0.0000041,2.5292e-01
0.2529350,2.3600e-01
0.4889432,3.0906e-01
0.7980052,2.4654e-01
1.0445546,1.5238e-01
1.1969424,1.4315e-01
1.3400975,2.5252e-01
1.5926247,2.0495e-01
1.7975800,1.5219e-01
1.9497751,1.7063e-01
2.1204073,1.8905e-01
2.3094676,2.4090e-01
2.5503767,1.5977e-01
2.7101543,2.1616e-01
2.9263172,1.6767e-01
3.0939963,2.1508e-01
3.3090811,1.7086e-01
3.4799440,1.6186e-01
3.6418042,1.2420e-01
3.7660096,1.3659e-01
3.9026103,1.2578e-01
4.0283980,1.6272e-01
4.1911263,1.9257e-01
4.3837018,1.8523e-01
4.5689330,1.3822e-01
4.7071528,1.7364e-01
4.8807926,1.7932e-01
5.0601201,1.4316e-01
5.2032857,1.6045e-01
5.3637447,1.3750e-01
5.5012541,2.1325e-01
5.7145104,1.8304e-01
5.8975568,1.6792e-01
6.0654860,1.7444e-01
6.2399344,2.3339e-01
6.4733315,1.6719e-01
6.6405220,1.7468e-01
6.8152041,1.5586e-01
6.9710722,2.1641e-01
7.1874862,2.0182e-01
7.3893104,1.4608e-01
7.5353951,2.6226e-01
7.7976613,1.5045e-01
7.9481120,1.6216e-01
8.1102753,1.1713e-01
8.2274122,1.4030e-01
8.3677168,1.5717e-01
8.5248909,1.1837e-01
8.6432619,2.0931e-01
8.8525801,1.8545e-01
9.0380335,1.3241e-01
9.1704435,1.4494e-01
9.3153877,2.0197e-01
9.5173616,1.5332e-01
9.6706800,1.5843e-01
9.8291149,1.9119e-01
10.0203085,1.7652e-01
10.1968355,2.0336e-01
10.4002066,1.7793e-01
10.5781393,1.6462e-01
10.7427578,1.8799e-01
10.9307566,1.6212e-01
11.0928860,1.6190e-01
11.2547932,1.4012e-01
11.3949137,1.4502e-01
11.5399446,1.6419e-01
11.7041368,1.4406e-01
11.8482027,1.9515e-01
12.0433598,1.7073e-01
12.2140913,1.5718e-01
12.3712797,2.1393e-01
12.5852118,1.7071e-01
12.7559280,1.3706e-01
12.8929958,1.4879e-01
13.0417967,1.9870e-01
13.2405033,1.9296e-01
13.4334717,1.3303e-01
13.5665054,1.4358e-01
13.7100878,1.6226e-01
13.8723583,1.7067e-01
14.0430365,1.9371e-01
14.2367516,3.0056e-01
14.5373144,1.6660e-01
14.7039194,1.4689e-01
14.8508167,1.5624e-01
15.0070610,1.7087e-01
15.1779375,1.4981e-01
15.3277502,1.3167e-01
15.4594259,1.3647e-01
15.5959015,1.5433e-01
15.7502403,2.3645e-01
15.9866934,1.5147e-01
16.1381626,1.4502e-01
16.2831860,1.3986e-01
16.4230480,1.8152e-01
16.6045723,1.1993e-01
16.7245064,1.6029e-01
16.8848019,1.8701e-01
17.0718174,1.4697e-01
17.2187939,2.1500e-01
17.4338017,1.6452e-01
17.5983238,3.2744e-01
17.9257717,2.0775e-01
18.1335278,1.7887e-01
18.3124084,1.6869e-01
18.4810982,1.7969e-01
18.6607914,1.6422e-01
18.8250179,1.5305e-01
18.9780731,2.0771e-01
19.1857910,1.9334e-01
19.3791409,1.7929e-01
19.5584393,2.1042e-01
19.7688618,2.7471e-01
20.0435829,2.4214e-01
20.2857285,2.0084e-01
20.4865780,1.7487e-01
20.6614475,1.9748e-01
20.8589287,1.9659e-01
21.0555267,1.5850e-01
21.2140369,1.4799e-01
21.3620338,1.9176e-01
21.5537987,1.5050e-01
21.7043037,1.5187e-01
21.8561821,1.4696e-01
22.0031433,1.3768e-01
22.1408272,1.6833e-01
22.3091660,2.2272e-01
22.5318928,1.8348e-01
22.7153816,1.1145e-01
22.8268356,1.6226e-01
22.9891014,2.3414e-01
23.2232494,1.8750e-01
23.4107533,1.9565e-01
23.6064053,1.4552e-01
23.7519360,1.5401e-01
23.9059544,2.6593e-01
24.1718941,1.6007e-01
24.3319683,1.6763e-01
24.4996033,1.5963e-01
24.6592388,1.7260e-01
24.8318405,1.7274e-01
25.0045834,2.2556e-01
25.2301445,1.7704e-01
25.4071846,1.7717e-01
25.5843563,1.5620e-01
25.7405586,2.3317e-01
25.9737301,1.7333e-01
26.1470604,1.5855e-01
26.3056145,1.9212e-01
26.4977436,1.4566e-01
26.6434059,2.0568e-01
26.8490906,1.7468e-01
27.0237751,1.7411e-01
27.1978912,1.4923e-01
27.3471279,1.6447e-01
27.5115986,1.4052e-01
27.6521282,2.9265e-01
27.9447784,2.7026e-01
28.2150497,1.8969e-01
28.4047470,1.4708e-01
28.5518742,1.3642e-01
28.6882992,2.1338e-01
28.9016876,1.5108e-01
29.0527687,1.7365e-01
29.2264214,1.4093e-01
29.3673611,1.9175e-01
29.5591145,1.4090e-01
29.7000179,1.6437e-01
29.8643913,1.5665e-01
30.0210419,1.6560e-01
30.1866493,1.5862e-01
30.3452740,1.5997e-01
30.5052528,1.7628e-01
30.6815357,1.5507e-01
30.8366089,1.5641e-01
30.9930248,2.2646e-01
31.2194862,1.6841e-01
31.3878994,1.8716e-01
31.5750656,1.3666e-01
31.7117290,1.7532e-01
31.8870525,1.5785e-01
32.0449104,1.8998e-01
32.2349014,1.7053e-01
32.4054298,1.5688e-01
32.5623131,2.1472e-01
32.7770386,2.4017e-01
33.0172234,2.4422e-01
33.2614441,1.5526e-01
33.4167023,1.5710e-01
33.5738068,1.9949e-01
33.7733040,1.4407e-01
33.9173813,1.1930e-01
34.0366821,1.3767e-01
34.1743584,1.3855e-01
34.3129158,1.4014e-01
34.4530602,1.2434e-01
34.5774040,1.9468e-01
34.7720871,1.8551e-01
34.9575996,1.8053e-01
35.1381378,1.9329e-01
35.3314362,1.9526e-01
35.5266953,2.3207e-01
35.7587662,1.6882e-01
35.9275932,2.3125e-01
36.1588516,1.3236e-01
36.2912216,1.5073e-01
36.4419556,2.0016e-01
36.6421165,1.8540e-01
36.8275146,1.6004e-01
36.9875641,1.6093e-01
37.1485062,1.5871e-01
37.3072205,1.6047e-01
37.4676971,1.6620e-01
37.6338959,1.7424e-01
37.8081398,1.5252e-01
37.9606628,1.8806e-01
38.1487274,1.3651e-01
38.2852631,1.8713e-01
38.4724007,2.1441e-01
38.6868210,1.6972e-01
38.8565483,2.3303e-01
39.0895882,2.3963e-01
39.3292274,2.2644e-01
39.5556717,1.5346e-01
39.7091370,1.9923e-01
39.9083710,1.5686e-01
40.0652351,1.4588e-01
40.2111168,1.9869e-01
40.4098129,1.7140e-01
40.5812187,1.5298e-01
40.7342033,1.4257e-01
40.8767853,2.4279e-01
41.1195831,1.8687e-01
41.3064537,1.7959e-01
41.4860458,1.4819e-01
41.6342392,1.4365e-01
41.7778931,1.8551e-01
41.9634132,1.6767e-01
42.1310883,1.7413e-01
42.3052216,4.1005e-01
42.7152786,1.6510e-01
42.8803825,1.7220e-01
43.0525894,1.6933e-01
43.2219276,1.7270e-01
43.3946304,1.8222e-01
43.5768547,1.7981e-01
43.7566719,1.5197e-01
43.9086418,1.2698e-01
44.0356293,1.6536e-01
44.2009964,1.4785e-01
44.3488503,1.3176e-01
44.4806099,2.1355e-01
44.6941719,1.6707e-01
44.8612442,1.5656e-01
45.0178146,1.6135e-01
45.1791725,1.4320e-01
45.3223763,1.6526e-01
45.4876404,1.6349e-01
45.6511345,1.5322e-01
45.8043594,1.7684e-01
