time,runtime
2.8474908,1.2289e-01
2.9703877,1.7561e+00
4.7265210,1.1849e-01
4.8450127,1.1816e-01
4.9631715,9.4629e-01
5.9094682,1.2130e-01
6.0307727,1.2265e-01
6.1534214,1.7343e+00
7.8877587,9.1978e-01
8.8075447,1.1821e-01
8.9257555,1.3429e-01
9.0600529,1.1551e-01
9.1755676,1.1818e-01
9.2937508,1.2035e-01
9.4141026,1.3433e-01
9.5484314,1.2268e-01
9.6711130,9.2081e-01
10.5919218,1.2169e-01
10.7136135,1.3001e-01
10.8436308,1.1602e-01
10.9596529,1.1588e-01
11.0755329,1.2815e-01
11.2036829,1.1672e-01
11.3204079,1.2373e-01
11.4441462,1.2696e-01
11.5711079,1.1916e-01
11.6902714,1.1916e-01
11.8094301,1.1926e-01
11.9286909,1.5026e-01
12.0789499,1.1902e-01
12.1979685,1.2202e-01
12.3199940,1.2196e-01
12.4419584,1.6180e-01
12.6037655,1.2564e-01
12.7294111,1.2226e-01
12.8516712,1.2609e-01
12.9777603,1.2085e-01
13.0986176,1.2288e-01
13.2215014,1.2537e-01
13.3468771,1.1933e-01
13.4662066,1.6271e-01
13.6289196,1.2059e-01
13.7495165,1.2348e-01
13.8730021,1.6014e-01
14.0331478,1.1871e-01
14.1518631,1.2304e-01
14.2749014,1.2051e-01
14.3954124,1.1755e-01
14.5129662,1.1842e-01
14.6313944,1.2069e-01
14.7520876,1.2600e-01
14.8780909,1.2723e-01
15.0053272,1.1722e-01
15.1225452,1.1470e-01
15.2372522,1.2351e-01
15.3607693,1.2089e-01
15.4816628,1.2897e-01
15.6106367,1.1781e-01
15.7284527,1.2223e-01
15.8506889,1.2326e-01
15.9739532,1.2791e-01
16.1018658,1.2059e-01
16.2224541,9.0367e-01
17.1261311,1.1752e-01
17.2436581,1.3265e-01
17.3763084,1.2478e-01
17.5011024,1.2602e-01
17.6271229,1.2224e-01
17.7493668,1.1983e-01
17.8692017,1.2253e-01
17.9917374,1.2570e-01
18.1174450,1.2591e-01
18.2433643,1.2367e-01
18.3670349,1.3542e-01
18.5024643,1.1936e-01
18.6218300,1.2236e-01
18.7441902,1.2297e-01
18.8671627,1.1795e-01
18.9851151,1.2617e-01
19.1112900,1.3013e-01
19.2414265,1.1562e-01
19.3570442,1.2164e-01
19.4786873,1.4684e-01
19.6255302,1.2338e-01
19.7489166,1.2498e-01
19.8738995,1.3124e-01
20.0051422,1.2614e-01
20.1312866,1.2718e-01
20.2584686,1.3743e-01
20.3959026,1.2555e-01
20.5214558,1.2341e-01
20.6448727,1.2723e-01
20.7721233,1.2749e-01
20.8996181,1.2151e-01
21.0211334,1.2342e-01
21.1445541,1.3315e-01
21.2777081,1.2247e-01
21.4001846,1.2398e-01
21.5241680,1.3283e-01
21.6570034,1.2188e-01
21.7788868,1.1845e-01
21.8973408,1.1797e-01
22.0153141,1.2421e-01
22.1395321,1.2648e-01
22.2660160,1.2273e-01
22.3887482,1.2500e-01
22.5137539,1.2349e-01
22.6372433,1.2193e-01
22.7591763,1.3015e-01
22.8893318,1.2441e-01
23.0137463,1.1783e-01
23.1315765,1.2431e-01
23.2558937,1.2210e-01
23.3780003,1.4143e-01
23.5194302,1.2722e-01
23.6466484,1.3153e-01
23.7781830,1.4360e-01
23.9217873,1.2375e-01
24.0455418,1.3306e-01
24.1786060,1.2600e-01
24.3046074,1.3022e-01
24.4348278,1.3512e-01
24.5699539,1.3328e-01
24.7032413,1.2509e-01
24.8283310,1.1963e-01
24.9479656,1.3172e-01
25.0796909,1.9104e-01
25.2707348,1.2016e-01
25.3908958,1.2593e-01
25.5168266,1.2135e-01
25.6381760,1.2338e-01
25.7615547,1.2193e-01
25.8834896,1.2316e-01
26.0066547,1.2321e-01
26.1298676,1.2549e-01
26.2553558,1.4510e-01
26.4004612,1.2750e-01
26.5279598,1.2706e-01
26.6550255,1.2164e-01
26.7766705,1.2031e-01
26.8969879,1.2531e-01
27.0223007,1.2399e-01
27.1462994,1.3245e-01
27.2787495,1.2087e-01
27.3996220,1.2097e-01
27.5205975,1.3384e-01
27.6544418,1.1942e-01
27.7738609,1.2714e-01
27.9010010,1.2199e-01
28.0229931,1.2939e-01
28.1523800,1.2268e-01
28.2750664,1.2313e-01
28.3982048,1.2348e-01
28.5216904,1.2317e-01
28.6448631,1.2395e-01
28.7688160,1.2762e-01
28.8964367,1.2095e-01
29.0173893,1.9563e-01
29.2130280,1.2550e-01
29.3385353,1.1987e-01
29.4584084,1.1821e-01
29.5766258,1.2450e-01
29.7011280,1.3052e-01
29.8316536,1.1874e-01
29.9503975,1.1940e-01
30.0697975,1.5993e-01
30.2297268,1.2299e-01
30.3527279,1.2830e-01
30.4810295,1.2824e-01
30.6092796,1.2494e-01
30.7342262,1.2380e-01
30.8580303,1.2450e-01
30.9825344,1.2304e-01
31.1055794,1.2937e-01
31.2349472,1.2287e-01
31.3578186,1.2654e-01
31.4843655,1.2060e-01
31.6049652,1.2267e-01
31.7276344,1.2330e-01
31.8509388,1.2635e-01
31.9772930,1.2982e-01
32.1071205,1.3650e-01
32.2436218,1.2816e-01
32.3717880,1.2305e-01
32.4948425,1.3577e-01
32.6306114,1.2292e-01
32.7535324,1.2544e-01
32.8789749,1.2366e-01
33.0026360,1.2072e-01
33.1233559,1.3482e-01
33.2581749,1.1748e-01
33.3756599,1.2436e-01
33.5000229,1.2014e-01
33.6201668,1.3775e-01
33.7579193,1.2060e-01
33.8785172,1.3117e-01
34.0096970,1.2288e-01
34.1325798,1.2296e-01
34.2555428,1.3275e-01
34.3882942,1.2145e-01
34.5097504,1.2063e-01
34.6303864,1.3245e-01
34.7628365,1.2061e-01
34.8834457,1.2286e-01
35.0063057,1.2192e-01
35.1282310,1.2482e-01
35.2530479,1.3075e-01
35.3838043,1.2676e-01
35.5105629,1.2104e-01
35.6316071,1.2206e-01
35.7536736,1.3372e-01
35.8874016,1.2079e-01
36.0081978,1.5070e-01
36.1589050,1.6177e-01
36.3206863,1.2236e-01
36.4430428,1.2882e-01
36.5718689,1.2168e-01
36.6935463,1.2404e-01
36.8175888,1.2524e-01
36.9428291,1.2011e-01
37.0629463,1.2563e-01
37.1885796,1.2597e-01
37.3145485,1.2901e-01
37.4435616,1.2291e-01
37.5664711,1.2012e-01
37.6865997,1.2351e-01
37.8101120,1.2331e-01
37.9334221,1.3448e-01
38.0679054,1.2792e-01
38.1958237,1.3038e-01
38.3262100,1.2959e-01
38.4557991,1.2113e-01
38.5769310,1.2798e-01
38.7049179,1.5285e-01
38.8577728,1.2853e-01
38.9863091,1.4412e-01
39.1304283,1.3295e-01
39.2633858,1.2361e-01
39.3869972,1.2472e-01
39.5117188,1.2252e-01
39.6342430,1.3018e-01
39.7644272,1.2718e-01
39.8916130,1.2676e-01
40.0183792,1.1955e-01
40.1379280,1.2342e-01
40.2613564,1.2241e-01
40.3837662,1.1996e-01
40.5037270,1.3039e-01
40.6341171,1.2210e-01
40.7562218,1.2154e-01
40.8777618,1.2466e-01
41.0024261,1.1813e-01
41.1205597,2.1790e-01
41.3384628,1.1738e-01
41.4558411,1.3227e-01
41.5881119,1.2529e-01
41.7134018,1.1932e-01
41.8327293,1.2267e-01
41.9554024,1.1961e-01
42.0750160,1.3327e-01
42.2082939,1.2158e-01
42.3298759,1.3024e-01
42.4601135,1.3342e-01
42.5935364,1.3305e-01
42.7265892,1.2028e-01
42.8468742,1.2056e-01
42.9674339,1.2397e-01
43.0914040,1.2051e-01
43.2119179,1.1768e-01
43.3296013,1.2233e-01
43.4519386,1.3183e-01
43.5837746,1.2163e-01
43.7054100,1.2345e-01
43.8288574,1.1955e-01
43.9484100,1.2514e-01
44.0735512,1.2262e-01
44.1961708,1.2881e-01
44.3249855,1.2349e-01
44.4484825,1.2486e-01
44.5733490,1.1939e-01
44.6927376,1.2488e-01
44.8176155,1.2451e-01
44.9421272,1.2111e-01
45.0632362,1.2272e-01
45.1859627,1.1724e-01
45.3032074,1.2259e-01
45.4257965,1.2081e-01
45.5466042,1.1764e-01
45.6642456,1.2218e-01
45.7864265,1.2041e-01
45.9068451,1.2563e-01
46.0324783,1.2097e-01
46.1534500,1.2538e-01
46.2788391,1.3060e-01
46.4094429,1.2371e-01
46.5331573,1.2159e-01
46.6547470,1.2474e-01
46.7794914,1.2637e-01
46.9058647,1.2488e-01
47.0307503,1.2867e-01
47.1594200,1.2000e-01
47.2794228,1.2284e-01
47.4022636,1.2992e-01
47.5321846,1.2081e-01
47.6529922,1.2530e-01
47.7782974,1.2677e-01
47.9050751,1.1948e-01
48.0245590,1.1698e-01
48.1415405,1.2670e-01
48.2682419,1.2199e-01
48.3902359,1.1869e-01
48.5089264,1.2708e-01
48.6360092,1.2436e-01
48.7603722,1.2104e-01
48.8814201,1.1813e-01
48.9995575,1.3316e-01
49.1327248,1.2152e-01
49.2542458,1.2203e-01
49.3762779,1.2124e-01
49.4975166,1.2084e-01
49.6183586,1.2528e-01
49.7436409,1.2060e-01
49.8642502,1.1884e-01
49.9830894,1.2662e-01
50.1097145,1.1514e-01
50.2248611,1.2359e-01
50.3484535,1.3021e-01
50.4786644,1.2224e-01
50.6009140,1.2794e-01
50.7288551,1.2065e-01
50.8495026,1.2389e-01
50.9733925,1.3016e-01
51.1035538,1.1940e-01
51.2229614,1.2623e-01
51.3492012,1.3005e-01
51.4792557,1.2494e-01
51.6041946,1.2280e-01
51.7269974,1.6264e-01
51.8896370,1.1711e-01
52.0067520,1.2254e-01
52.1292915,1.2547e-01
52.2547607,1.2139e-01
52.3761482,1.2024e-01
52.4963875,1.2521e-01
52.6215973,1.2164e-01
52.7432442,1.2567e-01
52.8689194,1.2765e-01
52.9965744,1.2082e-01
53.1173973,1.2027e-01
53.2376709,1.2902e-01
53.3666954,1.2412e-01
53.4908180,1.1998e-01
53.6108055,1.2755e-01
53.7383614,1.2089e-01
53.8592529,1.2229e-01
53.9815445,1.1660e-01
54.0981483,1.2266e-01
54.2208099,1.2511e-01
54.3459244,1.2358e-01
54.4695129,1.3010e-01
54.5996170,1.1821e-01
54.7178268,1.1963e-01
54.8374596,1.2262e-01
54.9600830,1.2310e-01
55.0831871,1.2048e-01
55.2036743,1.2167e-01
55.3253441,1.2196e-01
55.4473152,1.2901e-01
55.5763283,1.2530e-01
55.7016258,1.2725e-01
55.8288841,1.3949e-01
55.9683723,1.7338e-01
56.1417580,1.1938e-01
56.2611427,1.2123e-01
56.3823776,1.2360e-01
56.5059814,1.2778e-01
56.6337662,1.2388e-01
56.7576447,1.2705e-01
56.8846931,1.1918e-01
57.0038757,1.2763e-01
57.1315041,1.2334e-01
57.2548523,1.2676e-01
57.3816185,1.2217e-01
57.5037918,1.2178e-01
57.6255684,1.2194e-01
57.7475090,1.2472e-01
57.8722343,1.3002e-01
58.0022583,1.2544e-01
58.1277008,1.2364e-01
58.2513504,1.1713e-01
58.3684845,1.2364e-01
58.4921265,1.2732e-01
58.6194496,1.2592e-01
58.7453766,1.2761e-01
58.8729858,1.2498e-01
58.9979706,1.2951e-01
59.1274872,1.2657e-01
59.2540550,1.1985e-01
59.3739052,1.2220e-01
59.4961090,1.1695e-01
59.6130600,1.2247e-01
59.7355270,1.3794e-01
59.8734665,1.3266e-01
60.0061302,1.3035e-01
60.1364861,1.3093e-01
60.2674141,1.2508e-01
60.3924942,1.2710e-01
60.5195923,1.3680e-01
60.6563950,1.2086e-01
60.7772598,1.2809e-01
60.9053497,1.2337e-01
61.0287247,1.2368e-01
61.1524086,1.2659e-01
61.2790070,1.2931e-01
61.4083138,1.2444e-01
61.5327568,1.2045e-01
61.6532135,1.2253e-01
61.7757454,1.2182e-01
61.8975716,1.2632e-01
62.0238914,1.2690e-01
62.1507950,1.2845e-01
62.2792435,1.2079e-01
62.4000359,1.2521e-01
62.5252457,1.3680e-01
62.6620445,1.2674e-01
62.7887917,1.2234e-01
62.9111366,1.2476e-01
63.0359039,1.3569e-01
63.1715927,1.2266e-01
63.2942543,1.2532e-01
63.4195747,1.1706e-01
63.5366364,1.2143e-01
63.6580696,1.1999e-01
63.7780647,1.2587e-01
63.9039421,1.1971e-01
64.0236588,1.2018e-01
64.1438370,1.2289e-01
64.2667313,1.2366e-01
64.3903885,1.2255e-01
64.5129395,1.2206e-01
64.6350021,1.2573e-01
