time,runtime
0.0000024,1.8752e-01
0.1875287,1.8771e-01
0.3752405,1.9311e-01
0.5683486,1.8772e-01
0.7560689,1.8907e-01
0.9451460,1.9090e-01
1.1360471,1.8792e-01
1.3239651,1.8815e-01
1.5121223,1.8972e-01
1.7018486,1.8852e-01
1.8903762,1.8787e-01
2.0782540,1.8859e-01
2.2668424,1.8820e-01
2.4550440,1.8902e-01
2.6440644,1.9287e-01
2.8369405,1.9834e-01
3.0352795,1.9042e-01
3.2257009,2.0405e-01
3.4297519,1.9618e-01
3.6259291,1.8818e-01
3.8141088,1.8877e-01
4.0028834,1.8897e-01
4.1918597,1.8792e-01
4.3797812,1.9175e-01
4.5715432,1.9076e-01
4.7623076,1.8778e-01
4.9500880,1.8803e-01
5.1381187,1.8891e-01
5.3270364,1.9695e-01
5.5239902,1.8781e-01
5.7118025,1.8775e-01
5.8995595,1.8813e-01
6.0876904,1.9508e-01
6.2827692,1.8956e-01
6.4723325,1.8757e-01
6.6599040,1.8804e-01
6.8479476,1.8768e-01
7.0356312,1.8765e-01
7.2232857,1.8758e-01
7.4108710,1.9382e-01
7.6046915,1.8747e-01
7.7921653,1.8832e-01
7.9804912,1.8779e-01
8.1682863,1.8765e-01
8.3559351,1.8812e-01
8.5440617,1.8755e-01
8.7316170,2.0103e-01
8.9326534,1.8735e-01
9.1200018,1.8748e-01
9.3074837,1.9660e-01
9.5040874,1.8760e-01
9.6916876,1.8805e-01
9.8797388,1.8770e-01
10.0674467,1.8752e-01
10.2549725,1.8766e-01
10.4426308,1.8973e-01
10.6323652,1.8761e-01
10.8199749,1.8812e-01
11.0080938,1.8800e-01
11.1960955,1.9012e-01
11.3862171,2.0083e-01
11.5870552,1.8792e-01
11.7749729,1.8729e-01
11.9622679,1.8807e-01
12.1503410,1.8813e-01
12.3384733,1.9807e-01
12.5365438,1.8919e-01
12.7257347,1.8786e-01
12.9136019,1.8731e-01
13.1009178,1.8781e-01
13.2887335,1.8747e-01
13.4762115,1.8777e-01
13.6639862,1.9364e-01
13.8576241,1.8801e-01
14.0456400,1.8813e-01
14.2337742,1.8758e-01
14.4213610,1.8888e-01
14.6102467,1.8783e-01
14.7980833,1.8804e-01
14.9861298,1.9873e-01
15.1848621,1.8788e-01
15.3727436,1.9164e-01
15.5643835,1.8799e-01
15.7523785,1.8793e-01
15.9403152,1.8963e-01
16.1299515,1.8769e-01
16.3176479,1.9667e-01
16.5143223,1.8765e-01
16.7019749,1.8779e-01
16.8897705,1.8790e-01
17.0776749,1.8811e-01
17.2657909,1.9771e-01
17.4635048,1.8797e-01
17.6514797,1.8804e-01
17.8395233,1.9088e-01
18.0304031,1.8806e-01
18.2184658,1.8793e-01
18.4064007,1.9802e-01
18.6044254,1.8787e-01
18.7923012,1.8919e-01
18.9814987,1.9430e-01
19.1758022,1.8739e-01
19.3632011,1.9140e-01
19.5546074,1.8829e-01
19.7429008,1.8800e-01
19.9309006,1.8736e-01
20.1182652,1.8792e-01
20.3061829,1.9693e-01
20.5031166,1.8787e-01
20.6909904,1.8771e-01
20.8787022,1.8799e-01
21.0666943,1.8763e-01
21.2543297,1.8797e-01
21.4423027,1.8953e-01
21.6318321,1.8770e-01
21.8195324,1.8797e-01
22.0075092,1.8836e-01
22.1958733,1.9766e-01
22.3935337,1.8998e-01
22.5835114,1.8852e-01
22.7720394,1.8815e-01
22.9601955,1.8893e-01
23.1491261,1.8788e-01
23.3370075,1.9049e-01
23.5275021,1.8750e-01
23.7150059,1.8734e-01
