time,runtime
1.0078561,3.3016e-01
1.3380151,3.2557e-01
1.6635839,3.4618e-01
2.0097632,3.2294e-01
2.3327041,3.1086e-01
2.6435709,3.3115e-01
2.9747260,3.3911e-01
3.3138421,3.8847e-01
3.7023158,3.5578e-01
4.0580940,3.2891e-01
4.3870058,3.1869e-01
4.7057028,3.6009e-01
5.0657969,3.1830e-01
5.3841004,3.3213e-01
5.7162285,3.3572e-01
6.0519543,3.1193e-01
6.3638854,3.6046e-01
6.7243485,3.5763e-01
7.0819817,3.1222e-01
7.3942037,3.1328e-01
7.7074842,3.6819e-01
8.0756779,3.0823e-01
8.3839149,3.4632e-01
8.7302389,3.5345e-01
9.0836859,3.2865e-01
9.4123373,3.4812e-01
9.7604637,3.0854e-01
10.0690098,3.2589e-01
10.3949041,3.4434e-01
10.7392483,3.3422e-01
11.0734692,3.5752e-01
11.4309893,3.1312e-01
11.7441158,3.1485e-01
12.0589714,3.5107e-01
12.4100399,3.7263e-01
12.7826691,3.5580e-01
13.1384697,3.1841e-01
13.4568825,3.1571e-01
13.7725964,3.1829e-01
14.0908909,3.5088e-01
14.4417696,3.1799e-01
14.7597589,3.2011e-01
15.0798674,3.5965e-01
15.4395199,3.9157e-01
15.8310976,3.3545e-01
16.1665535,3.2049e-01
16.4870434,6.7942e-01
17.1664639,3.2477e-01
17.4912357,3.1112e-01
17.8023548,3.6152e-01
18.1638832,3.3892e-01
18.5028019,3.5909e-01
18.8618965,3.5477e-01
19.2166710,3.1138e-01
19.5280514,3.1362e-01
19.8416729,3.1211e-01
20.1537857,4.1047e-01
20.5642624,3.1439e-01
20.8786507,3.2256e-01
21.2012157,3.2929e-01
21.5305061,3.1217e-01
21.8426819,3.1322e-01
22.1558990,3.7665e-01
22.5325527,3.2563e-01
22.8581886,3.5607e-01
23.2142563,3.3198e-01
23.5462399,3.2233e-01
23.8685722,3.4768e-01
24.2162571,3.3119e-01
24.5474529,5.1534e-01
25.0627899,3.3415e-01
25.3969421,3.8350e-01
25.7804470,3.3010e-01
26.1105461,6.7702e-01
26.7875652,3.2609e-01
27.1136570,3.7999e-01
27.4936504,3.1539e-01
27.8090439,6.1210e-01
28.4211464,3.2220e-01
28.7433510,3.9359e-01
29.1369457,3.5505e-01
29.4919987,3.7635e-01
29.8683491,3.9050e-01
30.2588482,3.3225e-01
30.5910969,3.4256e-01
30.9336567,4.0091e-01
31.3345718,3.5248e-01
31.6870575,3.5764e-01
32.0446968,3.4445e-01
32.3891449,3.4961e-01
32.7387581,3.4930e-01
33.0880623,3.3941e-01
33.4274750,3.4948e-01
33.7769547,3.3900e-01
34.1159630,3.2136e-01
34.4373283,3.2129e-01
34.7586174,3.6012e-01
35.1187439,3.1171e-01
35.4304543,3.4662e-01
35.7770729,3.5203e-01
36.1291046,3.2780e-01
36.4569016,3.4052e-01
36.7974205,5.7198e-01
37.3694077,3.4996e-01
37.7193680,3.4696e-01
38.0663261,3.3724e-01
38.4035721,3.5343e-01
38.7570076,3.3361e-01
39.0906219,3.5010e-01
39.4407234,4.5513e-01
39.8958549,3.1966e-01
40.2155190,3.6224e-01
40.5777626,3.4022e-01
40.9179878,3.3734e-01
41.2553253,3.3856e-01
41.5938873,3.4560e-01
41.9394875,3.1447e-01
42.2539635,4.5512e-01
42.7090836,3.6048e-01
43.0695686,3.1243e-01
43.3820000,3.4008e-01
43.7220840,3.4966e-01
44.0717430,3.6575e-01
44.4374962,3.7857e-01
44.8160667,3.5505e-01
45.1711159,3.1373e-01
45.4848518,3.4701e-01
45.8318710,3.2271e-01
46.1545792,3.2858e-01
46.4831581,3.3008e-01
46.8132401,3.2140e-01
47.1346474,3.3517e-01
47.4698181,3.2623e-01
47.7960472,7.0252e-01
48.4985695,3.4511e-01
48.8436775,3.1177e-01
49.1554527,3.8497e-01
49.5404243,3.1378e-01
49.8542099,3.1736e-01
50.1715736,3.1909e-01
50.4906654,3.1695e-01
50.8076248,3.3270e-01
51.1403275,3.5966e-01
51.4999886,3.1983e-01
51.8198242,3.3206e-01
52.1518860,3.2936e-01
52.4812469,3.1421e-01
52.7954559,3.8882e-01
53.1842804,3.4604e-01
53.5303268,3.1047e-01
53.8408012,3.3387e-01
54.1746750,3.4108e-01
54.5157585,3.2797e-01
54.8437347,4.0770e-01
55.2514381,3.2435e-01
55.5757904,3.2368e-01
55.8994789,3.1679e-01
56.2162781,3.4607e-01
56.5623436,3.4808e-01
56.9104271,3.2208e-01
57.2325058,3.1464e-01
57.5471420,3.4419e-01
57.8913345,3.9984e-01
58.2911720,3.2950e-01
58.6206703,3.3194e-01
58.9526100,3.3820e-01
59.2908134,3.5374e-01
59.6445580,3.4050e-01
59.9850616,3.3717e-01
60.3222313,3.3574e-01
60.6579781,3.3805e-01
60.9960289,3.2139e-01
61.3174248,3.1583e-01
61.6332626,4.0883e-01
62.0420914,3.3394e-01
62.3760300,3.4233e-01
62.7183571,3.8601e-01
63.1043739,5.5868e-01
63.6630516,5.2013e-01
64.1831818,6.4062e-01
64.8238068,3.9670e-01
65.2205124,3.3006e-01
65.5505829,3.4001e-01
65.8905869,3.1570e-01
66.2062988,3.1170e-01
66.5179977,6.5946e-01
67.1774673,3.0421e-01
67.4816742,3.1192e-01
67.7936020,3.4162e-01
68.1352234,3.1771e-01
68.4529343,3.0766e-01
68.7605896,3.8336e-01
69.1439514,3.1459e-01
69.4585419,3.7788e-01
69.8364258,3.2525e-01
70.1616745,5.2732e-01
70.6889954,3.3208e-01
71.0210724,3.1750e-01
71.3385773,3.3178e-01
71.6703644,3.4890e-01
72.0192719,7.2425e-01
72.7435150,3.5518e-01
73.0986938,3.5488e-01
73.4535751,3.4984e-01
73.8034210,3.4912e-01
74.1525421,7.9288e-01
74.9454346,3.4307e-01
75.2885056,4.0230e-01
75.6908035,4.3666e-01
76.1274643,6.1031e-01
76.7377701,3.2531e-01
77.0630798,3.2183e-01
77.3849182,3.1969e-01
77.7046051,3.6464e-01
78.0692444,3.2319e-01
78.3924332,3.5792e-01
78.7503586,3.2203e-01
79.0723953,3.1628e-01
79.3886795,3.7574e-01
79.7644272,3.4788e-01
80.1123123,3.0869e-01
80.4210052,3.8278e-01
80.8037872,3.6887e-01
81.1726608,3.5315e-01
81.5258102,3.5351e-01
