access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,5.4318068027e+01,5.4261899948e+01,3.8079797252e+08,3.8119214764e+08
read,1,5.4318258047e+01,5.4261877775e+01,3.8079664039e+08,3.8119230340e+08
read,2,5.4318068027e+01,5.4261900902e+01,3.8079797252e+08,3.8119214094e+08
read,3,5.4318247080e+01,5.4261883020e+01,3.8079671727e+08,3.8119226655e+08
read,4,5.4318237066e+01,5.4261900902e+01,3.8079678747e+08,3.8119214094e+08
read,5,5.4318071127e+01,5.4261883020e+01,3.8079795079e+08,3.8119226655e+08
read,6,5.4318072081e+01,5.4261904955e+01,3.8079794410e+08,3.8119211246e+08
read,7,5.4318075180e+01,5.4261888027e+01,3.8079792238e+08,3.8119223138e+08
read,8,5.4318073988e+01,5.4261902094e+01,3.8079793073e+08,3.8119213256e+08
read,9,5.4318075180e+01,5.4261883974e+01,3.8079792238e+08,3.8119225985e+08
read,10,5.4316546917e+01,5.4261950970e+01,3.8080863660e+08,3.8119178921e+08
read,11,5.4316830873e+01,5.4261907101e+01,3.8080664581e+08,3.8119209739e+08
read,12,5.4316544056e+01,5.4261919975e+01,3.8080865665e+08,3.8119200694e+08
read,13,5.4316550970e+01,5.4261902094e+01,3.8080860818e+08,3.8119213256e+08
read,14,5.4316736937e+01,5.4261925936e+01,3.8080730439e+08,3.8119196507e+08
read,15,5.4316767216e+01,5.4261908054e+01,3.8080709211e+08,3.8119209069e+08
read,16,5.4316833019e+01,5.4261921883e+01,3.8080663077e+08,3.8119199354e+08
read,17,5.4316833019e+01,5.4261902094e+01,3.8080663077e+08,3.8119213256e+08
read,18,5.4316646814e+01,5.4261919975e+01,3.8080793622e+08,3.8119200694e+08
read,19,5.4316753864e+01,5.4261901140e+01,3.8080718571e+08,3.8119213926e+08
read,20,5.4316920996e+01,5.4262136221e+01,3.8080601398e+08,3.8119048782e+08
read,21,5.4317098856e+01,5.4262117863e+01,3.8080476704e+08,3.8119061678e+08
read,22,5.4317086935e+01,5.4262141943e+01,3.8080485061e+08,3.8119044762e+08
read,23,5.4316903830e+01,5.4262122869e+01,3.8080613433e+08,3.8119058161e+08
read,24,5.4316807985e+01,5.4262138128e+01,3.8080680628e+08,3.8119047442e+08
read,25,5.4316812992e+01,5.4262120962e+01,3.8080677117e+08,3.8119059501e+08
read,26,5.4316805840e+01,5.4262167931e+01,3.8080682132e+08,3.8119026506e+08
read,27,5.4316892147e+01,5.4262122154e+01,3.8080621623e+08,3.8119058663e+08
read,28,5.4317110062e+01,5.4262139797e+01,3.8080468848e+08,3.8119046269e+08
read,29,5.4316895008e+01,5.4262121916e+01,3.8080619617e+08,3.8119058831e+08
read,30,5.4316428900e+01,5.4261751890e+01,3.8080946401e+08,3.8119318775e+08
read,31,5.4316422939e+01,5.4261733055e+01,3.8080950579e+08,3.8119332007e+08
read,32,5.4316455126e+01,5.4261737108e+01,3.8080928014e+08,3.8119329160e+08
read,33,5.4316651106e+01,5.4261718035e+01,3.8080790614e+08,3.8119342559e+08
read,34,5.4316639900e+01,5.4261739969e+01,3.8080798470e+08,3.8119327150e+08
read,35,5.4316434860e+01,5.4261723995e+01,3.8080942222e+08,3.8119338372e+08
read,36,5.4316419840e+01,5.4261742115e+01,3.8080952752e+08,3.8119325642e+08
read,37,5.4316468000e+01,5.4261727095e+01,3.8080918987e+08,3.8119336194e+08
read,38,5.4316658020e+01,5.4261746883e+01,3.8080785766e+08,3.8119322292e+08
read,39,5.4316474915e+01,5.4261729956e+01,3.8080914140e+08,3.8119334184e+08
read,40,5.4316849947e+01,5.4261952877e+01,3.8080651209e+08,3.8119177581e+08
read,41,5.4316653967e+01,5.4261938095e+01,3.8080788608e+08,3.8119187965e+08
read,42,5.4316680908e+01,5.4261983871e+01,3.8080769720e+08,3.8119155807e+08
read,43,5.4316837788e+01,5.4261942863e+01,3.8080659734e+08,3.8119184615e+08
read,44,5.4316912889e+01,5.4261955976e+01,3.8080607081e+08,3.8119175403e+08
read,45,5.4316624165e+01,5.4261939049e+01,3.8080809502e+08,3.8119187295e+08
read,46,5.4316915989e+01,5.4261961937e+01,3.8080604908e+08,3.8119171216e+08
read,47,5.4316565990e+01,5.4261943102e+01,3.8080850287e+08,3.8119184448e+08
read,48,5.4316782951e+01,5.4261959076e+01,3.8080698179e+08,3.8119173226e+08
read,49,5.4316668034e+01,5.4261937857e+01,3.8080778746e+08,3.8119188133e+08
