access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,4.1429789066e+01,3.9018317938e+01,4.9925936487e+08,5.3011537322e+08
write,1,4.1429684877e+01,3.8850697994e+01,4.9926062043e+08,5.3240253699e+08
write,2,4.1429790020e+01,4.0465811014e+01,4.9925935338e+08,5.1115273999e+08
write,3,4.1429654837e+01,3.8129014969e+01,4.9926098244e+08,5.4247953148e+08
write,4,4.1429717064e+01,3.9024904966e+01,4.9926023255e+08,5.3002589484e+08
write,5,4.1429734945e+01,3.9007641792e+01,4.9926001707e+08,5.3026046245e+08
write,6,4.1429673910e+01,3.8867637157e+01,4.9926075259e+08,5.3217050710e+08
write,7,4.1429657936e+01,3.5366961956e+01,4.9926094509e+08,5.8484554601e+08
write,8,4.1438872099e+01,3.6296746016e+01,4.9914993165e+08,5.6986403594e+08
write,9,4.1429641962e+01,3.5540044069e+01,4.9926113759e+08,5.8199731367e+08
write,10,4.1429641962e+01,3.9138830900e+01,4.9926113759e+08,5.2848308701e+08
write,11,4.1429687977e+01,3.7645879984e+01,4.9926058308e+08,5.4944153742e+08
write,12,4.1429754019e+01,3.4840333939e+01,4.9925978722e+08,5.9368576123e+08
write,13,4.1429641008e+01,3.6100140810e+01,4.9926114908e+08,5.7296757608e+08
write,14,4.1429622889e+01,3.4832767010e+01,4.9926136744e+08,5.9381473112e+08
write,15,4.1429758787e+01,3.6849599838e+01,4.9925972976e+08,5.6131437700e+08
write,16,4.1429668903e+01,3.4851060152e+01,4.9926081293e+08,5.9350304082e+08
write,17,4.1429672003e+01,3.5231663942e+01,4.9926077558e+08,5.8709149275e+08
write,18,4.1429681063e+01,3.4992156982e+01,4.9926066640e+08,5.9110989318e+08
write,19,4.1429747820e+01,3.3292739153e+01,4.9925986192e+08,6.2128291941e+08
write,20,4.1429901123e+01,3.3174213886e+01,4.9925801451e+08,6.2350264717e+08
write,21,4.1429753780e+01,3.2772332907e+01,4.9925979009e+08,6.3114854334e+08
write,22,4.1429800034e+01,3.2597275019e+01,4.9925923271e+08,6.3453801473e+08
write,23,4.1429795980e+01,3.0945534945e+01,4.9925928155e+08,6.6840693538e+08
write,24,4.1429921150e+01,3.1974936962e+01,4.9925777317e+08,6.4688822375e+08
write,25,4.1429820776e+01,3.0369814873e+01,4.9925898275e+08,6.8107791446e+08
write,26,4.1429759979e+01,3.7830487967e+01,4.9925971539e+08,5.4676033241e+08
write,27,4.1429816961e+01,3.1368751049e+01,4.9925902872e+08,6.5938902520e+08
write,28,4.1429862976e+01,3.8816648960e+01,4.9925847421e+08,5.3286954774e+08
write,29,4.1429816008e+01,3.1460829020e+01,4.9925904021e+08,6.5745915860e+08
write,30,4.1429596901e+01,3.5346105099e+01,4.9926168062e+08,5.8519064882e+08
write,31,4.1429516077e+01,3.5968193054e+01,4.9926265461e+08,5.7506948277e+08
write,32,4.1429611921e+01,4.1403853893e+01,4.9926149961e+08,4.9957209851e+08
write,33,4.1429524899e+01,3.4068195820e+01,4.9926254831e+08,6.0714134336e+08
write,34,4.1429602146e+01,4.0365531206e+01,4.9926161741e+08,5.1242259319e+08
write,35,4.1429492950e+01,3.3358528137e+01,4.9926293331e+08,6.2005763836e+08
write,36,4.1429519892e+01,3.3023979902e+01,4.9926260864e+08,6.2633910986e+08
write,37,4.1429478168e+01,3.2866014957e+01,4.9926311145e+08,6.2934950291e+08
write,38,4.1429514885e+01,3.3337823868e+01,4.9926266898e+08,6.2044272170e+08
write,39,4.1429506063e+01,3.3285974026e+01,4.9926277529e+08,6.2140919055e+08
write,40,4.1429820061e+01,3.6694092989e+01,4.9925899137e+08,5.6369318577e+08
write,41,4.1429699898e+01,3.6372238874e+01,4.9926043942e+08,5.6868124746e+08
write,42,4.1429725170e+01,3.6763954878e+01,4.9926013487e+08,5.6262200965e+08
write,43,4.1429640055e+01,3.4921817064e+01,4.9926116058e+08,5.9230051340e+08
write,44,4.1429787159e+01,3.6111397028e+01,4.9925938786e+08,5.7278897740e+08
write,45,4.1429696083e+01,3.4757416964e+01,4.9926048539e+08,5.9510205254e+08
write,46,4.1429771900e+01,3.4645601034e+01,4.9925957174e+08,5.9702269721e+08
write,47,4.1429875135e+01,3.4606603146e+01,4.9925832768e+08,5.9769547704e+08
write,48,4.1429723024e+01,3.4581623077e+01,4.9926016073e+08,5.9812722294e+08
write,49,4.1429648876e+01,3.4682204962e+01,4.9926105427e+08,5.9639259380e+08
