access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,9.3398628235e+00,9.3125629425e+00,5.0871839231e+05,5.1020970589e+05
read,1,9.3398640156e+00,9.3125491142e+00,5.0871832738e+05,5.1021046351e+05
read,2,9.3398649693e+00,9.3125550747e+00,5.0871827544e+05,5.1021013695e+05
read,3,9.3398609161e+00,9.3125510216e+00,5.0871849620e+05,5.1021035901e+05
read,4,9.3398661613e+00,9.3125669956e+00,5.0871821051e+05,5.1020948383e+05
read,5,9.3398668766e+00,9.3125510216e+00,5.0871817155e+05,5.1021035901e+05
read,6,9.3400421143e+00,9.3125660419e+00,5.0870862699e+05,5.1020953608e+05
read,7,9.3398649693e+00,9.3125550747e+00,5.0871827544e+05,5.1021013695e+05
read,8,9.3398668766e+00,9.3125710487e+00,5.0871817155e+05,5.1020926177e+05
read,9,9.3398599625e+00,9.3125550747e+00,5.0871854815e+05,5.1021013695e+05
read,10,9.3398737907e+00,9.3125791550e+00,5.0871779496e+05,5.1020881766e+05
read,11,9.3398690224e+00,9.3125629425e+00,5.0871805468e+05,5.1020970589e+05
read,12,9.3398718834e+00,9.3125791550e+00,5.0871789884e+05,5.1020881766e+05
read,13,9.3398709297e+00,9.3125629425e+00,5.0871795079e+05,5.1020970589e+05
read,14,9.3398740292e+00,9.3126039505e+00,5.0871778197e+05,5.1020745919e+05
read,15,9.3398768902e+00,9.3125619888e+00,5.0871762614e+05,5.1020975814e+05
read,16,9.3398740292e+00,9.3125720024e+00,5.0871778197e+05,5.1020920953e+05
read,17,9.3400881290e+00,9.3125560284e+00,5.0870612079e+05,5.1021008470e+05
read,18,9.3398718834e+00,9.3125729561e+00,5.0871789884e+05,5.1020915728e+05
read,19,9.3398730755e+00,9.3125572205e+00,5.0871783391e+05,5.1021001939e+05
read,20,9.3398439884e+00,9.3125488758e+00,5.0871941821e+05,5.1021047657e+05
read,21,9.3398489952e+00,9.3125340939e+00,5.0871914551e+05,5.1021128644e+05
read,22,9.3398439884e+00,9.3125498295e+00,5.0871941821e+05,5.1021042432e+05
read,23,9.3398458958e+00,9.3125340939e+00,5.0871931433e+05,5.1021128644e+05
read,24,9.3402750492e+00,9.3125479221e+00,5.0869594043e+05,5.1021052882e+05
read,25,9.3398389816e+00,9.3125369549e+00,5.0871969092e+05,5.1021112969e+05
read,26,9.3398461342e+00,9.3125550747e+00,5.0871930134e+05,5.1021013695e+05
read,27,9.3398389816e+00,9.3125400543e+00,5.0871969092e+05,5.1021095988e+05
read,28,9.3398430347e+00,9.3125531673e+00,5.0871947016e+05,5.1021024145e+05
read,29,9.3398420811e+00,9.3125400543e+00,5.0871952210e+05,5.1021095988e+05
read,30,9.3398439884e+00,9.3125720024e+00,5.0871941821e+05,5.1020920953e+05
read,31,9.3401288986e+00,9.3125350475e+00,5.0870390030e+05,5.1021123419e+05
read,32,9.3398458958e+00,9.3125441074e+00,5.0871931433e+05,5.1021073782e+05
read,33,9.3398458958e+00,9.3125290871e+00,5.0871931433e+05,5.1021156075e+05
read,34,9.3398439884e+00,9.3125460148e+00,5.0871941821e+05,5.1021063332e+05
read,35,9.3398449421e+00,9.3125300407e+00,5.0871936627e+05,5.1021150850e+05
read,36,9.3398430347e+00,9.3125429153e+00,5.0871947016e+05,5.1021080313e+05
read,37,9.3398411274e+00,9.3125309944e+00,5.0871957405e+05,5.1021145625e+05
read,38,9.3398449421e+00,9.3125469685e+00,5.0871936627e+05,5.1021058107e+05
read,39,9.3398439884e+00,9.3125300407e+00,5.0871941821e+05,5.1021150850e+05
read,40,9.3398790359e+00,9.3125789165e+00,5.0871750926e+05,5.1020883072e+05
read,41,9.3398790359e+00,9.3125641346e+00,5.0871750926e+05,5.1020964058e+05
read,42,9.3398778439e+00,9.3125839233e+00,5.0871757419e+05,5.1020855641e+05
read,43,9.3398721218e+00,9.3125689030e+00,5.0871788586e+05,5.1020937934e+05
read,44,9.3398768902e+00,9.3125839233e+00,5.0871762614e+05,5.1020855641e+05
read,45,9.3398730755e+00,9.3125689030e+00,5.0871783391e+05,5.1020937934e+05
read,46,9.3398759365e+00,9.3126049042e+00,5.0871767808e+05,5.1020740694e+05
read,47,9.3401138783e+00,9.3125679493e+00,5.0870471837e+05,5.1020943158e+05
read,48,9.3398778439e+00,9.3125770092e+00,5.0871757419e+05,5.1020893522e+05
read,49,9.3398780823e+00,9.3125629425e+00,5.0871756121e+05,5.1020970589e+05
