access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.5372363091e+01,3.2427622080e+01,1.3432407634e+05,1.4652199869e+05
write,1,3.5372358084e+01,3.4422406912e+01,1.3432409535e+05,1.3803102183e+05
write,2,3.5372362852e+01,3.2820227861e+01,1.3432407724e+05,1.4476925694e+05
write,3,3.5372370958e+01,3.3818743944e+01,1.3432404646e+05,1.4049486899e+05
write,4,3.5372363091e+01,3.2818970919e+01,1.3432407634e+05,1.4477480149e+05
write,5,3.5372371912e+01,3.2820572853e+01,1.3432404284e+05,1.4476773520e+05
write,6,3.5372362137e+01,3.2428730011e+01,1.3432407996e+05,1.4651699275e+05
write,7,3.5372530937e+01,3.3819923162e+01,1.3432343895e+05,1.4048997028e+05
write,8,3.5372363806e+01,3.3820486069e+01,1.3432407362e+05,1.4048763197e+05
write,9,3.5372371912e+01,3.3820245028e+01,1.3432404284e+05,1.4048863325e+05
write,10,3.5372360945e+01,3.2860352039e+01,1.3432408449e+05,1.4459248624e+05
write,11,3.5372366190e+01,3.4455438137e+01,1.3432406457e+05,1.3789869631e+05
write,12,3.5372359991e+01,3.4457113028e+01,1.3432408811e+05,1.3789199334e+05
write,13,3.5372365952e+01,3.4455012083e+01,1.3432406547e+05,1.3790040150e+05
write,14,3.5372359037e+01,3.2861873865e+01,1.3432409173e+05,1.4458579019e+05
write,15,3.5372363806e+01,3.2861426830e+01,1.3432407362e+05,1.4458775708e+05
write,16,3.5372359037e+01,3.4456567049e+01,1.3432409173e+05,1.3789417829e+05
write,17,3.5372357845e+01,3.4456885815e+01,1.3432409626e+05,1.3789290261e+05
write,18,3.5372465134e+01,3.4456236124e+01,1.3432368884e+05,1.3789550266e+05
write,19,3.5372363806e+01,3.4455865860e+01,1.3432407362e+05,1.3789698449e+05
write,20,3.5372401953e+01,3.2640350819e+01,1.3432392876e+05,1.4556706288e+05
write,21,3.5372407913e+01,3.4488543987e+01,1.3432390613e+05,1.3776632617e+05
write,22,3.5372400045e+01,3.4488157988e+01,1.3432393600e+05,1.3776786808e+05
write,23,3.5372603893e+01,3.4487808943e+01,1.3432316191e+05,1.3776926240e+05
write,24,3.5372401953e+01,3.3161888838e+01,1.3432392876e+05,1.4327772532e+05
write,25,3.5372410059e+01,3.4489272118e+01,1.3432389798e+05,1.3776341767e+05
write,26,3.5372401953e+01,3.4488975048e+01,1.3432392876e+05,1.3776460429e+05
write,27,3.5372411013e+01,3.2642073870e+01,1.3432389436e+05,1.4555937895e+05
write,28,3.5372400999e+01,3.4489951849e+01,1.3432393238e+05,1.3776070262e+05
write,29,3.5372408152e+01,3.4489628792e+01,1.3432390522e+05,1.3776199299e+05
write,30,3.5372277975e+01,3.5033746958e+01,1.3432439956e+05,1.3562237593e+05
write,31,3.5372277021e+01,3.3920140982e+01,1.3432440318e+05,1.4007488950e+05
write,32,3.5372272015e+01,3.5369354963e+01,1.3432442219e+05,1.3433550046e+05
write,33,3.5372267008e+01,3.5370096922e+01,1.3432444121e+05,1.3433268251e+05
write,34,3.5372270107e+01,3.5368625879e+01,1.3432442944e+05,1.3433826964e+05
write,35,3.5372285843e+01,3.5369887114e+01,1.3432436968e+05,1.3433347934e+05
write,36,3.5372270107e+01,3.3002375126e+01,1.3432442944e+05,1.4397024402e+05
write,37,3.5372279167e+01,3.5369681120e+01,1.3432439503e+05,1.3433426171e+05
write,38,3.5372270107e+01,3.5369001150e+01,1.3432442944e+05,1.3433684428e+05
write,39,3.5372406006e+01,3.1517605066e+01,1.3432391337e+05,1.5075257114e+05
write,40,3.5372400999e+01,3.5078758955e+01,1.3432393238e+05,1.3544834942e+05
write,41,3.5372413874e+01,3.2003714085e+01,1.3432388349e+05,1.4846276865e+05
write,42,3.5372400045e+01,3.4963658094e+01,1.3432393600e+05,1.3589424731e+05
write,43,3.5372406960e+01,3.4962692022e+01,1.3432390975e+05,1.3589800228e+05
write,44,3.5372401953e+01,3.3220401049e+01,1.3432392876e+05,1.4302536544e+05
write,45,3.5372540951e+01,3.4965022802e+01,1.3432340093e+05,1.3588894327e+05
write,46,3.5372400999e+01,3.4964058876e+01,1.3432393238e+05,1.3589268960e+05
write,47,3.5372403145e+01,3.4964397192e+01,1.3432392423e+05,1.3589137470e+05
write,48,3.5372400999e+01,3.4964728832e+01,1.3432393238e+05,1.3589008577e+05
write,49,3.5372405052e+01,3.4965429068e+01,1.3432391699e+05,1.3588736437e+05
