access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.5983322144e+01,3.5951730967e+01,1.0758713652e+08,1.0768167451e+08
write,1,3.5983324051e+01,3.4229518890e+01,1.0758713082e+08,1.1309953273e+08
write,2,3.5983329058e+01,3.3195116997e+01,1.0758711585e+08,1.1662385743e+08
write,3,3.5983325005e+01,3.5333481073e+01,1.0758712797e+08,1.0956584164e+08
write,4,3.5983333826e+01,3.3943533182e+01,1.0758710159e+08,1.1405243441e+08
write,5,3.5983327150e+01,3.1193329096e+01,1.0758712155e+08,1.2410802900e+08
write,6,3.5983327150e+01,3.4049709082e+01,1.0758712155e+08,1.1369678909e+08
write,7,3.5983321905e+01,3.1777597904e+01,1.0758713724e+08,1.2182615576e+08
write,8,3.5983332872e+01,3.2271965981e+01,1.0758710444e+08,1.1995992417e+08
write,9,3.5983327866e+01,3.2553133011e+01,1.0758711941e+08,1.1892380960e+08
write,10,3.5983315229e+01,3.3805361032e+01,1.0758715720e+08,1.1451859923e+08
write,11,3.5983309031e+01,3.2922291994e+01,1.0758717573e+08,1.1759031214e+08
write,12,3.5983314037e+01,3.4787744045e+01,1.0758716076e+08,1.1128466931e+08
write,13,3.5983309984e+01,3.2224576950e+01,1.0758717288e+08,1.2013633563e+08
write,14,3.5983309984e+01,3.3683306217e+01,1.0758717288e+08,1.1493356878e+08
write,15,3.5983298063e+01,3.5109720945e+01,1.0758720852e+08,1.1026412309e+08
write,16,3.5983297110e+01,3.4659969807e+01,1.0758721137e+08,1.1169492107e+08
write,17,3.5983304024e+01,3.1713167906e+01,1.0758719070e+08,1.2207366364e+08
write,18,3.5983304024e+01,3.3097052813e+01,1.0758719070e+08,1.1696940552e+08
write,19,3.5983303070e+01,3.4198532820e+01,1.0758719355e+08,1.1320200818e+08
write,20,3.5983554125e+01,3.5903013945e+01,1.0758644292e+08,1.0782778844e+08
write,21,3.5983547926e+01,3.2633810043e+01,1.0758646146e+08,1.1862980715e+08
write,22,3.5983560085e+01,3.2892512083e+01,1.0758642510e+08,1.1769677494e+08
write,23,3.5983553171e+01,3.4886332035e+01,1.0758644577e+08,1.1097018133e+08
write,24,3.5983556986e+01,3.2167232037e+01,1.0758643437e+08,1.2035050413e+08
write,25,3.5983548880e+01,3.1779779911e+01,1.0758645861e+08,1.2181779115e+08
write,26,3.5983560801e+01,3.2224165916e+01,1.0758642296e+08,1.2013786802e+08
write,27,3.5983557940e+01,3.1472214937e+01,1.0758643152e+08,1.2300826617e+08
write,28,3.5983573914e+01,3.2193039179e+01,1.0758638376e+08,1.2025402667e+08
write,29,3.5983555079e+01,3.1521338940e+01,1.0758644007e+08,1.2281656561e+08
write,30,3.5983226061e+01,3.3938704967e+01,1.0758742380e+08,1.1406865983e+08
write,31,3.5983224154e+01,3.2663968801e+01,1.0758742951e+08,1.1852027583e+08
write,32,3.5983211994e+01,3.4212139130e+01,1.0758746586e+08,1.1315698727e+08
write,33,3.5983217001e+01,3.0176696062e+01,1.0758745089e+08,1.2828914683e+08
write,34,3.5983223915e+01,3.3570986032e+01,1.0758743022e+08,1.1531810797e+08
write,35,3.5983218193e+01,3.1637257099e+01,1.0758744733e+08,1.2236656863e+08
write,36,3.5983225822e+01,3.2044516087e+01,1.0758742452e+08,1.2081139193e+08
write,37,3.5983212948e+01,3.2324710131e+01,1.0758746301e+08,1.1976418586e+08
write,38,3.5983217001e+01,3.4486915112e+01,1.0758745089e+08,1.1225540410e+08
write,39,3.5983218908e+01,3.2282693148e+01,1.0758744519e+08,1.1992006287e+08
write,40,3.5983374834e+01,3.4444059134e+01,1.0758697898e+08,1.1239507449e+08
write,41,3.5983361006e+01,3.1280060053e+01,1.0758702033e+08,1.2376391175e+08
write,42,3.5983380079e+01,3.3486262083e+01,1.0758696330e+08,1.1560987555e+08
write,43,3.5983376980e+01,3.2124856949e+01,1.0758697257e+08,1.2050925544e+08
write,44,3.5983378887e+01,3.3450075865e+01,1.0758696686e+08,1.1573494206e+08
write,45,3.5983378172e+01,3.2736200094e+01,1.0758696900e+08,1.1825876494e+08
write,46,3.5983378887e+01,3.1896589994e+01,1.0758696686e+08,1.2137167618e+08
write,47,3.5983374834e+01,3.5473608971e+01,1.0758697898e+08,1.0913303451e+08
write,48,3.5983362913e+01,3.2349353075e+01,1.0758701463e+08,1.1967295244e+08
write,49,3.5983374834e+01,3.3622710943e+01,1.0758697898e+08,1.1514070351e+08
