access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.5061280966e+01,3.0059664011e+01,4.3365078460e+07,5.0580578660e+07
write,1,3.5061345100e+01,3.1889683008e+01,4.3364999136e+07,4.7677965303e+07
write,2,3.5061306000e+01,3.2276669979e+01,4.3365047497e+07,4.7106321717e+07
write,3,3.5061341047e+01,3.2038373947e+01,4.3365004149e+07,4.7456690608e+07
write,4,3.5061303139e+01,3.2386243105e+01,4.3365051036e+07,4.6946945809e+07
write,5,3.5061345100e+01,3.2145260096e+01,4.3364999136e+07,4.7298892449e+07
write,6,3.5061310053e+01,3.2116827011e+01,4.3365042484e+07,4.7340766243e+07
write,7,3.5061346054e+01,3.2574236870e+01,4.3364997957e+07,4.6676003680e+07
write,8,3.5061280012e+01,3.2241343021e+01,4.3365079640e+07,4.7157936287e+07
write,9,3.5061343908e+01,3.1866703033e+01,4.3365000611e+07,4.7712347224e+07
write,10,3.5061297894e+01,3.3305303812e+01,4.3365057523e+07,4.5651443643e+07
write,11,3.5061358213e+01,3.4718132019e+01,4.3364982918e+07,4.3793692563e+07
write,12,3.5061302900e+01,3.4084899902e+01,4.3365051331e+07,4.4607295440e+07
write,13,3.5061352015e+01,3.4806854010e+01,4.3364990585e+07,4.3682063296e+07
write,14,3.5061316967e+01,3.4544760942e+01,4.3365033933e+07,4.4013481597e+07
write,15,3.5061352968e+01,3.4718421936e+01,4.3364989405e+07,4.3793326863e+07
write,16,3.5061289072e+01,3.4859336853e+01,4.3365068434e+07,4.3616297304e+07
write,17,3.5061352968e+01,3.4075686932e+01,4.3364989405e+07,4.4619355820e+07
write,18,3.5061290979e+01,3.4329919815e+01,4.3365066075e+07,4.4288923720e+07
write,19,3.5061350822e+01,3.4553442955e+01,4.3364992059e+07,4.4002422623e+07
write,20,3.5061352968e+01,3.3124200106e+01,4.3364989405e+07,4.5901038973e+07
write,21,3.5061398983e+01,3.4696351051e+01,4.3364932493e+07,4.3821184474e+07
write,22,3.5061362028e+01,3.4540673971e+01,4.3364978200e+07,4.4018689423e+07
write,23,3.5061403036e+01,3.4474509954e+01,4.3364927480e+07,4.4103170778e+07
write,24,3.5061367035e+01,3.4572850943e+01,4.3364972007e+07,4.3977721205e+07
write,25,3.5061402082e+01,3.4696688890e+01,4.3364928659e+07,4.3820757790e+07
write,26,3.5061336994e+01,3.4771548033e+01,4.3365009162e+07,4.3726416741e+07
write,27,3.5061410904e+01,3.4747440100e+01,4.3364917749e+07,4.3756754329e+07
write,28,3.5061364889e+01,3.4391207933e+01,4.3364974661e+07,4.4209997013e+07
write,29,3.5061399937e+01,3.4556406975e+01,4.3364931313e+07,4.3998648387e+07
write,30,3.5061295033e+01,3.2714848995e+01,4.3365061062e+07,4.6475384931e+07
write,31,3.5061348915e+01,3.5018556118e+01,4.3364994418e+07,4.3417986592e+07
write,32,3.5061316013e+01,3.4825308800e+01,4.3365035112e+07,4.3658915094e+07
write,33,3.5061352015e+01,3.4632772923e+01,4.3364990585e+07,4.3901630499e+07
write,34,3.5061294794e+01,3.4824895859e+01,4.3365061357e+07,4.3659432785e+07
write,35,3.5061352968e+01,3.4448516130e+01,4.3364989405e+07,4.4136449717e+07
write,36,3.5061308861e+01,3.4773839951e+01,4.3365043959e+07,4.3723534765e+07
write,37,3.5061348915e+01,3.4207432985e+01,4.3364994418e+07,4.4447509424e+07
write,38,3.5061316967e+01,3.4814932108e+01,4.3365033933e+07,4.3671927760e+07
write,39,3.5061356068e+01,3.4721930027e+01,4.3364985572e+07,4.3788902253e+07
write,40,3.5061335087e+01,3.2985484123e+01,4.3365011522e+07,4.6094069571e+07
write,41,3.5061379910e+01,3.4788045883e+01,4.3364956083e+07,4.3705679966e+07
write,42,3.5061317205e+01,3.4711555004e+01,4.3365033638e+07,4.3801990427e+07
write,43,3.5061382055e+01,3.4616531134e+01,4.3364953429e+07,4.3922228779e+07
write,44,3.5061343193e+01,3.4684639931e+01,4.3365001495e+07,4.3835980510e+07
write,45,3.5061387062e+01,3.4118936062e+01,4.3364947237e+07,4.4562796367e+07
write,46,3.5061334133e+01,3.3861656189e+01,4.3365012701e+07,4.4901383190e+07
write,47,3.5061373949e+01,3.4557024956e+01,4.3364963455e+07,4.3997861562e+07
write,48,3.5061336040e+01,3.4100849152e+01,4.3365010342e+07,4.4586432239e+07
write,49,3.5061376095e+01,3.4190635920e+01,4.3364960802e+07,4.4469345454e+07
