access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,5.7869375944e+01,5.7821943045e+01,2.9343049699e+08,2.9367120594e+08
read,1,5.7869096994e+01,5.7821927071e+01,2.9343191143e+08,2.9367128708e+08
read,2,5.7869362116e+01,5.7821943045e+01,2.9343056711e+08,2.9367120594e+08
read,3,5.7869095802e+01,5.7821925879e+01,2.9343191748e+08,2.9367129313e+08
read,4,5.7869107008e+01,5.7821943998e+01,2.9343186066e+08,2.9367120110e+08
read,5,5.7869099140e+01,5.7821928024e+01,2.9343190055e+08,2.9367128223e+08
read,6,5.7869106054e+01,5.7821947098e+01,2.9343186549e+08,2.9367118536e+08
read,7,5.7869097948e+01,5.7821929932e+01,2.9343190660e+08,2.9367127254e+08
read,8,5.7869371176e+01,5.7821943045e+01,2.9343052117e+08,2.9367120594e+08
read,9,5.7869102955e+01,5.7821927071e+01,2.9343188121e+08,2.9367128708e+08
read,10,5.7862224102e+01,5.7821964979e+01,2.9346676536e+08,2.9367109454e+08
read,11,5.7861914158e+01,5.7821949005e+01,2.9346833735e+08,2.9367117567e+08
read,12,5.7862291098e+01,5.7821967840e+01,2.9346642557e+08,2.9367108001e+08
read,13,5.7862076044e+01,5.7821951151e+01,2.9346751629e+08,2.9367116477e+08
read,14,5.7862001181e+01,5.7821968794e+01,2.9346789599e+08,2.9367107517e+08
read,15,5.7861976147e+01,5.7821952105e+01,2.9346802295e+08,2.9367115993e+08
read,16,5.7862173080e+01,5.7821959972e+01,2.9346702414e+08,2.9367111997e+08
read,17,5.7862092018e+01,5.7821948051e+01,2.9346743527e+08,2.9367118052e+08
read,18,5.7862047195e+01,5.7821959972e+01,2.9346766261e+08,2.9367111997e+08
read,19,5.7861934900e+01,5.7821943045e+01,2.9346823215e+08,2.9367120594e+08
read,20,5.7862318993e+01,5.7821957111e+01,2.9346628410e+08,2.9367113450e+08
read,21,5.7862068176e+01,5.7821943045e+01,2.9346755619e+08,2.9367120594e+08
read,22,5.7862052917e+01,5.7821943998e+01,2.9346763358e+08,2.9367120110e+08
read,23,5.7862071037e+01,5.7821943998e+01,2.9346754168e+08,2.9367120110e+08
read,24,5.7862197876e+01,5.7821954012e+01,2.9346689838e+08,2.9367115024e+08
read,25,5.7861971140e+01,5.7821942091e+01,2.9346804835e+08,2.9367121079e+08
read,26,5.7861953020e+01,5.7821962833e+01,2.9346814025e+08,2.9367110544e+08
read,27,5.7862018824e+01,5.7821950912e+01,2.9346780650e+08,2.9367116599e+08
read,28,5.7862226009e+01,5.7821964979e+01,2.9346675569e+08,2.9367109454e+08
read,29,5.7862109900e+01,5.7821950197e+01,2.9346734458e+08,2.9367116962e+08
read,30,5.7861914873e+01,5.7821963072e+01,2.9346833373e+08,2.9367110423e+08
read,31,5.7861844063e+01,5.7821928978e+01,2.9346869287e+08,2.9367127739e+08
read,32,5.7862334013e+01,5.7821933031e+01,2.9346620792e+08,2.9367125680e+08
read,33,5.7861875057e+01,5.7821918011e+01,2.9346853567e+08,2.9367133309e+08
read,34,5.7861887932e+01,5.7821936131e+01,2.9346847037e+08,2.9367124106e+08
read,35,5.7861938000e+01,5.7821921110e+01,2.9346821643e+08,2.9367131735e+08
read,36,5.7862287045e+01,5.7821933031e+01,2.9346644613e+08,2.9367125680e+08
read,37,5.7862159967e+01,5.7821917057e+01,2.9346709064e+08,2.9367133793e+08
read,38,5.7862017870e+01,5.7821938038e+01,2.9346781134e+08,2.9367123137e+08
read,39,5.7861703873e+01,5.7821920872e+01,2.9346940390e+08,2.9367131856e+08
read,40,5.7861963987e+01,5.7821938038e+01,2.9346808462e+08,2.9367123137e+08
read,41,5.7862048864e+01,5.7821925879e+01,2.9346765414e+08,2.9367129313e+08
read,42,5.7861933947e+01,5.7821947813e+01,2.9346823699e+08,2.9367118173e+08
read,43,5.7862052202e+01,5.7821929932e+01,2.9346763721e+08,2.9367127254e+08
read,44,5.7862305880e+01,5.7821944952e+01,2.9346635060e+08,2.9367119626e+08
read,45,5.7862086058e+01,5.7821929932e+01,2.9346746550e+08,2.9367127254e+08
read,46,5.7861898184e+01,5.7821951151e+01,2.9346841837e+08,2.9367116477e+08
read,47,5.7862249136e+01,5.7821933985e+01,2.9346663840e+08,2.9367125196e+08
read,48,5.7862169981e+01,5.7821959019e+01,2.9346703986e+08,2.9367112481e+08
read,49,5.7861953020e+01,5.7821930170e+01,2.9346814025e+08,2.9367127133e+08
