access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,5.1739879847e+01,3.9818888187e+01,3.2819248507e+08,4.2644685768e+08
write,1,5.1739925146e+01,4.8408856153e+01,3.2819219773e+08,3.5077547980e+08
write,2,5.1739866018e+01,4.2748764038e+01,3.2819257278e+08,3.9721943139e+08
write,3,5.1740181923e+01,4.3609081984e+01,3.2819056897e+08,3.8938310489e+08
write,4,5.1739778996e+01,3.8850107908e+01,3.2819312478e+08,4.3708089007e+08
write,5,5.1740005016e+01,4.4542638063e+01,3.2819169110e+08,3.8122213866e+08
write,6,5.1739737034e+01,4.5573493004e+01,3.2819339095e+08,3.7259904003e+08
write,7,5.1740185022e+01,5.1732737064e+01,3.2819054931e+08,3.2823779888e+08
write,8,5.1739750147e+01,3.9137054920e+01,3.2819330777e+08,4.3387627860e+08
write,9,5.1740128040e+01,3.8855752230e+01,3.2819091075e+08,4.3701739819e+08
write,10,5.1739907980e+01,4.0151266098e+01,3.2819230662e+08,4.2291666974e+08
write,11,5.1740100861e+01,3.9292247057e+01,3.2819108316e+08,4.3216260244e+08
write,12,5.1739808083e+01,4.8775952101e+01,3.2819294028e+08,3.4813548506e+08
write,13,5.1740184069e+01,4.0348644018e+01,3.2819055536e+08,4.2084784154e+08
write,14,5.1739954948e+01,4.0320776939e+01,3.2819200869e+08,4.2113870399e+08
write,15,5.1740257978e+01,3.9591185093e+01,3.2819008655e+08,4.2889950640e+08
write,16,5.1739856958e+01,3.5350957870e+01,3.2819263025e+08,4.8034454416e+08
write,17,5.1740035057e+01,3.5368360043e+01,3.2819150055e+08,4.8010820189e+08
write,18,5.1739800215e+01,3.9826843977e+01,3.2819299018e+08,4.2636167088e+08
write,19,5.1740234852e+01,4.8025151968e+01,3.2819023324e+08,3.5357805334e+08
write,20,5.1739850044e+01,5.0897617817e+01,3.2819267411e+08,3.3362346751e+08
write,21,5.1740197897e+01,4.1137913942e+01,3.2819046765e+08,4.1277347626e+08
write,22,5.1739801884e+01,3.7165957928e+01,3.2819297960e+08,4.5688691186e+08
write,23,5.1739958048e+01,3.7918555975e+01,3.2819198903e+08,4.4781873432e+08
write,24,5.1739856958e+01,4.7509916782e+01,3.2819263025e+08,3.5741253393e+08
write,25,5.1740084171e+01,3.9622842789e+01,3.2819118902e+08,4.2855682603e+08
write,26,5.1739763021e+01,4.8951583862e+01,3.2819322611e+08,3.4688642132e+08
write,27,5.1740119934e+01,3.7939042091e+01,3.2819096217e+08,4.4757692361e+08
write,28,5.1739977837e+01,3.8199388027e+01,3.2819186351e+08,4.4452648644e+08
write,29,5.1740248919e+01,3.6984643936e+01,3.2819014402e+08,4.5912676010e+08
write,30,5.1739743948e+01,4.2659461021e+01,3.2819334709e+08,3.9805096777e+08
write,31,5.1740072012e+01,4.6910418034e+01,3.2819126614e+08,3.6198014121e+08
write,32,5.1739892006e+01,4.8048401117e+01,3.2819240794e+08,3.5340696775e+08
write,33,5.1740156889e+01,3.8418758869e+01,3.2819072776e+08,4.4198824334e+08
write,34,5.1739890099e+01,3.8512151957e+01,3.2819242004e+08,4.4091640901e+08
write,35,5.1740099907e+01,3.7938791037e+01,3.2819108920e+08,4.4757988539e+08
write,36,5.1739742041e+01,4.1243412971e+01,3.2819335919e+08,4.1171761793e+08
write,37,5.1740236998e+01,4.7982262135e+01,3.2819021963e+08,3.5389410563e+08
write,38,5.1739809036e+01,3.6642764091e+01,3.2819293423e+08,4.6341044856e+08
write,39,5.1740067959e+01,3.6047111988e+01,3.2819129185e+08,4.7106796654e+08
write,40,5.1739755869e+01,3.3137329102e+01,3.2819327148e+08,5.1243235965e+08
write,41,5.1739969015e+01,3.3269919157e+01,3.2819191946e+08,5.1039017149e+08
write,42,5.1739854097e+01,3.1926442146e+01,3.2819264840e+08,5.3186758694e+08
write,43,5.1740101099e+01,4.0159590960e+01,3.2819108164e+08,4.2282900145e+08
write,44,5.1739712000e+01,3.1733315945e+01,3.2819354974e+08,5.3510448683e+08
write,45,5.1740126133e+01,3.1518771887e+01,3.2819092285e+08,5.3874687139e+08
write,46,5.1739802837e+01,3.2037687063e+01,3.2819297355e+08,5.3002077555e+08
write,47,5.1739989996e+01,3.1510259151e+01,3.2819178638e+08,5.3889241794e+08
write,48,5.1739681005e+01,3.1688282013e+01,3.2819374635e+08,5.3586495276e+08
write,49,5.1740214109e+01,3.1243405104e+01,3.2819036481e+08,5.4349516923e+08
