access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,4.9411001921e+01,4.9407466888e+01,8.0866200738e+06,8.0871986597e+06
read,1,4.9411000013e+01,4.9407465219e+01,8.0866203860e+06,8.0871989329e+06
read,2,4.9411004066e+01,4.9407464981e+01,8.0866197227e+06,8.0871989719e+06
read,3,4.9411003113e+01,4.9407466173e+01,8.0866198787e+06,8.0871987768e+06
read,4,4.9411006927e+01,4.9407465935e+01,8.0866192544e+06,8.0871988158e+06
read,5,4.9411000967e+01,4.9407466173e+01,8.0866202299e+06,8.0871987768e+06
read,6,4.9411240101e+01,4.9407468081e+01,8.0865810934e+06,8.0871984646e+06
read,7,4.9411000013e+01,4.9407470942e+01,8.0866203860e+06,8.0871979963e+06
read,8,4.9411001205e+01,4.9407467127e+01,8.0866201909e+06,8.0871986207e+06
read,9,4.9411000967e+01,4.9407469034e+01,8.0866202299e+06,8.0871983085e+06
read,10,4.9411015987e+01,4.9407504082e+01,8.0866177717e+06,8.0871925718e+06
read,11,4.9411190987e+01,4.9407487869e+01,8.0865891314e+06,8.0871952255e+06
read,12,4.9411015034e+01,4.9407485008e+01,8.0866179277e+06,8.0871956938e+06
read,13,4.9411016941e+01,4.9407487869e+01,8.0866176156e+06,8.0871952255e+06
read,14,4.9411015987e+01,4.9407495975e+01,8.0866177717e+06,8.0871938986e+06
read,15,4.9411017895e+01,4.9407489777e+01,8.0866174595e+06,8.0871949133e+06
read,16,4.9411015987e+01,4.9407477856e+01,8.0866177717e+06,8.0871968646e+06
read,17,4.9411016941e+01,4.9407481909e+01,8.0866176156e+06,8.0871962011e+06
read,18,4.9411017895e+01,4.9407482147e+01,8.0866174595e+06,8.0871961621e+06
read,19,4.9411017895e+01,4.9407483101e+01,8.0866174595e+06,8.0871960060e+06
read,20,4.9411017895e+01,4.9407476902e+01,8.0866174595e+06,8.0871970207e+06
read,21,4.9411018848e+01,4.9407480001e+01,8.0866173034e+06,8.0871965133e+06
read,22,4.9411020041e+01,4.9407479048e+01,8.0866171083e+06,8.0871966694e+06
read,23,4.9411013842e+01,4.9407480955e+01,8.0866181228e+06,8.0871963572e+06
read,24,4.9411015034e+01,4.9407477140e+01,8.0866179277e+06,8.0871969816e+06
read,25,4.9411012888e+01,4.9407480955e+01,8.0866182789e+06,8.0871963572e+06
read,26,4.9411017895e+01,4.9407503128e+01,8.0866174595e+06,8.0871927279e+06
read,27,4.9411218882e+01,4.9407487869e+01,8.0865845661e+06,8.0871952255e+06
read,28,4.9411012888e+01,4.9407483101e+01,8.0866182789e+06,8.0871960060e+06
read,29,4.9411014080e+01,4.9407487869e+01,8.0866180838e+06,8.0871952255e+06
read,30,4.9410993099e+01,4.9407484055e+01,8.0866215176e+06,8.0871958499e+06
read,31,4.9410994053e+01,4.9407469988e+01,8.0866213615e+06,8.0871981524e+06
read,32,4.9410987854e+01,4.9407455921e+01,8.0866223760e+06,8.0872004549e+06
read,33,4.9410993099e+01,4.9407459974e+01,8.0866215176e+06,8.0871997914e+06
read,34,4.9410995007e+01,4.9407459021e+01,8.0866212054e+06,8.0871999475e+06
read,35,4.9410994053e+01,4.9407458782e+01,8.0866213615e+06,8.0871999866e+06
read,36,4.9411179066e+01,4.9407458782e+01,8.0865910823e+06,8.0871999866e+06
read,37,4.9410991907e+01,4.9407460928e+01,8.0866217127e+06,8.0871996353e+06
read,38,4.9410993099e+01,4.9407459974e+01,8.0866215176e+06,8.0871997914e+06
read,39,4.9410983086e+01,4.9407462835e+01,8.0866231564e+06,8.0871993231e+06
read,40,4.9410990953e+01,4.9407485962e+01,8.0866218687e+06,8.0871955377e+06
read,41,4.9410991907e+01,4.9407463789e+01,8.0866217127e+06,8.0871991670e+06
read,42,4.9410997868e+01,4.9407485962e+01,8.0866207372e+06,8.0871955377e+06
read,43,4.9410995007e+01,4.9407469988e+01,8.0866212054e+06,8.0871981524e+06
read,44,4.9410995007e+01,4.9407465935e+01,8.0866212054e+06,8.0871988158e+06
read,45,4.9410994053e+01,4.9407469988e+01,8.0866213615e+06,8.0871981524e+06
read,46,4.9410996914e+01,4.9407478094e+01,8.0866208932e+06,8.0871968255e+06
read,47,4.9410993099e+01,4.9407471895e+01,8.0866215176e+06,8.0871978402e+06
read,48,4.9411182880e+01,4.9407459974e+01,8.0865904580e+06,8.0871997914e+06
read,49,4.9410996199e+01,4.9407464981e+01,8.0866210103e+06,8.0871989719e+06
