access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,5.2430955291e+02,3.4600840616e+02,7.6208415007e+05,1.1547927533e+06
write,1,5.2430929899e+02,1.8074253583e+02,7.6208451913e+05,2.2107026338e+06
write,2,5.2430929995e+02,2.7392754793e+02,7.6208451775e+05,1.4586630772e+06
write,3,5.2430929899e+02,1.2903590393e+02,7.6208451913e+05,3.0965645051e+06
write,4,5.2430930209e+02,2.7392805386e+02,7.6208451463e+05,1.4586603832e+06
write,5,5.2430929685e+02,1.2903639507e+02,7.6208452225e+05,3.0965527189e+06
write,6,5.2430930400e+02,3.7683114505e+02,7.6208451186e+05,1.0603369845e+06
write,7,5.2430929780e+02,3.4283763194e+02,7.6208452087e+05,1.1654729901e+06
write,8,5.2430930614e+02,2.7391409802e+02,7.6208450874e+05,1.4587347014e+06
write,9,5.2430929589e+02,1.2894868207e+02,7.6208452364e+05,3.0986590447e+06
write,10,5.2430942917e+02,4.4756672001e+02,7.6208432992e+05,8.9275627998e+05
write,11,5.2430943298e+02,4.2047627187e+02,7.6208432438e+05,9.5027478774e+05
write,12,5.2430943298e+02,4.1611499190e+02,7.6208432438e+05,9.6023456923e+05
write,13,5.2430942702e+02,3.7433056188e+02,7.6208433304e+05,1.0674201914e+06
write,14,5.2430944085e+02,1.6167727089e+02,7.6208431294e+05,2.4713925328e+06
write,15,5.2430943394e+02,4.1611546397e+02,7.6208432299e+05,9.6023347988e+05
write,16,5.2430944180e+02,3.7449011207e+02,7.6208431156e+05,1.0669654208e+06
write,17,5.2430943489e+02,1.6182452321e+02,7.6208432161e+05,2.4691436877e+06
write,18,5.2430978417e+02,3.7441831994e+02,7.6208381392e+05,1.0671700040e+06
write,19,5.2430943394e+02,1.6182570696e+02,7.6208432299e+05,2.4691256260e+06
write,20,5.2430941200e+02,5.2430788493e+02,7.6208435487e+05,7.6208657448e+05
write,21,5.2430941105e+02,4.4842906690e+02,7.6208435626e+05,8.9103947424e+05
write,22,5.2430941796e+02,4.1967074299e+02,7.6208434621e+05,9.5209877428e+05
write,23,5.2430940986e+02,1.3421947694e+02,7.6208435799e+05,2.9769747962e+06
write,24,5.2430941892e+02,2.8500559807e+02,7.6208434482e+05,1.4019654446e+06
write,25,5.2430940986e+02,1.3421997786e+02,7.6208435799e+05,2.9769636859e+06
write,26,5.2430966806e+02,2.8474788713e+02,7.6208398269e+05,1.4032342927e+06
write,27,5.2430940986e+02,1.3421826601e+02,7.6208435799e+05,2.9770016547e+06
write,28,5.2430940986e+02,3.7977241302e+02,7.6208435799e+05,1.0521248682e+06
write,29,5.2430940390e+02,2.8500603700e+02,7.6208436666e+05,1.4019632854e+06
write,30,5.2430917907e+02,3.3225012064e+01,7.6208469344e+05,1.2026120539e+07
write,31,5.2430916691e+02,3.3242968082e+01,7.6208471112e+05,1.2019624692e+07
write,32,5.2430944300e+02,3.7988753605e+02,7.6208430982e+05,1.0518060270e+06
write,33,5.2430917096e+02,3.3242614031e+01,7.6208470523e+05,1.2019752707e+07
write,34,5.2430917287e+02,2.9168850517e+02,7.6208470245e+05,1.3698448616e+06
write,35,5.2430917311e+02,3.3241700888e+01,7.6208470211e+05,1.2020082888e+07
write,36,5.2430917406e+02,3.3242136955e+01,7.6208470072e+05,1.2019925209e+07
write,37,5.2430917215e+02,3.3240743160e+01,7.6208470349e+05,1.2020429209e+07
write,38,5.2430917501e+02,2.9169747305e+02,7.6208469934e+05,1.3698027474e+06
write,39,5.2430917192e+02,3.3241241932e+01,7.6208470384e+05,1.2020248847e+07
write,40,5.2430950713e+02,2.8763430381e+02,7.6208421660e+05,1.3891528052e+06
write,41,5.2430921984e+02,9.3487843990e+01,7.6208463419e+05,4.2740102129e+06
write,42,5.2430922508e+02,2.8763521409e+02,7.6208462656e+05,1.3891484089e+06
write,43,5.2430921888e+02,9.3487426996e+01,7.6208463557e+05,4.2740292769e+06
write,44,5.2430921388e+02,2.8763492298e+02,7.6208464285e+05,1.3891498148e+06
write,45,5.2430921984e+02,9.3410485029e+01,7.6208463419e+05,4.2775497834e+06
write,46,5.2430922604e+02,2.8763461304e+02,7.6208462518e+05,1.3891513117e+06
write,47,5.2430921388e+02,9.3488730907e+01,7.6208464285e+05,4.2739696659e+06
write,48,5.2430922604e+02,2.8763384795e+02,7.6208462518e+05,1.3891550068e+06
write,49,5.2430921888e+02,9.3488284111e+01,7.6208463557e+05,4.2739900919e+06
