access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,5.4700870037e+01,5.4697372913e+01,5.6089297555e+07,5.6092883672e+07
read,1,5.4700870991e+01,5.4697382927e+01,5.6089296577e+07,5.6092873403e+07
read,2,5.4700873137e+01,5.4697370052e+01,5.6089294376e+07,5.6092886606e+07
read,3,5.4700870991e+01,5.4697401047e+01,5.6089296577e+07,5.6092854821e+07
read,4,5.4700873137e+01,5.4697373152e+01,5.6089294376e+07,5.6092883428e+07
read,5,5.4700870037e+01,5.4697382927e+01,5.6089297555e+07,5.6092873403e+07
read,6,5.4700866938e+01,5.4697397947e+01,5.6089300733e+07,5.6092857999e+07
read,7,5.4700869083e+01,5.4697399139e+01,5.6089298532e+07,5.6092856777e+07
read,8,5.4700871229e+01,5.4697371006e+01,5.6089296332e+07,5.6092885628e+07
read,9,5.4700860023e+01,5.4697381020e+01,5.6089307822e+07,5.6092875359e+07
read,10,5.4700865030e+01,5.4662029028e+01,5.6089302688e+07,5.6129152733e+07
read,11,5.4700865984e+01,5.4662025928e+01,5.6089301710e+07,5.6129155916e+07
read,12,5.4700866938e+01,5.4662046194e+01,5.6089300733e+07,5.6129135106e+07
read,13,5.4700865984e+01,5.4662031174e+01,5.6089301710e+07,5.6129150530e+07
read,14,5.4700867891e+01,5.4662053108e+01,5.6089299755e+07,5.6129128006e+07
read,15,5.4700866938e+01,5.4662056208e+01,5.6089300733e+07,5.6129124824e+07
read,16,5.4700868845e+01,5.4662029028e+01,5.6089298777e+07,5.6129152733e+07
read,17,5.4700866938e+01,5.4662041187e+01,5.6089300733e+07,5.6129140247e+07
read,18,5.4700870991e+01,5.4662021875e+01,5.6089296577e+07,5.6129160077e+07
read,19,5.4700870037e+01,5.4662051916e+01,5.6089297555e+07,5.6129129230e+07
read,20,5.4700864077e+01,5.4661954880e+01,5.6089303666e+07,5.6129228871e+07
read,21,5.4700864077e+01,5.4661973000e+01,5.6089303666e+07,5.6129210265e+07
read,22,5.4700862169e+01,5.4661947012e+01,5.6089305622e+07,5.6129236950e+07
read,23,5.4700860023e+01,5.4661973000e+01,5.6089307822e+07,5.6129210265e+07
read,24,5.4700860977e+01,5.4661962032e+01,5.6089306844e+07,5.6129221527e+07
read,25,5.4700850964e+01,5.4661967993e+01,5.6089317112e+07,5.6129215406e+07
read,26,5.4700863123e+01,5.4661985159e+01,5.6089304644e+07,5.6129197779e+07
read,27,5.4700862885e+01,5.4661965847e+01,5.6089304889e+07,5.6129217610e+07
read,28,5.4700864077e+01,5.4661983013e+01,5.6089303666e+07,5.6129199983e+07
read,29,5.4700861931e+01,5.4661971092e+01,5.6089305866e+07,5.6129212224e+07
read,30,5.4700848103e+01,5.4661397934e+01,5.6089320046e+07,5.6129800773e+07
read,31,5.4700851202e+01,5.4661449909e+01,5.6089316868e+07,5.6129747401e+07
read,32,5.4700851202e+01,5.4661406040e+01,5.6089316868e+07,5.6129792449e+07
read,33,5.4700850010e+01,5.4661406994e+01,5.6089318090e+07,5.6129791470e+07
read,34,5.4700853109e+01,5.4661393881e+01,5.6089314912e+07,5.6129804935e+07
read,35,5.4700852156e+01,5.4661399126e+01,5.6089315890e+07,5.6129799549e+07
read,36,5.4700854063e+01,5.4661399126e+01,5.6089313934e+07,5.6129799549e+07
read,37,5.4700853109e+01,5.4661393881e+01,5.6089314912e+07,5.6129804935e+07
read,38,5.4700849056e+01,5.4661453962e+01,5.6089319068e+07,5.6129743239e+07
read,39,5.4700847864e+01,5.4661458015e+01,5.6089320290e+07,5.6129739077e+07
read,40,5.4700859070e+01,5.4662209988e+01,5.6089308800e+07,5.6128966917e+07
read,41,5.4700852871e+01,5.4662214994e+01,5.6089315156e+07,5.6128961776e+07
read,42,5.4700860023e+01,5.4662210941e+01,5.6089307822e+07,5.6128965938e+07
read,43,5.4700854063e+01,5.4662216902e+01,5.6089313934e+07,5.6128959817e+07
read,44,5.4700861931e+01,5.4662203074e+01,5.6089305866e+07,5.6128974017e+07
read,45,5.4700859070e+01,5.4662225008e+01,5.6089308800e+07,5.6128951493e+07
read,46,5.4700865030e+01,5.4662235022e+01,5.6089302688e+07,5.6128941211e+07
read,47,5.4700863123e+01,5.4662245035e+01,5.6089304644e+07,5.6128930929e+07
read,48,5.4700862885e+01,5.4662218094e+01,5.6089304889e+07,5.6128958593e+07
read,49,5.4700863123e+01,5.4662210941e+01,5.6089304644e+07,5.6128965938e+07
