access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.5954825878e+01,3.2644412041e+01,8.5333006100e+07,9.3986479897e+07
write,1,3.5954854012e+01,3.1076917887e+01,8.5332939330e+07,9.8727080568e+07
write,2,3.5954827070e+01,3.0096143007e+01,8.5333003271e+07,1.0194440448e+08
write,3,3.5954851151e+01,3.0837840080e+01,8.5332946121e+07,9.9492486115e+07
write,4,3.5954822063e+01,3.2131259203e+01,8.5333015154e+07,9.5487492620e+07
write,5,3.5954847097e+01,3.2446775913e+01,8.5332955740e+07,9.4558959701e+07
write,6,3.5954822063e+01,3.2121564865e+01,8.5333015154e+07,9.5516310892e+07
write,7,3.5954851151e+01,3.0785861969e+01,8.5332946121e+07,9.9660466843e+07
write,8,3.5954822063e+01,3.2321383953e+01,8.5333015154e+07,9.4925804553e+07
write,9,3.5954843998e+01,3.1655061007e+01,8.5332963096e+07,9.6923944495e+07
write,10,3.5954828024e+01,3.2068266869e+01,8.5333001008e+07,9.5675060600e+07
write,11,3.5954855204e+01,3.2439156055e+01,8.5332936501e+07,9.4581171309e+07
write,12,3.5954824209e+01,3.2662358046e+01,8.5333010061e+07,9.3934839968e+07
write,13,3.5954855204e+01,3.1252029896e+01,8.5332936501e+07,9.8173890983e+07
write,14,3.5954826117e+01,3.3323432922e+01,8.5333005535e+07,9.2071347605e+07
write,15,3.5954849005e+01,3.2049762011e+01,8.5332951213e+07,9.5730301367e+07
write,16,3.5954827070e+01,3.2925302982e+01,8.5333003271e+07,9.3184666445e+07
write,17,3.5954854012e+01,3.3006496191e+01,8.5332939330e+07,9.2955439991e+07
write,18,3.5954826117e+01,3.3241559029e+01,8.5333005535e+07,9.2298119151e+07
write,19,3.5954853058e+01,3.1530555010e+01,8.5332941594e+07,9.7306672053e+07
write,20,3.5954816818e+01,3.1620631933e+01,8.5333027603e+07,9.7029476909e+07
write,21,3.5954842091e+01,3.5947411060e+01,8.5332967623e+07,8.5350607610e+07
write,22,3.5954819918e+01,3.2273296833e+01,8.5333020247e+07,9.5067243730e+07
write,23,3.5954848051e+01,3.1852846861e+01,8.5332953477e+07,9.6322108645e+07
write,24,3.5954819918e+01,3.2075387955e+01,8.5333020247e+07,9.5653819693e+07
write,25,3.5954847097e+01,3.4092695951e+01,8.5332955740e+07,8.9993862039e+07
write,26,3.5954823017e+01,3.1530403137e+01,8.5333012891e+07,9.7307140751e+07
write,27,3.5954851151e+01,3.3984735966e+01,8.5332946121e+07,9.0279747328e+07
write,28,3.5954832077e+01,3.2145843029e+01,8.5332991388e+07,9.5444172151e+07
write,29,3.5954844952e+01,3.2287305117e+01,8.5332960833e+07,9.5025997522e+07
write,30,3.5954826832e+01,3.5105410099e+01,8.5333003837e+07,8.7397736342e+07
write,31,3.5954852819e+01,3.4554790974e+01,8.5332942160e+07,8.8790390263e+07
write,32,3.5954827070e+01,3.2746523142e+01,8.5333003271e+07,9.3693408693e+07
write,33,3.5954853058e+01,3.0588737011e+01,8.5332941594e+07,1.0030271518e+08
write,34,3.5954826117e+01,3.4806555033e+01,8.5333005535e+07,8.8148148333e+07
write,35,3.5954847813e+01,3.3979933023e+01,8.5332954042e+07,9.0292508048e+07
write,36,3.5954819918e+01,3.1781039000e+01,8.5333020247e+07,9.6539744218e+07
write,37,3.5954847097e+01,3.4144881010e+01,8.5332955740e+07,8.9856320633e+07
write,38,3.5954818964e+01,3.2044990778e+01,8.5333022510e+07,9.5744554812e+07
write,39,3.5954843998e+01,3.2952555895e+01,8.5332963096e+07,9.3107599477e+07
write,40,3.5954827785e+01,3.1522544146e+01,8.5333001574e+07,9.7331400722e+07
write,41,3.5954854965e+01,3.2185321808e+01,8.5332937067e+07,9.5327099549e+07
write,42,3.5954825878e+01,3.1363622904e+01,8.5333006100e+07,9.7824584405e+07
write,43,3.5954853058e+01,3.3890202999e+01,8.5332941594e+07,9.0531572681e+07
write,44,3.5954828978e+01,3.2711721897e+01,8.5332998744e+07,9.3793086944e+07
write,45,3.5954857111e+01,3.2373605967e+01,8.5332931974e+07,9.4772679298e+07
write,46,3.5954832077e+01,3.3798609018e+01,8.5332991388e+07,9.0776912575e+07
write,47,3.5954858065e+01,3.3303730965e+01,8.5332929711e+07,9.2125815551e+07
write,48,3.5954829931e+01,3.1771393061e+01,8.5332996481e+07,9.6569054122e+07
write,49,3.5954856873e+01,3.0361835003e+01,8.5332932540e+07,1.0105230384e+08
