access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,8.8346237183e+01,8.8327247143e+01,2.7285488515e+06,2.7291354797e+06
read,1,8.8346220970e+01,8.8327274084e+01,2.7285493522e+06,2.7291346472e+06
read,2,8.8346239090e+01,8.8327278137e+01,2.7285487926e+06,2.7291345220e+06
read,3,8.8346221924e+01,8.8327266932e+01,2.7285493228e+06,2.7291348682e+06
read,4,8.8346238136e+01,8.8327285051e+01,2.7285488221e+06,2.7291343084e+06
read,5,8.8346220970e+01,8.8327259064e+01,2.7285493522e+06,2.7291351113e+06
read,6,8.8346236229e+01,8.8327273846e+01,2.7285488810e+06,2.7291346546e+06
read,7,8.8346219063e+01,8.8327269077e+01,2.7285494111e+06,2.7291348019e+06
read,8,8.8346235037e+01,8.8327284098e+01,2.7285489178e+06,2.7291343379e+06
read,9,8.8346217871e+01,8.8327262878e+01,2.7285494480e+06,2.7291349935e+06
read,10,8.8346234083e+01,8.8327339888e+01,2.7285489472e+06,2.7291326141e+06
read,11,8.8346218109e+01,8.8327363968e+01,2.7285494406e+06,2.7291318700e+06
read,12,8.8346233845e+01,8.8327349901e+01,2.7285489546e+06,2.7291323047e+06
read,13,8.8346215963e+01,8.8327358961e+01,2.7285495069e+06,2.7291320247e+06
read,14,8.8346231937e+01,8.8327328920e+01,2.7285490135e+06,2.7291329529e+06
read,15,8.8346215963e+01,8.8327364922e+01,2.7285495069e+06,2.7291318406e+06
read,16,8.8346230984e+01,8.8327332973e+01,2.7285490430e+06,2.7291328277e+06
read,17,8.8346215963e+01,8.8327352047e+01,2.7285495069e+06,2.7291322384e+06
read,18,8.8346233845e+01,8.8327347040e+01,2.7285489546e+06,2.7291323931e+06
read,19,8.8346216917e+01,8.8327345848e+01,2.7285494774e+06,2.7291324299e+06
read,20,8.8346242905e+01,8.8327408075e+01,2.7285486748e+06,2.7291305072e+06
read,21,8.8346226931e+01,8.8327370167e+01,2.7285491681e+06,2.7291316785e+06
read,22,8.8346242905e+01,8.8327396154e+01,2.7285486748e+06,2.7291308755e+06
read,23,8.8346227884e+01,8.8327404976e+01,2.7285491387e+06,2.7291306030e+06
read,24,8.8346242905e+01,8.8327383041e+01,2.7285486748e+06,2.7291312807e+06
read,25,8.8346224070e+01,8.8327389956e+01,2.7285492565e+06,2.7291310671e+06
read,26,8.8346243858e+01,8.8327402115e+01,2.7285486453e+06,2.7291306914e+06
read,27,8.8346232176e+01,8.8327398062e+01,2.7285490061e+06,2.7291308166e+06
read,28,8.8346243858e+01,8.8327404022e+01,2.7285486453e+06,2.7291306324e+06
read,29,8.8346227884e+01,8.8327406883e+01,2.7285491387e+06,2.7291305440e+06
read,30,8.8346209049e+01,8.8326989889e+01,2.7285497204e+06,2.7291434283e+06
read,31,8.8346192122e+01,8.8326986074e+01,2.7285502432e+06,2.7291435462e+06
read,32,8.8346207142e+01,8.8326989889e+01,2.7285497793e+06,2.7291434283e+06
read,33,8.8346191168e+01,8.8327008009e+01,2.7285502727e+06,2.7291428685e+06
read,34,8.8346209049e+01,8.8326987028e+01,2.7285497204e+06,2.7291435167e+06
read,35,8.8346194029e+01,8.8326997995e+01,2.7285501843e+06,2.7291431779e+06
read,36,8.8346209049e+01,8.8327018976e+01,2.7285497204e+06,2.7291425296e+06
read,37,8.8346192122e+01,8.8327010870e+01,2.7285502432e+06,2.7291427801e+06
read,38,8.8346204996e+01,8.8327020884e+01,2.7285498456e+06,2.7291424707e+06
read,39,8.8346190214e+01,8.8327018976e+01,2.7285503021e+06,2.7291425296e+06
read,40,8.8346223116e+01,8.8343713999e+01,2.7285492860e+06,2.7286267816e+06
read,41,8.8346204996e+01,8.8343739033e+01,2.7285498456e+06,2.7286260084e+06
read,42,8.8346224070e+01,8.8343760014e+01,2.7285492565e+06,2.7286253603e+06
read,43,8.8346207142e+01,8.8343708992e+01,2.7285497793e+06,2.7286269362e+06
read,44,8.8346225977e+01,8.8343750954e+01,2.7285491976e+06,2.7286256402e+06
read,45,8.8346211195e+01,8.8343759060e+01,2.7285496541e+06,2.7286253898e+06
read,46,8.8346225023e+01,8.8343735933e+01,2.7285492270e+06,2.7286261041e+06
read,47,8.8346210003e+01,8.8343755007e+01,2.7285496909e+06,2.7286255150e+06
read,48,8.8346225977e+01,8.8343719959e+01,2.7285491976e+06,2.7286265975e+06
read,49,8.8346208096e+01,8.8343747854e+01,2.7285497499e+06,2.7286257359e+06
