access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.6517323017e+01,3.6501883984e+01,6.6011690914e+06,6.6039611574e+06
write,1,3.6517323971e+01,3.6224622965e+01,6.6011689190e+06,6.6545074668e+06
write,2,3.6517323017e+01,3.6111361980e+01,6.6011690914e+06,6.6753789051e+06
write,3,3.6517322063e+01,3.5228098154e+01,6.6011692638e+06,6.8427487327e+06
write,4,3.6517324924e+01,3.5985682011e+01,6.6011687466e+06,6.6986926614e+06
write,5,3.6517321110e+01,3.5566617966e+01,6.6011694362e+06,6.7776200771e+06
write,6,3.6517320871e+01,3.5560894966e+01,6.6011694793e+06,6.7787108347e+06
write,7,3.6517318964e+01,3.6413250923e+01,6.6011698240e+06,6.6200357806e+06
write,8,3.6517325878e+01,3.5944942951e+01,6.6011685742e+06,6.7062847847e+06
write,9,3.6517323017e+01,3.6301757097e+01,6.6011690914e+06,6.6403679402e+06
write,10,3.6517326832e+01,3.4661190033e+01,6.6011684018e+06,6.9546666970e+06
write,11,3.6517324924e+01,3.4549932957e+01,6.6011687466e+06,6.9770619903e+06
write,12,3.6517325163e+01,3.3223383904e+01,6.6011687035e+06,7.2556433354e+06
write,13,3.6517323971e+01,3.4167363167e+01,6.6011689190e+06,7.0551837092e+06
write,14,3.6517323971e+01,3.3303556919e+01,6.6011689190e+06,7.2381765283e+06
write,15,3.6517323017e+01,3.3037769794e+01,6.6011690914e+06,7.2964072787e+06
write,16,3.6517321825e+01,3.3097420931e+01,6.6011693069e+06,7.2832570400e+06
write,17,3.6517322063e+01,3.4348102093e+01,6.6011692638e+06,7.0180594942e+06
write,18,3.6517323971e+01,3.4147689104e+01,6.6011689190e+06,7.0592485268e+06
write,19,3.6517320871e+01,3.4111495018e+01,6.6011694793e+06,7.0667387598e+06
write,20,3.6517318010e+01,3.6435890913e+01,6.6011699964e+06,6.6159223216e+06
write,21,3.6517318964e+01,3.5635006905e+01,6.6011698240e+06,6.7646128046e+06
write,22,3.6517319918e+01,3.5846043825e+01,6.6011696516e+06,6.7247874040e+06
write,23,3.6517317057e+01,3.6170869112e+01,6.6011701688e+06,6.6643967900e+06
write,24,3.6517317057e+01,3.5842946768e+01,6.6011701688e+06,6.7253684682e+06
write,25,3.6517315149e+01,3.5567530870e+01,6.6011705136e+06,6.7774461173e+06
write,26,3.6517321825e+01,3.5595524073e+01,6.6011693069e+06,6.7721161657e+06
write,27,3.6517320156e+01,3.5519233942e+01,6.6011696085e+06,6.7866616829e+06
write,28,3.6517318010e+01,3.6069758892e+01,6.6011699964e+06,6.6830783294e+06
write,29,3.6517319202e+01,3.5909877062e+01,6.6011697809e+06,6.7128334521e+06
write,30,3.6517313957e+01,3.4472482920e+01,6.6011707291e+06,6.9927374991e+06
write,31,3.6517313957e+01,3.3245743036e+01,6.6011707291e+06,7.2507636162e+06
write,32,3.6517313957e+01,3.2443721056e+01,6.6011707291e+06,7.4300054419e+06
write,33,3.6517315149e+01,3.3289934158e+01,6.6011705136e+06,7.2411385031e+06
write,34,3.6517318964e+01,3.2522476196e+01,6.6011698240e+06,7.4120132349e+06
write,35,3.6517318010e+01,3.2383085012e+01,6.6011699964e+06,7.4439178326e+06
write,36,3.6517316103e+01,3.2699827909e+01,6.6011703412e+06,7.3718132299e+06
write,37,3.6517313004e+01,3.2249618053e+01,6.6011709015e+06,7.4747249285e+06
write,38,3.6517317057e+01,3.3462502003e+01,6.6011701688e+06,7.2037955793e+06
write,39,3.6517315149e+01,3.2401031017e+01,6.6011705136e+06,7.4397948593e+06
write,40,3.6517321110e+01,3.3509067774e+01,6.6011694362e+06,7.1937848473e+06
write,41,3.6517319918e+01,3.2804682970e+01,6.6011696516e+06,7.3482503769e+06
write,42,3.6517325163e+01,3.2645778894e+01,6.6011687035e+06,7.3840181538e+06
write,43,3.6517323017e+01,3.2979980946e+01,6.6011690914e+06,7.3091923369e+06
write,44,3.6517324209e+01,3.1978571892e+01,6.6011688759e+06,7.5380797121e+06
write,45,3.6517322063e+01,3.1510390043e+01,6.6011692638e+06,7.6500806137e+06
write,46,3.6517322063e+01,3.2626263857e+01,6.6011692638e+06,7.3884348222e+06
write,47,3.6517321110e+01,3.0738752842e+01,6.6011694362e+06,7.8421211569e+06
write,48,3.6517318010e+01,3.3368625879e+01,6.6011699964e+06,7.2240620537e+06
write,49,3.6517319918e+01,3.2447840929e+01,6.6011696516e+06,7.4290620608e+06
