access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,4.6592637062e+01,4.6513049126e+01,2.8851649461e+07,2.8901017183e+07
read,1,4.6592641830e+01,4.6513082981e+01,2.8851646509e+07,2.8900996147e+07
read,2,4.6592635870e+01,4.6513056040e+01,2.8851650200e+07,2.8901012887e+07
read,3,4.6592641830e+01,4.6513086081e+01,2.8851646509e+07,2.8900994221e+07
read,4,4.6592628956e+01,4.6513055086e+01,2.8851654481e+07,2.8901013479e+07
read,5,4.6592645884e+01,4.6513086081e+01,2.8851643999e+07,2.8900994221e+07
read,6,4.6592637062e+01,4.6513056040e+01,2.8851649461e+07,2.8901012887e+07
read,7,4.6592644930e+01,4.6513088942e+01,2.8851644589e+07,2.8900992443e+07
read,8,4.6592640877e+01,4.6513054132e+01,2.8851647099e+07,2.8901014072e+07
read,9,4.6592641115e+01,4.6513082981e+01,2.8851646952e+07,2.8900996147e+07
read,10,4.6592648983e+01,4.6513092041e+01,2.8851642080e+07,2.8900990517e+07
read,11,4.6592654943e+01,4.6513099909e+01,2.8851638389e+07,2.8900985628e+07
read,12,4.6592651129e+01,4.6513072014e+01,2.8851640751e+07,2.8901002961e+07
read,13,4.6592656136e+01,4.6513099909e+01,2.8851637651e+07,2.8900985628e+07
read,14,4.6592650175e+01,4.6513074875e+01,2.8851641341e+07,2.8901001183e+07
read,15,4.6592656136e+01,4.6513106108e+01,2.8851637651e+07,2.8900981777e+07
read,16,4.6592657804e+01,4.6513070822e+01,2.8851636617e+07,2.8901003702e+07
read,17,4.6592656136e+01,4.6513102055e+01,2.8851637651e+07,2.8900984295e+07
read,18,4.6592648983e+01,4.6513067007e+01,2.8851642080e+07,2.8901006072e+07
read,19,4.6592654943e+01,4.6513100147e+01,2.8851638389e+07,2.8900985480e+07
read,20,4.6592647076e+01,4.6513067007e+01,2.8851643261e+07,2.8901006072e+07
read,21,4.6592650890e+01,4.6513096809e+01,2.8851640899e+07,2.8900987554e+07
read,22,4.6592639923e+01,4.6513068914e+01,2.8851647690e+07,2.8901004887e+07
read,23,4.6592653990e+01,4.6513101101e+01,2.8851638979e+07,2.8900984888e+07
read,24,4.6592648029e+01,4.6513067007e+01,2.8851642670e+07,2.8901006072e+07
read,25,4.6592653990e+01,4.6513099194e+01,2.8851638979e+07,2.8900986073e+07
read,26,4.6592647076e+01,4.6513069868e+01,2.8851643261e+07,2.8901004294e+07
read,27,4.6592651844e+01,4.6513101101e+01,2.8851640308e+07,2.8900984888e+07
read,28,4.6592648029e+01,4.6513072968e+01,2.8851642670e+07,2.8901002368e+07
read,29,4.6592654943e+01,4.6513102055e+01,2.8851638389e+07,2.8900984295e+07
read,30,4.6592631102e+01,4.6513084888e+01,2.8851653152e+07,2.8900994961e+07
read,31,4.6592636108e+01,4.6513085842e+01,2.8851650052e+07,2.8900994369e+07
read,32,4.6592629910e+01,4.6513046980e+01,2.8851653891e+07,2.8901018516e+07
read,33,4.6592633963e+01,4.6513078928e+01,2.8851651381e+07,2.8900998665e+07
read,34,4.6592628956e+01,4.6513048172e+01,2.8851654481e+07,2.8901017775e+07
read,35,4.6592634916e+01,4.6513082981e+01,2.8851650790e+07,2.8900996147e+07
read,36,4.6592636824e+01,4.6513051033e+01,2.8851649609e+07,2.8901015998e+07
read,37,4.6592634916e+01,4.6513082027e+01,2.8851650790e+07,2.8900996739e+07
read,38,4.6592629910e+01,4.6513052940e+01,2.8851653891e+07,2.8901014812e+07
read,39,4.6592638016e+01,4.6513085842e+01,2.8851648871e+07,2.8900994369e+07
read,40,4.6592636824e+01,4.6513044834e+01,2.8851649609e+07,2.8901019849e+07
read,41,4.6592639923e+01,4.6513083935e+01,2.8851647690e+07,2.8900995554e+07
read,42,4.6592633009e+01,4.6513077021e+01,2.8851651971e+07,2.8900999850e+07
read,43,4.6592637062e+01,4.6513085842e+01,2.8851649461e+07,2.8900994369e+07
read,44,4.6592630863e+01,4.6513062000e+01,2.8851653300e+07,2.8901009183e+07
read,45,4.6592636824e+01,4.6513089180e+01,2.8851649609e+07,2.8900992295e+07
read,46,4.6592631817e+01,4.6513059139e+01,2.8851652709e+07,2.8901010961e+07
read,47,4.6592638969e+01,4.6513091087e+01,2.8851648280e+07,2.8900991110e+07
read,48,4.6592631817e+01,4.6513056040e+01,2.8851652709e+07,2.8901012887e+07
read,49,4.6592635870e+01,4.6513087988e+01,2.8851650200e+07,2.8900993036e+07
