access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.3925825119e+01,3.1655132055e+01,3.9623927415e+07,4.2466239902e+07
write,1,3.3925828934e+01,3.2226663113e+01,3.9623922959e+07,4.1713112751e+07
write,2,3.3925826073e+01,3.2819964170e+01,3.9623926301e+07,4.0959046299e+07
write,3,3.3925833941e+01,3.2506982088e+01,3.9623917112e+07,4.1353406119e+07
write,4,3.3925827980e+01,3.2155301809e+01,3.9623924073e+07,4.1805685419e+07
write,5,3.3925827026e+01,3.2264806986e+01,3.9623925187e+07,4.1663798968e+07
write,6,3.3925826073e+01,3.1626197100e+01,3.9623926301e+07,4.2505092464e+07
write,7,3.3925829887e+01,3.2334894896e+01,3.9623921845e+07,4.1573490074e+07
write,8,3.3925824881e+01,3.1684968948e+01,3.9623927693e+07,4.2426250573e+07
write,9,3.3925828934e+01,3.1964814901e+01,3.9623922959e+07,4.2054816715e+07
write,10,3.3925836802e+01,3.1550848961e+01,3.9623913770e+07,4.2606600972e+07
write,11,3.3925843954e+01,3.2631868839e+01,3.9623905416e+07,4.1195140818e+07
write,12,3.3925839901e+01,3.3367895842e+01,3.9623910150e+07,4.0286460926e+07
write,13,3.3925837994e+01,3.2315876961e+01,3.9623912378e+07,4.1597956126e+07
write,14,3.3925833941e+01,3.2490772009e+01,3.9623917112e+07,4.1374037885e+07
write,15,3.3925838947e+01,3.3880702019e+01,3.9623911264e+07,3.9676699475e+07
write,16,3.3925837040e+01,3.2843465090e+01,3.9623913492e+07,4.0929738331e+07
write,17,3.3925839186e+01,3.1236288071e+01,3.9623910985e+07,4.3035665088e+07
write,18,3.3925838947e+01,3.2640336990e+01,3.9623911264e+07,4.1184453224e+07
write,19,3.3925845861e+01,3.2148555994e+01,3.9623903188e+07,4.1814457615e+07
write,20,3.3925837040e+01,3.2947518826e+01,3.9623913492e+07,4.0800475420e+07
write,21,3.3925842047e+01,3.2452374935e+01,3.9623907644e+07,4.1422990912e+07
write,22,3.3925846815e+01,3.2922565937e+01,3.9623902075e+07,4.0831399186e+07
write,23,3.3925830841e+01,3.2495318890e+01,3.9623920732e+07,4.1368248657e+07
write,24,3.3925837040e+01,3.2835795879e+01,3.9623913492e+07,4.0939297983e+07
write,25,3.3925839186e+01,3.2791877985e+01,3.9623910985e+07,4.0994127650e+07
write,26,3.3925844908e+01,3.2717545033e+01,3.9623904302e+07,4.1087264667e+07
write,27,3.3925843000e+01,3.2040378094e+01,3.9623906530e+07,4.1955635732e+07
write,28,3.3925838947e+01,3.1302809000e+01,3.9623911264e+07,4.2944210917e+07
write,29,3.3925839901e+01,3.2937278986e+01,3.9623910150e+07,4.0813159842e+07
write,30,3.3925823927e+01,3.1981038809e+01,3.9623928807e+07,4.2033482403e+07
write,31,3.3925823927e+01,3.2892373800e+01,3.9623928807e+07,4.0868878609e+07
write,32,3.3925817966e+01,3.2517297983e+01,3.9623935769e+07,4.1340287028e+07
write,33,3.3925823927e+01,3.3383641005e+01,3.9623928807e+07,4.0267460096e+07
write,34,3.3925820112e+01,3.3615841866e+01,3.9623933262e+07,3.9989313294e+07
write,35,3.3925833941e+01,3.2296057940e+01,3.9623917112e+07,4.1623483415e+07
write,36,3.3925822973e+01,3.1617175102e+01,3.9623929921e+07,4.2517221341e+07
write,37,3.3925829887e+01,3.2734217882e+01,3.9623921845e+07,4.1066337276e+07
write,38,3.3925822973e+01,3.3648011923e+01,3.9623929921e+07,3.9951080470e+07
write,39,3.3925822973e+01,3.2710568905e+01,3.9623929921e+07,4.1096027278e+07
write,40,3.3925824165e+01,3.0127028942e+01,3.9623928529e+07,4.4620212454e+07
write,41,3.3925827026e+01,3.2736797094e+01,3.9623925187e+07,4.1063101809e+07
write,42,3.3925822020e+01,3.2834568024e+01,3.9623931035e+07,4.0940828916e+07
write,43,3.3925827026e+01,3.2194766998e+01,3.9623925187e+07,4.1754438915e+07
write,44,3.3925822020e+01,3.2964130878e+01,3.9623931035e+07,4.0779914294e+07
write,45,3.3925843000e+01,3.1429635048e+01,3.9623906530e+07,4.2770920819e+07
write,46,3.3925827026e+01,3.2992259979e+01,3.9623925187e+07,4.0745145463e+07
write,47,3.3925812960e+01,3.2992556095e+01,3.9623941616e+07,4.0744779766e+07
write,48,3.3925820112e+01,3.2516629219e+01,3.9623933262e+07,4.1341137267e+07
write,49,3.3925822973e+01,3.3247547150e+01,3.9623929921e+07,4.0432288913e+07
