access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,6.3746809959e+01,6.3657529831e+01,4.9480700321e+05,4.9550097347e+05
read,1,6.3746815920e+01,6.3657588959e+01,4.9480695694e+05,4.9550051323e+05
read,2,6.3746812105e+01,6.3657568932e+01,4.9480698655e+05,4.9550066912e+05
read,3,6.3746814966e+01,6.3657581806e+01,4.9480696434e+05,4.9550056890e+05
read,4,6.3746811867e+01,6.3657559872e+01,4.9480698840e+05,4.9550073964e+05
read,5,6.3746816874e+01,6.3657598019e+01,4.9480694954e+05,4.9550044271e+05
read,6,6.3746818781e+01,6.3657576084e+01,4.9480693473e+05,4.9550061344e+05
read,7,6.3746814966e+01,6.3657573938e+01,4.9480696434e+05,4.9550063015e+05
read,8,6.3746809006e+01,6.3657553911e+01,4.9480701061e+05,4.9550078603e+05
read,9,6.3746818066e+01,6.3657557011e+01,4.9480694029e+05,4.9550076191e+05
read,10,6.3746831894e+01,6.3657551050e+01,4.9480683295e+05,4.9550080830e+05
read,11,6.3746834040e+01,6.3657603025e+01,4.9480681629e+05,4.9550040374e+05
read,12,6.3746830940e+01,6.3657577038e+01,4.9480684035e+05,4.9550060602e+05
read,13,6.3746836901e+01,6.3657598019e+01,4.9480679409e+05,4.9550044271e+05
read,14,6.3746850014e+01,6.3657589912e+01,4.9480669230e+05,4.9550050581e+05
read,15,6.3746833086e+01,6.3657609224e+01,4.9480682370e+05,4.9550035549e+05
read,16,6.3746844053e+01,6.3657582998e+01,4.9480673857e+05,4.9550055962e+05
read,17,6.3746835947e+01,6.3657586098e+01,4.9480680149e+05,4.9550053550e+05
read,18,6.3746832848e+01,6.3657593012e+01,4.9480682555e+05,4.9550048168e+05
read,19,6.3746835947e+01,6.3657596111e+01,4.9480680149e+05,4.9550045756e+05
read,20,6.3746824026e+01,6.3657238960e+01,4.9480689402e+05,4.9550323758e+05
read,21,6.3746830940e+01,6.3657223940e+01,4.9480684035e+05,4.9550335449e+05
read,22,6.3746833086e+01,6.3657239199e+01,4.9480682370e+05,4.9550323572e+05
read,23,6.3746828079e+01,6.3657262087e+01,4.9480686256e+05,4.9550305756e+05
read,24,6.3746827841e+01,6.3657238960e+01,4.9480686441e+05,4.9550323758e+05
read,25,6.3746829987e+01,6.3657218933e+01,4.9480684775e+05,4.9550339347e+05
read,26,6.3746824026e+01,6.3657233238e+01,4.9480689402e+05,4.9550328212e+05
read,27,6.3746829987e+01,6.3657261133e+01,4.9480684775e+05,4.9550306498e+05
read,28,6.3746822834e+01,6.3657217979e+01,4.9480690327e+05,4.9550340089e+05
read,29,6.3746827126e+01,6.3657251120e+01,4.9480686996e+05,4.9550314293e+05
read,30,6.3746799946e+01,6.3657433987e+01,4.9480708093e+05,4.9550171951e+05
read,31,6.3746800900e+01,6.3657439947e+01,4.9480707353e+05,4.9550167311e+05
read,32,6.3746810913e+01,6.3657460928e+01,4.9480699580e+05,4.9550150980e+05
read,33,6.3746800900e+01,6.3657476902e+01,4.9480707353e+05,4.9550138546e+05
read,34,6.3746798038e+01,6.3657432079e+01,4.9480709574e+05,4.9550173436e+05
read,35,6.3746803045e+01,6.3657474995e+01,4.9480705687e+05,4.9550140031e+05
read,36,6.3746797085e+01,6.3657450914e+01,4.9480710314e+05,4.9550158775e+05
read,37,6.3746803045e+01,6.3657474041e+01,4.9480705687e+05,4.9550140773e+05
read,38,6.3746800184e+01,6.3657438993e+01,4.9480707908e+05,4.9550168054e+05
read,39,6.3746801138e+01,6.3657470942e+01,4.9480707168e+05,4.9550143186e+05
read,40,6.3746805906e+01,6.3657638073e+01,4.9480703467e+05,4.9550013093e+05
read,41,6.3746805906e+01,6.3657660961e+01,4.9480703467e+05,4.9549995277e+05
read,42,6.3746803045e+01,6.3657627106e+01,4.9480705687e+05,4.9550021630e+05
read,43,6.3746807814e+01,6.3657662153e+01,4.9480701986e+05,4.9549994350e+05
read,44,6.3746800900e+01,6.3657647133e+01,4.9480707353e+05,4.9550006041e+05
read,45,6.3746807098e+01,6.3657659054e+01,4.9480702541e+05,4.9549996762e+05
read,46,6.3746803045e+01,6.3657648087e+01,4.9480705687e+05,4.9550005299e+05
read,47,6.3746805906e+01,6.3657629967e+01,4.9480703467e+05,4.9550019403e+05
read,48,6.3746816874e+01,6.3657617092e+01,4.9480694954e+05,4.9550029424e+05
read,49,6.3746805906e+01,6.3657653093e+01,4.9480703467e+05,4.9550001402e+05
