access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.0340831041e+01,3.0129273891e+01,1.0396013200e+06,1.0469010343e+06
write,1,3.0340834856e+01,3.0216522932e+01,1.0396011893e+06,1.0438781481e+06
write,2,3.0340833902e+01,3.0215246916e+01,1.0396012220e+06,1.0439222320e+06
write,3,3.0340836048e+01,3.0176862001e+01,1.0396011484e+06,1.0452500992e+06
write,4,3.0340830803e+01,3.0091161966e+01,1.0396013282e+06,1.0482269856e+06
write,5,3.0340835810e+01,3.0187796831e+01,1.0396011566e+06,1.0448714816e+06
write,6,3.0340829849e+01,3.0219403028e+01,1.0396013608e+06,1.0437786600e+06
write,7,3.0340834141e+01,3.0186192989e+01,1.0396012138e+06,1.0449269973e+06
write,8,3.0340830088e+01,3.0299079895e+01,1.0396013527e+06,1.0410338568e+06
write,9,3.0340835810e+01,3.0211009026e+01,1.0396011566e+06,1.0440686696e+06
write,10,3.0340837955e+01,3.0170274019e+01,1.0396010831e+06,1.0454783400e+06
write,11,3.0340842009e+01,3.0128775120e+01,1.0396009442e+06,1.0469183654e+06
write,12,3.0340837002e+01,3.0215888023e+01,1.0396011158e+06,1.0439000825e+06
write,13,3.0340842009e+01,3.0044892073e+01,1.0396009442e+06,1.0498412816e+06
write,14,3.0340839148e+01,3.0180129051e+01,1.0396010422e+06,1.0451369491e+06
write,15,3.0340844154e+01,3.0171478033e+01,1.0396008707e+06,1.0454366195e+06
write,16,3.0340838909e+01,3.0216530085e+01,1.0396010504e+06,1.0438779010e+06
write,17,3.0340847969e+01,3.0180711031e+01,1.0396007400e+06,1.0451167955e+06
write,18,3.0340842962e+01,3.0215597153e+01,1.0396009115e+06,1.0439101316e+06
write,19,3.0340845108e+01,3.0172606230e+01,1.0396008380e+06,1.0453975291e+06
write,20,3.0340841055e+01,3.0132097960e+01,1.0396009769e+06,1.0468029157e+06
write,21,3.0340847015e+01,3.0215987921e+01,1.0396007726e+06,1.0438966312e+06
write,22,3.0340837955e+01,3.0089964867e+01,1.0396010831e+06,1.0482686882e+06
write,23,3.0340842962e+01,3.0141630888e+01,1.0396009115e+06,1.0464718421e+06
write,24,3.0340835810e+01,3.0133275986e+01,1.0396011566e+06,1.0467619921e+06
write,25,3.0340840101e+01,3.0173687935e+01,1.0396010096e+06,1.0453600524e+06
write,26,3.0340836048e+01,3.0141080141e+01,1.0396011484e+06,1.0464909636e+06
write,27,3.0340841055e+01,3.0128337145e+01,1.0396009769e+06,1.0469335844e+06
write,28,3.0340837002e+01,3.0172662020e+01,1.0396011158e+06,1.0453955962e+06
write,29,3.0340838909e+01,3.0222242117e+01,1.0396010504e+06,1.0436806071e+06
write,30,3.0340824127e+01,3.0259243965e+01,1.0396015569e+06,1.0424043653e+06
write,31,3.0340829134e+01,3.0087167978e+01,1.0396013853e+06,1.0483661348e+06
write,32,3.0340824127e+01,3.0134253025e+01,1.0396015569e+06,1.0467280531e+06
write,33,3.0340831041e+01,3.0170770884e+01,1.0396013200e+06,1.0454611227e+06
write,34,3.0340825081e+01,3.0217087030e+01,1.0396015242e+06,1.0438586608e+06
write,35,3.0340831041e+01,3.0255728006e+01,1.0396013200e+06,1.0425255011e+06
write,36,3.0340827942e+01,3.0215107918e+01,1.0396014262e+06,1.0439270343e+06
write,37,3.0340831995e+01,3.0172045946e+01,1.0396012873e+06,1.0454169418e+06
write,38,3.0340826988e+01,3.0259025097e+01,1.0396014589e+06,1.0424119052e+06
write,39,3.0340832949e+01,3.0173279047e+01,1.0396012546e+06,1.0453742184e+06
write,40,3.0340826035e+01,3.0171871901e+01,1.0396014915e+06,1.0454229722e+06
write,41,3.0340830803e+01,3.0091051102e+01,1.0396013282e+06,1.0482308476e+06
write,42,3.0340823889e+01,3.0215099096e+01,1.0396015651e+06,1.0439273391e+06
write,43,3.0340832949e+01,3.0134119034e+01,1.0396012546e+06,1.0467327074e+06
write,44,3.0340825796e+01,3.0170803070e+01,1.0396014997e+06,1.0454600074e+06
write,45,3.0340828896e+01,3.0133383989e+01,1.0396013935e+06,1.0467582403e+06
write,46,3.0340827942e+01,3.0129835129e+01,1.0396014262e+06,1.0468815334e+06
write,47,3.0340831995e+01,3.0086896181e+01,1.0396012873e+06,1.0483756055e+06
write,48,3.0340825081e+01,3.0088156939e+01,1.0396015242e+06,1.0483316763e+06
write,49,3.0340830088e+01,3.0175944090e+01,1.0396013527e+06,1.0452818943e+06
