access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,5.4519071817e+01,5.4496491909e+01,3.4085070146e+08,3.4099192849e+08
read,1,5.4519170046e+01,5.4496506929e+01,3.4085008734e+08,3.4099183451e+08
read,2,5.4519562006e+01,5.4496496916e+01,3.4084763685e+08,3.4099189716e+08
read,3,5.4519216061e+01,5.4496508837e+01,3.4084979966e+08,3.4099182257e+08
read,4,5.4519108057e+01,5.4496488094e+01,3.4085047489e+08,3.4099195236e+08
read,5,5.4519668102e+01,5.4496506929e+01,3.4084697356e+08,3.4099183451e+08
read,6,5.4519075871e+01,5.4496495008e+01,3.4085067612e+08,3.4099190910e+08
read,7,5.4519118786e+01,5.4496510983e+01,3.4085040782e+08,3.4099180914e+08
read,8,5.4519524097e+01,5.4496485949e+01,3.4084787385e+08,3.4099196579e+08
read,9,5.4519230127e+01,5.4496505976e+01,3.4084971172e+08,3.4099184047e+08
read,10,5.4519109011e+01,5.4496510029e+01,3.4085046893e+08,3.4099181511e+08
read,11,5.4519085884e+01,5.4496507168e+01,3.4085061352e+08,3.4099183301e+08
read,12,5.4519378901e+01,5.4496484995e+01,3.4084878160e+08,3.4099197175e+08
read,13,5.4519582033e+01,5.4496506214e+01,3.4084751165e+08,3.4099183898e+08
read,14,5.4519213915e+01,5.4496490955e+01,3.4084981308e+08,3.4099193446e+08
read,15,5.4519186974e+01,5.4496510983e+01,3.4084998151e+08,3.4099180914e+08
read,16,5.4519037008e+01,5.4496482849e+01,3.4085091909e+08,3.4099198518e+08
read,17,5.4519479036e+01,5.4496503115e+01,3.4084815557e+08,3.4099185837e+08
read,18,5.4519151926e+01,5.4496488094e+01,3.4085020063e+08,3.4099195236e+08
read,19,5.4519032001e+01,5.4496504068e+01,3.4085095039e+08,3.4099185241e+08
read,20,5.4539719820e+01,5.4496503115e+01,3.4072165998e+08,3.4099185837e+08
read,21,5.4540036917e+01,5.4496518850e+01,3.4071967902e+08,3.4099175991e+08
read,22,5.4539723873e+01,5.4496503830e+01,3.4072163466e+08,3.4099185390e+08
read,23,5.4539993048e+01,5.4496523857e+01,3.4071995308e+08,3.4099172859e+08
read,24,5.4539715052e+01,5.4496500015e+01,3.4072168977e+08,3.4099187777e+08
read,25,5.4539722919e+01,5.4496520042e+01,3.4072164062e+08,3.4099175246e+08
read,26,5.4539724112e+01,5.4496527910e+01,3.4072163317e+08,3.4099170323e+08
read,27,5.4539717913e+01,5.4496529102e+01,3.4072167190e+08,3.4099169577e+08
read,28,5.4539722919e+01,5.4496504068e+01,3.4072164062e+08,3.4099185241e+08
read,29,5.4540068865e+01,5.4496526003e+01,3.4071947944e+08,3.4099171516e+08
read,30,5.4519022942e+01,5.4496533155e+01,3.4085100703e+08,3.4099167041e+08
read,31,5.4519548893e+01,5.4496535063e+01,3.4084771883e+08,3.4099165847e+08
read,32,5.4519335985e+01,5.4496505976e+01,3.4084904990e+08,3.4099184047e+08
read,33,5.4519088984e+01,5.4496521950e+01,3.4085059414e+08,3.4099174052e+08
read,34,5.4519170046e+01,5.4496510029e+01,3.4085008734e+08,3.4099181511e+08
read,35,5.4519158125e+01,5.4496522188e+01,3.4085016187e+08,3.4099173903e+08
read,36,5.4519042969e+01,5.4496506929e+01,3.4085088182e+08,3.4099183451e+08
read,37,5.4519128084e+01,5.4496525049e+01,3.4085034968e+08,3.4099172113e+08
read,38,5.4519649029e+01,5.4496508121e+01,3.4084709280e+08,3.4099182705e+08
read,39,5.4519212008e+01,5.4496529818e+01,3.4084982500e+08,3.4099169129e+08
read,40,5.4519143820e+01,5.4496510029e+01,3.4085025131e+08,3.4099181511e+08
read,41,5.4519414902e+01,5.4496527910e+01,3.4084855653e+08,3.4099170323e+08
read,42,5.4519062996e+01,5.4496541023e+01,3.4085075661e+08,3.4099162118e+08
read,43,5.4519471169e+01,5.4496541023e+01,3.4084820476e+08,3.4099162118e+08
read,44,5.4519242048e+01,5.4496514082e+01,3.4084963719e+08,3.4099178975e+08
read,45,5.4519148111e+01,5.4496534109e+01,3.4085022448e+08,3.4099166444e+08
read,46,5.4519109011e+01,5.4496520042e+01,3.4085046893e+08,3.4099175246e+08
read,47,5.4519627094e+01,5.4496537924e+01,3.4084722993e+08,3.4099164057e+08
read,48,5.4519198895e+01,5.4496510983e+01,3.4084990698e+08,3.4099180914e+08
read,49,5.4519047976e+01,5.4496529102e+01,3.4085085052e+08,3.4099169577e+08
