access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.6836401939e+01,3.3908612013e+01,5.0447011363e+08,5.4802785395e+08
write,1,3.6836149216e+01,3.3743252993e+01,5.0447357467e+08,5.5071346785e+08
write,2,3.6836092949e+01,3.3769374847e+01,5.0447434525e+08,5.5028747070e+08
write,3,3.6836069107e+01,3.3259495020e+01,5.0447467177e+08,5.5872357235e+08
write,4,3.6836371183e+01,3.4059150934e+01,5.0447053483e+08,5.4560561148e+08
write,5,3.6836063147e+01,3.3833613157e+01,5.0447475340e+08,5.4924266544e+08
write,6,3.6836035013e+01,3.2724548817e+01,5.0447513869e+08,5.6785699250e+08
write,7,3.6836420059e+01,3.4170381069e+01,5.0446986548e+08,5.4382957668e+08
write,8,3.6836119890e+01,3.2969496965e+01,5.0447397629e+08,5.6363807708e+08
write,9,3.6836176872e+01,3.3321012974e+01,5.0447319591e+08,5.5769204516e+08
write,10,3.6836340904e+01,3.3965115786e+01,5.0447094950e+08,5.4711616440e+08
write,11,3.6836343050e+01,3.3463010073e+01,5.0447092011e+08,5.5532553203e+08
write,12,3.6836158037e+01,3.4191395998e+01,5.0447345386e+08,5.4349532476e+08
write,13,3.6836206198e+01,3.2733533144e+01,5.0447279430e+08,5.6770113358e+08
write,14,3.6836187124e+01,3.1457444906e+01,5.0447305551e+08,5.9073023659e+08
write,15,3.6836373806e+01,3.0752202988e+01,5.0447049891e+08,6.0427748475e+08
write,16,3.6836097002e+01,3.4885182858e+01,5.0447428974e+08,5.3268644020e+08
write,17,3.6836052179e+01,3.4163794041e+01,5.0447490360e+08,5.4393443099e+08
write,18,3.6836134911e+01,3.3707303047e+01,5.0447377058e+08,5.5130082184e+08
write,19,3.6836059093e+01,3.1987229109e+01,5.0447480891e+08,5.8094634608e+08
write,20,3.6836290121e+01,3.6828775883e+01,5.0447164497e+08,5.0457457319e+08
write,21,3.6836210966e+01,3.5840856075e+01,5.0447272900e+08,5.1848270122e+08
write,22,3.6836167097e+01,3.4183271885e+01,5.0447332979e+08,5.4362449372e+08
write,23,3.6836385012e+01,3.5592959166e+01,5.0447034545e+08,5.2209381596e+08
write,24,3.6836160898e+01,3.6449268818e+01,5.0447341468e+08,5.0982816596e+08
write,25,3.6836097002e+01,3.5128663063e+01,5.0447428974e+08,5.2899433829e+08
write,26,3.6836373091e+01,3.4049030066e+01,5.0447050871e+08,5.4576778946e+08
write,27,3.6836123943e+01,3.4429027081e+01,5.0447392078e+08,5.3974408944e+08
write,28,3.6836182117e+01,3.4381017208e+01,5.0447312408e+08,5.4049779154e+08
write,29,3.6836070061e+01,3.3977241039e+01,5.0447465871e+08,5.4692091834e+08
write,30,3.6836249828e+01,3.4940937996e+01,5.0447219678e+08,5.3183643422e+08
write,31,3.6836131096e+01,3.4260474920e+01,5.0447382282e+08,5.4239948265e+08
write,32,3.6836293936e+01,3.4369646072e+01,5.0447159273e+08,5.4067661427e+08
write,33,3.6836379051e+01,3.4002682924e+01,5.0447042708e+08,5.4651169478e+08
write,34,3.6836069822e+01,3.3652714014e+01,5.0447466197e+08,5.5219510273e+08
write,35,3.6836158037e+01,3.3967218876e+01,5.0447345386e+08,5.4708228954e+08
write,36,3.6836186886e+01,3.3411193132e+01,5.0447305878e+08,5.5618677844e+08
write,37,3.6835873127e+01,3.3164685011e+01,5.0447735575e+08,5.6032083121e+08
write,38,3.6836019039e+01,3.3125012159e+01,5.0447535746e+08,5.6099191096e+08
write,39,3.6836102962e+01,3.3567396164e+01,5.0447420811e+08,5.5359861043e+08
write,40,3.6836066008e+01,3.4356830120e+01,5.0447471422e+08,5.4087830009e+08
write,41,3.6836174965e+01,3.3723457098e+01,5.0447322204e+08,5.5103674033e+08
write,42,3.6836117983e+01,3.4018829823e+01,5.0447400241e+08,5.4625229524e+08
write,43,3.6836409092e+01,3.4278089046e+01,5.0447001567e+08,5.4212076545e+08
write,44,3.6836321831e+01,3.3404634953e+01,5.0447121071e+08,5.5629597205e+08
write,45,3.6836174965e+01,3.3892172813e+01,5.0447322204e+08,5.4829367165e+08
write,46,3.6836124182e+01,3.3517742157e+01,5.0447391751e+08,5.5441872501e+08
write,47,3.6836413860e+01,3.3431796074e+01,5.0446995037e+08,5.5584401840e+08
write,48,3.6836251020e+01,3.5650473118e+01,5.0447218045e+08,5.2125153601e+08
write,49,3.6836236000e+01,3.5126927853e+01,5.0447238616e+08,5.2902046971e+08
