access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,4.9272825956e+01,4.9268661976e+01,8.1092974118e+06,8.1099827756e+06
read,1,4.9272825956e+01,4.9268666029e+01,8.1092974118e+06,8.1099821084e+06
read,2,4.9272819996e+01,4.9268667936e+01,8.1092983928e+06,8.1099817944e+06
read,3,4.9272830009e+01,4.9268666029e+01,8.1092967447e+06,8.1099821084e+06
read,4,4.9272823095e+01,4.9268666983e+01,8.1092978827e+06,8.1099819514e+06
read,5,4.9273102999e+01,4.9268665075e+01,8.1092518166e+06,8.1099822654e+06
read,6,4.9272821188e+01,4.9268668890e+01,8.1092981966e+06,8.1099816375e+06
read,7,4.9272823095e+01,4.9268666983e+01,8.1092978827e+06,8.1099819514e+06
read,8,4.9272814035e+01,4.9268666029e+01,8.1092993737e+06,8.1099821084e+06
read,9,4.9272821188e+01,4.9268664837e+01,8.1092981966e+06,8.1099823046e+06
read,10,4.9272815943e+01,4.9268701792e+01,8.1092990598e+06,8.1099762216e+06
read,11,4.9272819042e+01,4.9268657923e+01,8.1092985497e+06,8.1099834428e+06
read,12,4.9272819042e+01,4.9268651009e+01,8.1092985497e+06,8.1099845809e+06
read,13,4.9272815943e+01,4.9268655777e+01,8.1092990598e+06,8.1099837960e+06
read,14,4.9272821903e+01,4.9268656969e+01,8.1092980789e+06,8.1099835997e+06
read,15,4.9273166895e+01,4.9268656969e+01,8.1092413007e+06,8.1099835997e+06
read,16,4.9272819042e+01,4.9268651009e+01,8.1092985497e+06,8.1099845809e+06
read,17,4.9272818089e+01,4.9268653154e+01,8.1092987067e+06,8.1099842277e+06
read,18,4.9272819042e+01,4.9268652916e+01,8.1092985497e+06,8.1099842669e+06
read,19,4.9272811890e+01,4.9268654108e+01,8.1092997269e+06,8.1099840707e+06
read,20,4.9272828102e+01,4.9268672943e+01,8.1092970587e+06,8.1099809703e+06
read,21,4.9273127079e+01,4.9268671036e+01,8.1092478535e+06,8.1099812843e+06
read,22,4.9272829056e+01,4.9268668175e+01,8.1092969017e+06,8.1099817552e+06
read,23,4.9272828102e+01,4.9268669128e+01,8.1092970587e+06,8.1099815982e+06
read,24,4.9272818089e+01,4.9268665075e+01,8.1092987067e+06,8.1099822654e+06
read,25,4.9272829056e+01,4.9268653870e+01,8.1092969017e+06,8.1099841099e+06
read,26,4.9272829056e+01,4.9268712997e+01,8.1092969017e+06,8.1099743771e+06
read,27,4.9272828102e+01,4.9268672943e+01,8.1092970587e+06,8.1099809703e+06
read,28,4.9272830009e+01,4.9268680096e+01,8.1092967447e+06,8.1099797929e+06
read,29,4.9272828102e+01,4.9268669844e+01,8.1092970587e+06,8.1099814805e+06
read,30,4.9272832155e+01,4.9268676043e+01,8.1092963916e+06,8.1099804601e+06
read,31,4.9272833109e+01,4.9268676996e+01,8.1092962346e+06,8.1099803031e+06
read,32,4.9272832155e+01,4.9268670082e+01,8.1092963916e+06,8.1099814412e+06
read,33,4.9272830963e+01,4.9268676996e+01,8.1092965878e+06,8.1099803031e+06
read,34,4.9272831917e+01,4.9268680096e+01,8.1092964308e+06,8.1099797929e+06
read,35,4.9272834063e+01,4.9268680811e+01,8.1092960777e+06,8.1099796752e+06
read,36,4.9272830963e+01,4.9268677950e+01,8.1092965878e+06,8.1099801461e+06
read,37,4.9273114920e+01,4.9268679857e+01,8.1092498546e+06,8.1099798322e+06
read,38,4.9272830009e+01,4.9268682957e+01,8.1092967447e+06,8.1099793220e+06
read,39,4.9272830009e+01,4.9268678904e+01,8.1092967447e+06,8.1099799892e+06
read,40,4.9272825003e+01,4.9268723011e+01,8.1092975688e+06,8.1099727288e+06
read,41,4.9272834063e+01,4.9268676996e+01,8.1092960777e+06,8.1099803031e+06
read,42,4.9272827148e+01,4.9268726110e+01,8.1092972156e+06,8.1099722186e+06
read,43,4.9272835016e+01,4.9268671989e+01,8.1092959207e+06,8.1099811273e+06
read,44,4.9273127079e+01,4.9268679142e+01,8.1092478535e+06,8.1099799499e+06
read,45,4.9272835970e+01,4.9268682003e+01,8.1092957638e+06,8.1099794790e+06
read,46,4.9272838116e+01,4.9268680096e+01,8.1092954106e+06,8.1099797929e+06
read,47,4.9272837162e+01,4.9268682003e+01,8.1092955676e+06,8.1099794790e+06
read,48,4.9272835970e+01,4.9268676043e+01,8.1092957638e+06,8.1099804601e+06
read,49,4.9272835970e+01,4.9268678188e+01,8.1092957638e+06,8.1099801069e+06
