access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,4.3622046399e+02,4.2911806393e+02,9.1597720186e+05,9.3113768352e+05
write,1,4.3622016716e+02,2.0183288693e+02,9.1597782515e+05,1.9796971944e+06
write,2,4.3622019005e+02,4.3612816095e+02,9.1597777709e+05,9.1617106111e+05
write,3,4.3622016883e+02,4.3192296410e+02,9.1597782164e+05,9.2509089170e+05
write,4,4.3622018290e+02,3.9772837090e+02,9.1597779210e+05,1.0046253404e+06
write,5,4.3622017002e+02,1.9962706399e+02,9.1597781914e+05,2.0015722919e+06
write,6,4.3622016907e+02,3.0725360107e+02,9.1597782114e+05,1.3004501773e+06
write,7,4.3622015882e+02,1.9972579098e+02,9.1597784267e+05,2.0005828894e+06
write,8,4.3622017503e+02,3.0725227284e+02,9.1597780862e+05,1.3004557991e+06
write,9,4.3622015691e+02,1.9972618198e+02,9.1597784667e+05,2.0005789728e+06
write,10,4.3622037816e+02,3.2693047595e+02,9.1597738209e+05,1.2221803392e+06
write,11,4.3622007108e+02,4.3832942009e+01,9.1597802690e+05,9.1157011528e+06
write,12,4.3622008419e+02,3.2693006086e+02,9.1597799937e+05,1.2221818910e+06
write,13,4.3622007489e+02,4.3832193136e+01,9.1597801889e+05,9.1158568945e+06
write,14,4.3622008681e+02,1.9162224603e+02,9.1597799386e+05,2.0851858711e+06
write,15,4.3622007394e+02,4.3831748009e+01,9.1597802089e+05,9.1159494693e+06
write,16,4.3622007895e+02,1.9164178801e+02,9.1597801038e+05,2.0849732418e+06
write,17,4.3622007108e+02,4.3830703020e+01,9.1597802690e+05,9.1161668070e+06
write,18,4.3622007895e+02,1.9164292002e+02,9.1597801038e+05,2.0849609261e+06
write,19,4.3622007203e+02,4.3832602024e+01,9.1597802490e+05,9.1157718581e+06
write,20,4.3622025704e+02,2.2470221806e+02,9.1597763641e+05,1.7782111964e+06
write,21,4.3622024989e+02,7.0246766090e+01,9.1597765143e+05,5.6880625577e+06
write,22,4.3622023892e+02,2.2458881688e+02,9.1597767446e+05,1.7791090650e+06
write,23,4.3622023892e+02,7.0247256994e+01,9.1597767446e+05,5.6880228082e+06
write,24,4.3622024488e+02,2.2467642403e+02,9.1597766194e+05,1.7784153443e+06
write,25,4.3622023606e+02,7.0246282816e+01,9.1597768046e+05,5.6881016900e+06
write,26,4.3622025013e+02,1.9691837788e+02,9.1597765093e+05,2.0291046692e+06
write,27,4.3622023892e+02,3.2296459913e+01,9.1597767446e+05,1.2371882277e+07
write,28,4.3622052908e+02,1.9566077805e+02,9.1597706519e+05,2.0421466376e+06
write,29,4.3622023988e+02,3.2296021223e+01,9.1597767245e+05,1.2372050329e+07
write,30,4.3622053599e+02,2.6122111297e+02,9.1597705067e+05,1.5296160232e+06
write,31,4.3622026014e+02,1.9863475490e+02,9.1597762990e+05,2.0115714403e+06
write,32,4.3622027898e+02,2.6418172312e+02,9.1597759035e+05,1.5124740474e+06
write,33,4.3622026300e+02,1.9853555584e+02,9.1597762389e+05,2.0125765297e+06
write,34,4.3622027111e+02,3.9394935608e+02,9.1597760687e+05,1.0142623508e+06
write,35,4.3622026587e+02,3.2628483200e+02,9.1597761788e+05,1.2245987579e+06
write,36,4.3622027302e+02,2.6122054219e+02,9.1597760286e+05,1.5296193655e+06
write,37,4.3622026587e+02,1.9856828380e+02,9.1597761788e+05,2.0122448176e+06
write,38,4.3622026300e+02,2.6268724799e+02,9.1597762389e+05,1.5210787850e+06
write,39,4.3622025585e+02,1.9856784892e+02,9.1597763891e+05,2.0122492245e+06
write,40,4.3622034192e+02,3.9588281393e+02,9.1597745818e+05,1.0093087801e+06
write,41,4.3622033381e+02,2.6363532305e+02,9.1597747520e+05,1.5156087408e+06
write,42,4.3622034693e+02,3.2393348694e+02,9.1597744767e+05,1.2334877872e+06
write,43,4.3622033501e+02,1.9724824977e+02,9.1597747270e+05,2.0257112571e+06
write,44,4.3622034907e+02,3.9588321400e+02,9.1597744316e+05,1.0093077601e+06
write,45,4.3622033882e+02,3.2701681089e+02,9.1597746469e+05,1.2218576743e+06
write,46,4.3622034788e+02,2.6363464618e+02,9.1597744567e+05,1.5156126321e+06
write,47,4.3622034001e+02,1.9724885511e+02,9.1597746219e+05,2.0257050403e+06
write,48,4.3622063804e+02,2.6363572407e+02,9.1597683640e+05,1.5156064354e+06
write,49,4.3622033882e+02,1.9724566007e+02,9.1597746469e+05,2.0257378533e+06
