access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,5.8810220003e+01,5.8797155857e+01,5.1563857300e+07,5.1575314278e+07
read,1,5.8810226917e+01,5.8797148943e+01,5.1563851237e+07,5.1575320343e+07
read,2,5.8810227156e+01,5.8797122002e+01,5.1563851028e+07,5.1575343975e+07
read,3,5.8810224056e+01,5.8797159195e+01,5.1563853746e+07,5.1575311350e+07
read,4,5.8810230017e+01,5.8797124863e+01,5.1563848520e+07,5.1575341466e+07
read,5,5.8810229063e+01,5.8797150850e+01,5.1563849356e+07,5.1575318670e+07
read,6,5.8810239077e+01,5.8797159910e+01,5.1563840576e+07,5.1575310723e+07
read,7,5.8810225010e+01,5.8797149181e+01,5.1563852910e+07,5.1575320134e+07
read,8,5.8810221910e+01,5.8797139168e+01,5.1563855627e+07,5.1575328918e+07
read,9,5.8810229063e+01,5.8797160864e+01,5.1563849356e+07,5.1575309886e+07
read,10,5.8810239077e+01,5.8797466040e+01,5.1563840576e+07,5.1575042196e+07
read,11,5.8810232162e+01,5.8797429085e+01,5.1563846638e+07,5.1575074611e+07
read,12,5.8810248852e+01,5.8797466040e+01,5.1563832006e+07,5.1575042196e+07
read,13,5.8810245991e+01,5.8797426939e+01,5.1563834514e+07,5.1575076493e+07
read,14,5.8810254812e+01,5.8797452927e+01,5.1563826780e+07,5.1575053698e+07
read,15,5.8810239077e+01,5.8797442913e+01,5.1563840576e+07,5.1575062482e+07
read,16,5.8810250998e+01,5.8797464848e+01,5.1563830124e+07,5.1575043241e+07
read,17,5.8810253859e+01,5.8797453165e+01,5.1563827616e+07,5.1575053489e+07
read,18,5.8810237885e+01,5.8797441006e+01,5.1563841621e+07,5.1575064155e+07
read,19,5.8810241222e+01,5.8797467947e+01,5.1563838695e+07,5.1575040523e+07
read,20,5.8810228109e+01,5.8797465086e+01,5.1563850192e+07,5.1575043032e+07
read,21,5.8810225010e+01,5.8797456026e+01,5.1563852910e+07,5.1575050979e+07
read,22,5.8810234785e+01,5.8797466040e+01,5.1563844339e+07,5.1575042196e+07
read,23,5.8810220957e+01,5.8797453165e+01,5.1563856463e+07,5.1575053489e+07
read,24,5.8810233116e+01,5.8797441959e+01,5.1563845802e+07,5.1575063318e+07
read,25,5.8810226917e+01,5.8797423124e+01,5.1563851237e+07,5.1575079840e+07
read,26,5.8810219049e+01,5.8797423124e+01,5.1563858136e+07,5.1575079840e+07
read,27,5.8810214043e+01,5.8797458172e+01,5.1563862526e+07,5.1575049097e+07
read,28,5.8810230970e+01,5.8797455072e+01,5.1563847684e+07,5.1575051816e+07
read,29,5.8810222149e+01,5.8797468901e+01,5.1563855418e+07,5.1575039686e+07
read,30,5.8810235977e+01,5.8797353983e+01,5.1563843294e+07,5.1575140488e+07
read,31,5.8810225010e+01,5.8797343016e+01,5.1563852910e+07,5.1575150108e+07
read,32,5.8810238123e+01,5.8797349930e+01,5.1563841412e+07,5.1575144043e+07
read,33,5.8810225010e+01,5.8797317028e+01,5.1563852910e+07,5.1575172904e+07
read,34,5.8810222149e+01,5.8797310829e+01,5.1563855418e+07,5.1575178341e+07
read,35,5.8810218096e+01,5.8797339916e+01,5.1563858972e+07,5.1575152827e+07
read,36,5.8810232162e+01,5.8797339916e+01,5.1563846638e+07,5.1575152827e+07
read,37,5.8810226917e+01,5.8797307968e+01,5.1563851237e+07,5.1575180851e+07
read,38,5.8810232162e+01,5.8797347069e+01,5.1563846638e+07,5.1575146553e+07
read,39,5.8810220957e+01,5.8797340870e+01,5.1563856463e+07,5.1575151990e+07
read,40,5.8810218811e+01,5.8797385931e+01,5.1563858345e+07,5.1575112464e+07
read,41,5.8810205936e+01,5.8797436953e+01,5.1563869633e+07,5.1575067710e+07
read,42,5.8810207129e+01,5.8797438860e+01,5.1563868588e+07,5.1575066037e+07
read,43,5.8810197830e+01,5.8797430992e+01,5.1563876740e+07,5.1575072938e+07
read,44,5.8810213089e+01,5.8797415972e+01,5.1563863362e+07,5.1575086114e+07
read,45,5.8810199976e+01,5.8797386885e+01,5.1563874859e+07,5.1575111628e+07
read,46,5.8810216188e+01,5.8797423840e+01,5.1563860644e+07,5.1575079212e+07
read,47,5.8810211897e+01,5.8797427893e+01,5.1563864407e+07,5.1575075657e+07
read,48,5.8810219049e+01,5.8797418118e+01,5.1563858136e+07,5.1575084231e+07
read,49,5.8810205936e+01,5.8797420025e+01,5.1563869633e+07,5.1575082558e+07
