access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,4.1496457100e+01,3.2251688004e+01,7.3078089166e+07,9.4025521755e+07
write,1,4.1496448994e+01,3.5345393896e+01,7.3078103441e+07,8.5795671168e+07
write,2,4.1496449947e+01,3.4389382124e+01,7.3078101762e+07,8.8180758266e+07
write,3,4.1496450186e+01,3.5397737026e+01,7.3078101342e+07,8.5668803906e+07
write,4,4.1496449947e+01,3.9518783092e+01,7.3078101762e+07,7.6735201712e+07
write,5,4.1496442080e+01,4.0652818918e+01,7.3078115617e+07,7.4594625236e+07
write,6,4.1496447086e+01,3.4982849121e+01,7.3078106800e+07,8.6684814650e+07
write,7,4.1496442080e+01,3.3627092123e+01,7.3078115617e+07,9.0179721187e+07
write,8,4.1496449947e+01,3.6775609970e+01,7.3078101762e+07,8.2459048115e+07
write,9,4.1496440887e+01,3.7048349142e+01,7.3078117717e+07,8.1852008584e+07
write,10,4.1496454954e+01,3.3210077047e+01,7.3078092944e+07,9.1312097460e+07
write,11,4.1496453047e+01,3.2438525915e+01,7.3078096303e+07,9.3483957931e+07
write,12,4.1496459961e+01,3.3791584015e+01,7.3078084127e+07,8.9740741087e+07
write,13,4.1496454954e+01,3.1735670805e+01,7.3078092944e+07,9.5554362491e+07
write,14,4.1496460199e+01,3.5473883152e+01,7.3078083707e+07,8.5484912351e+07
write,15,4.1496454954e+01,3.6225330830e+01,7.3078092944e+07,8.3711638308e+07
write,16,4.1496460199e+01,3.6242666960e+01,7.3078083707e+07,8.3671596115e+07
write,17,4.1496453047e+01,3.6709142923e+01,7.3078096303e+07,8.2608351776e+07
write,18,4.1496457100e+01,3.7484989166e+01,7.3078089166e+07,8.0898563917e+07
write,19,4.1496456146e+01,3.6990478039e+01,7.3078090845e+07,8.1980064946e+07
write,20,4.1496443033e+01,4.1477984905e+01,7.3078113938e+07,7.3110634447e+07
write,21,4.1496440887e+01,3.8671856880e+01,7.3078117717e+07,7.8415727525e+07
write,22,4.1496445179e+01,3.9183549166e+01,7.3078110159e+07,7.7391707912e+07
write,23,4.1496441841e+01,3.8073531866e+01,7.3078116037e+07,7.9648029573e+07
write,24,4.1496448040e+01,3.8450438023e+01,7.3078105121e+07,7.8867288592e+07
write,25,4.1496441126e+01,3.3905102968e+01,7.3078117297e+07,8.9440276729e+07
write,26,4.1496444941e+01,3.8206393003e+01,7.3078110579e+07,7.9371056873e+07
write,27,4.1496442795e+01,3.5924054861e+01,7.3078114358e+07,8.4413683359e+07
write,28,4.1496450186e+01,3.7825991154e+01,7.3078101342e+07,8.0169261915e+07
write,29,4.1496443033e+01,3.7534826040e+01,7.3078113938e+07,8.0791150830e+07
write,30,4.1496443987e+01,3.6857410908e+01,7.3078112258e+07,8.2276039399e+07
write,31,4.1496445894e+01,3.4884753942e+01,7.3078108899e+07,8.6928570487e+07
write,32,4.1496453047e+01,3.7834970951e+01,7.3078096303e+07,8.0150234446e+07
write,33,4.1496445894e+01,3.5478962898e+01,7.3078108899e+07,8.5472672939e+07
write,34,4.1496446133e+01,3.6323457956e+01,7.3078108480e+07,8.3485492919e+07
write,35,4.1496436834e+01,3.5706629992e+01,7.3078124855e+07,8.4927695297e+07
write,36,4.1496434927e+01,3.4192511797e+01,7.3078128214e+07,8.8688476881e+07
write,37,4.1496436834e+01,3.5679812908e+01,7.3078124855e+07,8.4991527276e+07
write,38,4.1496440172e+01,3.7085020065e+01,7.3078118976e+07,8.1771070547e+07
write,39,4.1496433020e+01,3.6345029116e+01,7.3078131573e+07,8.3435943395e+07
write,40,4.1496433973e+01,3.4839169979e+01,7.3078129893e+07,8.7042308810e+07
write,41,4.1496429920e+01,3.9615017891e+01,7.3078137031e+07,7.6548792691e+07
write,42,4.1496437073e+01,3.7152547836e+01,7.3078124435e+07,8.1622444990e+07
write,43,4.1496426821e+01,3.9502794027e+01,7.3078142489e+07,7.6766260885e+07
write,44,4.1496438026e+01,3.7356212139e+01,7.3078122755e+07,8.1177443278e+07
write,45,4.1496437073e+01,3.2942830086e+01,7.3078124435e+07,9.2052862007e+07
write,46,4.1496441841e+01,3.7585222006e+01,7.3078116037e+07,8.0682822401e+07
write,47,4.1496434212e+01,3.8346359015e+01,7.3078129473e+07,7.9081348789e+07
write,48,4.1496435881e+01,4.0357228994e+01,7.3078126534e+07,7.5140981370e+07
write,49,4.1496434212e+01,3.6211097002e+01,7.3078129473e+07,8.3744543609e+07
