access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,9.8253417969e+01,9.8211864233e+01,2.2668311048e+06,2.2677902078e+06
read,1,9.8253412008e+01,9.8211882114e+01,2.2668312423e+06,2.2677897949e+06
read,2,9.8253416061e+01,9.8211905003e+01,2.2668311488e+06,2.2677892664e+06
read,3,9.8253412008e+01,9.8211868048e+01,2.2668312423e+06,2.2677901197e+06
read,4,9.8253420115e+01,9.8211900949e+01,2.2668310552e+06,2.2677893600e+06
read,5,9.8253412008e+01,9.8211878061e+01,2.2668312423e+06,2.2677898885e+06
read,6,9.8253413916e+01,9.8211899996e+01,2.2668311983e+06,2.2677893820e+06
read,7,9.8253416061e+01,9.8211882114e+01,2.2668311488e+06,2.2677897949e+06
read,8,9.8253417015e+01,9.8211894989e+01,2.2668311268e+06,2.2677894976e+06
read,9,9.8253411055e+01,9.8211875200e+01,2.2668312643e+06,2.2677899546e+06
read,10,9.8253436089e+01,9.8211797953e+01,2.2668306867e+06,2.2677917383e+06
read,11,9.8253429890e+01,9.8211809874e+01,2.2668308297e+06,2.2677914630e+06
read,12,9.8253437042e+01,9.8211831093e+01,2.2668306647e+06,2.2677909731e+06
read,13,9.8253432035e+01,9.8211780071e+01,2.2668307802e+06,2.2677921512e+06
read,14,9.8253438950e+01,9.8211802959e+01,2.2668306207e+06,2.2677916227e+06
read,15,9.8253434896e+01,9.8211802006e+01,2.2668307142e+06,2.2677916447e+06
read,16,9.8253438950e+01,9.8211826086e+01,2.2668306207e+06,2.2677910887e+06
read,17,9.8253429890e+01,9.8211802959e+01,2.2668308297e+06,2.2677916227e+06
read,18,9.8253437042e+01,9.8211814165e+01,2.2668306647e+06,2.2677913639e+06
read,19,9.8253433943e+01,9.8211811066e+01,2.2668307362e+06,2.2677914355e+06
read,20,9.8253409147e+01,9.8212041855e+01,2.2668313083e+06,2.2677861064e+06
read,21,9.8253401995e+01,9.8212032080e+01,2.2668314733e+06,2.2677863321e+06
read,22,9.8253407001e+01,9.8212009907e+01,2.2668313578e+06,2.2677868441e+06
read,23,9.8253407001e+01,9.8212021828e+01,2.2668313578e+06,2.2677865688e+06
read,24,9.8253412962e+01,9.8212010860e+01,2.2668312203e+06,2.2677868221e+06
read,25,9.8253409863e+01,9.8212041855e+01,2.2668312918e+06,2.2677861064e+06
read,26,9.8253412008e+01,9.8212052107e+01,2.2668312423e+06,2.2677858697e+06
read,27,9.8253402948e+01,9.8212003946e+01,2.2668314513e+06,2.2677869817e+06
read,28,9.8253411055e+01,9.8212002993e+01,2.2668312643e+06,2.2677870038e+06
read,29,9.8253417969e+01,9.8212010860e+01,2.2668311048e+06,2.2677868221e+06
read,30,9.8253415108e+01,9.8211648941e+01,2.2668311708e+06,2.2677951791e+06
read,31,9.8253417015e+01,9.8211624146e+01,2.2668311268e+06,2.2677957517e+06
read,32,9.8253419876e+01,9.8211681128e+01,2.2668310607e+06,2.2677944359e+06
read,33,9.8253412008e+01,9.8211673021e+01,2.2668312423e+06,2.2677946231e+06
read,34,9.8253420830e+01,9.8211636066e+01,2.2668310387e+06,2.2677954764e+06
read,35,9.8253413916e+01,9.8211649895e+01,2.2668311983e+06,2.2677951571e+06
read,36,9.8253414869e+01,9.8211685181e+01,2.2668311763e+06,2.2677943423e+06
read,37,9.8253416061e+01,9.8211635828e+01,2.2668311488e+06,2.2677954819e+06
read,38,9.8253410101e+01,9.8211637020e+01,2.2668312863e+06,2.2677954544e+06
read,39,9.8253416061e+01,9.8211655855e+01,2.2668311488e+06,2.2677950194e+06
read,40,9.8253385067e+01,9.8211799860e+01,2.2668318638e+06,2.2677916943e+06
read,41,9.8253376961e+01,9.8211821079e+01,2.2668320509e+06,2.2677912043e+06
read,42,9.8253385067e+01,9.8211829901e+01,2.2668318638e+06,2.2677910006e+06
read,43,9.8253381014e+01,9.8211816072e+01,2.2668319574e+06,2.2677913199e+06
read,44,9.8253389120e+01,9.8211824894e+01,2.2668317703e+06,2.2677911162e+06
read,45,9.8253381968e+01,9.8211805105e+01,2.2668319353e+06,2.2677915731e+06
read,46,9.8253392935e+01,9.8211817026e+01,2.2668316823e+06,2.2677912979e+06
read,47,9.8253395081e+01,9.8211814165e+01,2.2668316328e+06,2.2677913639e+06
read,48,9.8253385067e+01,9.8211797953e+01,2.2668318638e+06,2.2677917383e+06
read,49,9.8253386021e+01,9.8211800814e+01,2.2668318418e+06,2.2677916722e+06
