access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.4965698004e+01,3.2481070995e+01,6.3697828648e+06,6.8570369503e+06
write,1,3.4965704918e+01,3.2178462982e+01,6.3697816052e+06,6.9215208981e+06
write,2,3.4965692997e+01,3.2170091152e+01,6.3697837769e+06,6.9233221301e+06
write,3,3.4965705872e+01,3.2469645977e+01,6.3697814315e+06,6.8594497198e+06
write,4,3.4965692997e+01,3.0044970036e+01,6.3697837769e+06,7.4130180106e+06
write,5,3.4965706110e+01,3.1892526150e+01,6.3697813881e+06,6.9835767463e+06
write,6,3.4965692997e+01,3.2413861036e+01,6.3697837769e+06,6.8712549779e+06
write,7,3.4965703011e+01,3.1365983963e+01,6.3697819527e+06,7.1008103639e+06
write,8,3.4965692997e+01,3.2352060080e+01,6.3697837769e+06,6.8843808849e+06
write,9,3.4965704918e+01,3.2384760141e+01,6.3697816052e+06,6.8774294769e+06
write,10,3.4965699911e+01,3.2606554031e+01,6.3697825173e+06,6.8306483349e+06
write,11,3.4965713024e+01,3.2578130007e+01,6.3697801285e+06,6.8366079930e+06
write,12,3.4965698004e+01,3.2068166971e+01,6.3697828648e+06,6.9453269406e+06
write,13,3.4965712070e+01,3.1051763058e+01,6.3697803022e+06,7.1726653197e+06
write,14,3.4965701103e+01,3.1836052895e+01,6.3697823002e+06,6.9959647553e+06
write,15,3.4965709925e+01,3.2505100012e+01,6.3697806931e+06,6.8519679656e+06
write,16,3.4965702057e+01,3.0985491037e+01,6.3697821264e+06,7.1880062747e+06
write,17,3.4965707064e+01,3.2196511984e+01,6.3697812143e+06,6.9176407715e+06
write,18,3.4965693951e+01,3.2176389933e+01,6.3697836032e+06,6.9219668355e+06
write,19,3.4965708017e+01,3.2784184933e+01,6.3697810406e+06,6.7936385930e+06
write,20,3.4965687037e+01,3.1508934975e+01,6.3697848627e+06,7.0685951201e+06
write,21,3.4965702057e+01,3.1828161001e+01,6.3697821264e+06,6.9976994270e+06
write,22,3.4965686083e+01,3.0941269875e+01,6.3697850365e+06,7.1982793500e+06
write,23,3.4965698004e+01,3.0930570126e+01,6.3697828648e+06,7.2007694361e+06
write,24,3.4965687037e+01,3.0648509979e+01,6.3697848627e+06,7.2670385657e+06
write,25,3.4965698004e+01,3.1170161009e+01,6.3697828648e+06,7.1454203890e+06
write,26,3.4965685129e+01,3.0772256136e+01,6.3697852102e+06,7.2378152260e+06
write,27,3.4965698004e+01,3.0855818033e+01,6.3697828648e+06,7.2182142039e+06
write,28,3.4965684175e+01,3.0942114115e+01,6.3697853839e+06,7.1980829485e+06
write,29,3.4965696812e+01,3.0968799114e+01,6.3697830820e+06,7.1918805498e+06
write,30,3.4965690136e+01,3.4850382090e+01,6.3697842981e+06,6.3908597452e+06
write,31,3.4965704918e+01,3.4061136961e+01,6.3697816052e+06,6.5389450815e+06
write,32,3.4965705872e+01,3.4429354906e+01,6.3697814315e+06,6.4690118246e+06
write,33,3.4965703964e+01,3.4854491949e+01,6.3697817790e+06,6.3901061684e+06
write,34,3.4965692997e+01,3.4524060011e+01,6.3697837769e+06,6.4512662743e+06
write,35,3.4965703964e+01,3.4948084831e+01,6.3697817790e+06,6.3729931147e+06
write,36,3.4965692997e+01,3.4596135855e+01,6.3697837769e+06,6.4378260316e+06
write,37,3.4965716839e+01,3.4051536798e+01,6.3697794336e+06,6.5407886087e+06
write,38,3.4965692997e+01,3.3904044867e+01,6.3697837769e+06,6.5692428404e+06
write,39,3.4965703011e+01,3.4820581913e+01,6.3697819527e+06,6.3963291756e+06
write,40,3.4965679884e+01,3.3151690006e+01,6.3697861657e+06,6.7183272997e+06
write,41,3.4965692043e+01,3.1800673962e+01,6.3697839506e+06,7.0037479164e+06
write,42,3.4965681076e+01,3.2486493111e+01,6.3697859486e+06,6.8558924856e+06
write,43,3.4965697050e+01,3.2560125113e+01,6.3697830385e+06,6.8403884577e+06
write,44,3.4965683937e+01,3.2268412113e+01,6.3697854274e+06,6.9022269586e+06
write,45,3.4965697050e+01,3.2750401020e+01,6.3697830385e+06,6.8006466200e+06
write,46,3.4965683937e+01,3.2710286140e+01,6.3697854274e+06,6.8089867219e+06
write,47,3.4965696096e+01,3.2419661045e+01,6.3697832123e+06,6.8700256826e+06
write,48,3.4965685844e+01,3.2861710072e+01,6.3697850799e+06,6.7776114972e+06
write,49,3.4965692043e+01,3.2768188000e+01,6.3697839506e+06,6.7969551445e+06
