access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,4.9043478966e+01,4.8962882042e+01,2.9248576941e+07,2.9296722500e+07
read,1,4.9043473005e+01,4.8962901831e+01,2.9248580496e+07,2.9296710660e+07
read,2,4.9043478966e+01,4.8962879896e+01,2.9248576941e+07,2.9296723784e+07
read,3,4.9043478966e+01,4.8962901115e+01,2.9248576941e+07,2.9296711088e+07
read,4,4.9043474913e+01,4.8962882042e+01,2.9248579359e+07,2.9296722500e+07
read,5,4.9043471098e+01,4.8962903023e+01,2.9248581634e+07,2.9296709947e+07
read,6,4.9043475866e+01,4.8962882996e+01,2.9248578790e+07,2.9296721930e+07
read,7,4.9043478966e+01,4.8962903023e+01,2.9248576941e+07,2.9296709947e+07
read,8,4.9043467045e+01,4.8962877035e+01,2.9248584051e+07,2.9296725496e+07
read,9,4.9043473959e+01,4.8962898970e+01,2.9248579927e+07,2.9296712372e+07
read,10,4.9043479919e+01,4.8962914944e+01,2.9248576373e+07,2.9296702814e+07
read,11,4.9043473959e+01,4.8962905169e+01,2.9248579927e+07,2.9296708663e+07
read,12,4.9043475151e+01,4.8962879896e+01,2.9248579216e+07,2.9296723784e+07
read,13,4.9043471098e+01,4.8962905169e+01,2.9248581634e+07,2.9296708663e+07
read,14,4.9043478012e+01,4.8962892056e+01,2.9248577510e+07,2.9296716509e+07
read,15,4.9043478012e+01,4.8962910175e+01,2.9248577510e+07,2.9296705667e+07
read,16,4.9043478966e+01,4.8962883949e+01,2.9248576941e+07,2.9296721359e+07
read,17,4.9043478012e+01,4.8962908030e+01,2.9248577510e+07,2.9296706951e+07
read,18,4.9043476820e+01,4.8962901831e+01,2.9248578221e+07,2.9296710660e+07
read,19,4.9043477058e+01,4.8962906122e+01,2.9248578079e+07,2.9296708092e+07
read,20,4.9043488979e+01,4.8962893009e+01,2.9248570969e+07,2.9296715938e+07
read,21,4.9043483019e+01,4.8962922096e+01,2.9248574524e+07,2.9296698534e+07
read,22,4.9043484926e+01,4.8962916136e+01,2.9248573387e+07,2.9296702100e+07
read,23,4.9043488026e+01,4.8962918997e+01,2.9248571538e+07,2.9296700389e+07
read,24,4.9043488026e+01,4.8962897062e+01,2.9248571538e+07,2.9296713513e+07
read,25,4.9043484926e+01,4.8962918997e+01,2.9248573387e+07,2.9296700389e+07
read,26,4.9043483973e+01,4.8962923050e+01,2.9248573955e+07,2.9296697963e+07
read,27,4.9043483973e+01,4.8962920904e+01,2.9248573955e+07,2.9296699247e+07
read,28,4.9043489933e+01,4.8962897062e+01,2.9248570401e+07,2.9296713513e+07
read,29,4.9043479204e+01,4.8962919950e+01,2.9248576799e+07,2.9296699818e+07
read,30,4.9043487072e+01,4.8962901831e+01,2.9248572107e+07,2.9296710660e+07
read,31,4.9043485165e+01,4.8962924004e+01,2.9248573244e+07,2.9296697393e+07
read,32,4.9043490887e+01,4.8962896824e+01,2.9248569832e+07,2.9296713656e+07
read,33,4.9043486834e+01,4.8962919950e+01,2.9248572249e+07,2.9296699818e+07
read,34,4.9043489218e+01,4.8962901115e+01,2.9248570827e+07,2.9296711088e+07
read,35,4.9043488026e+01,4.8962920904e+01,2.9248571538e+07,2.9296699247e+07
read,36,4.9043490171e+01,4.8962898016e+01,2.9248570258e+07,2.9296712942e+07
read,37,4.9043481112e+01,4.8962921858e+01,2.9248575662e+07,2.9296698677e+07
read,38,4.9043483973e+01,4.8962902069e+01,2.9248573955e+07,2.9296710517e+07
read,39,4.9043488979e+01,4.8962922812e+01,2.9248570969e+07,2.9296698106e+07
read,40,4.9043481112e+01,4.8962889910e+01,2.9248575662e+07,2.9296717793e+07
read,41,4.9043478966e+01,4.8962915182e+01,2.9248576941e+07,2.9296702671e+07
read,42,4.9043478966e+01,4.8962915897e+01,2.9248576941e+07,2.9296702243e+07
read,43,4.9043477058e+01,4.8962917089e+01,2.9248578079e+07,2.9296701530e+07
read,44,4.9043483019e+01,4.8962892056e+01,2.9248574524e+07,2.9296716509e+07
read,45,4.9043478012e+01,4.8962918997e+01,2.9248577510e+07,2.9296700389e+07
read,46,4.9043480158e+01,4.8962895155e+01,2.9248576230e+07,2.9296714654e+07
read,47,4.9043470860e+01,4.8962917089e+01,2.9248581776e+07,2.9296701530e+07
read,48,4.9043483973e+01,4.8962888956e+01,2.9248573955e+07,2.9296718363e+07
read,49,4.9043476105e+01,4.8962913990e+01,2.9248578648e+07,2.9296703384e+07
