access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.3561677933e+01,3.1402355909e+01,4.2740770318e+07,4.5679756390e+07
write,1,3.3561679840e+01,3.2454619169e+01,4.2740767889e+07,4.4198699745e+07
write,2,3.3561669111e+01,3.2329603195e+01,4.2740781552e+07,4.4369612560e+07
write,3,3.3561683893e+01,3.1860634089e+01,4.2740762727e+07,4.5022706203e+07
write,4,3.3561682940e+01,3.1240339994e+01,4.2740763942e+07,4.5916656741e+07
write,5,3.3561673880e+01,3.2352524042e+01,4.2740775479e+07,4.4338177947e+07
write,6,3.3561674118e+01,3.2036652088e+01,4.2740775176e+07,4.4775339322e+07
write,7,3.3561671019e+01,3.2449829102e+01,4.2740779123e+07,4.4205224117e+07
write,8,3.3561675072e+01,3.2697259188e+01,4.2740773961e+07,4.3870709767e+07
write,9,3.3561679125e+01,3.1416474104e+01,4.2740768800e+07,4.5659228443e+07
write,10,3.3561677217e+01,3.0167412996e+01,4.2740771229e+07,4.7549717577e+07
write,11,3.3561685085e+01,3.1743932962e+01,4.2740761209e+07,4.5188224462e+07
write,12,3.3561676979e+01,3.2516567945e+01,4.2740771532e+07,4.4114494814e+07
write,13,3.3561683893e+01,3.1027970076e+01,4.2740762727e+07,4.6230931785e+07
write,14,3.3561672926e+01,3.2488859892e+01,4.2740776694e+07,4.4152117765e+07
write,15,3.3561677933e+01,3.1040380955e+01,4.2740770318e+07,4.6212447266e+07
write,16,3.3561672926e+01,3.3515139818e+01,4.2740776694e+07,4.2800118865e+07
write,17,3.3561676979e+01,3.2226468086e+01,4.2740771532e+07,4.4511609655e+07
write,18,3.3561672211e+01,3.0813629150e+01,4.2740777605e+07,4.6552516128e+07
write,19,3.3561681986e+01,3.2522353172e+01,4.2740765156e+07,4.4106647523e+07
write,20,3.3561676979e+01,3.0789072990e+01,4.2740771532e+07,4.6589644594e+07
write,21,3.3561686993e+01,3.1364701033e+01,4.2740758780e+07,4.5734597199e+07
write,22,3.3561687946e+01,3.2181324959e+01,4.2740757565e+07,4.4574049385e+07
write,23,3.3561679125e+01,3.1725155115e+01,4.2740768800e+07,4.5214970984e+07
write,24,3.3561675072e+01,3.2331025839e+01,4.2740773961e+07,4.4367660190e+07
write,25,3.3561682940e+01,3.1384929180e+01,4.2740763942e+07,4.5705120434e+07
write,26,3.3561686039e+01,3.2189290047e+01,4.2740759994e+07,4.4563019747e+07
write,27,3.3561693907e+01,3.2126159906e+01,4.2740749975e+07,4.4650589183e+07
write,28,3.3561686993e+01,3.2447536945e+01,4.2740758780e+07,4.4208346859e+07
write,29,3.3561695814e+01,3.0855643988e+01,4.2740747546e+07,4.6489127518e+07
write,30,3.3561689138e+01,3.1137914896e+01,4.2740756047e+07,4.6067695052e+07
write,31,3.3561691999e+01,3.1562556028e+01,4.2740752404e+07,4.5447902467e+07
write,32,3.3561683178e+01,3.1618772030e+01,4.2740763638e+07,4.5367099223e+07
write,33,3.3561686993e+01,3.2435379982e+01,4.2740758780e+07,4.4224916397e+07
write,34,3.3561684132e+01,3.2276407957e+01,4.2740762423e+07,4.4442738793e+07
write,35,3.3561686993e+01,3.1325574160e+01,4.2740758780e+07,4.5791721508e+07
write,36,3.3561681986e+01,3.2285502911e+01,4.2740765156e+07,4.4430219098e+07
write,37,3.3561691999e+01,3.1858426094e+01,4.2740752404e+07,4.5025826567e+07
write,38,3.3561678886e+01,3.2295874834e+01,4.2740769103e+07,4.4415950191e+07
write,39,3.3561683178e+01,3.1977122068e+01,4.2740763638e+07,4.4858695067e+07
write,40,3.3561676979e+01,3.0783438921e+01,4.2740771532e+07,4.6598171558e+07
write,41,3.3561676025e+01,3.2170907021e+01,4.2740772747e+07,4.4588483846e+07
write,42,3.3561674118e+01,3.1618062019e+01,4.2740775176e+07,4.5368117980e+07
write,43,3.3561681986e+01,3.1543694973e+01,4.2740765156e+07,4.5475077325e+07
write,44,3.3561678886e+01,3.1729915857e+01,4.2740769103e+07,4.5208186950e+07
write,45,3.3561703920e+01,3.1905149937e+01,4.2740737223e+07,4.4959888007e+07
write,46,3.3561683893e+01,3.2097257137e+01,4.2740762727e+07,4.4690795910e+07
write,47,3.3561690092e+01,3.1904902935e+01,4.2740754833e+07,4.4960236078e+07
write,48,3.3561676025e+01,3.0772226095e+01,4.2740772747e+07,4.6615151064e+07
write,49,3.3561681986e+01,3.1209515095e+01,4.2740765156e+07,4.5962007537e+07
