access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,6.7224709034e+01,6.7136379957e+01,4.8529108521e+05,4.8592956637e+05
read,1,6.7224721909e+01,6.7136390924e+01,4.8529099227e+05,4.8592948699e+05
read,2,6.7224715948e+01,6.7136415005e+01,4.8529103530e+05,4.8592931269e+05
read,3,6.7224718094e+01,6.7136434078e+01,4.8529101981e+05,4.8592917464e+05
read,4,6.7224716187e+01,6.7136404991e+01,4.8529103358e+05,4.8592938517e+05
read,5,6.7224724054e+01,6.7136425018e+01,4.8529097678e+05,4.8592924022e+05
read,6,6.7224714994e+01,6.7136418819e+01,4.8529104218e+05,4.8592928508e+05
read,7,6.7224720001e+01,6.7136441231e+01,4.8529100604e+05,4.8592912287e+05
read,8,6.7224715948e+01,6.7136368036e+01,4.8529103530e+05,4.8592965265e+05
read,9,6.7224723101e+01,6.7136435032e+01,4.8529098366e+05,4.8592916774e+05
read,10,6.7224714041e+01,6.7136385918e+01,4.8529104907e+05,4.8592952322e+05
read,11,6.7224721193e+01,6.7136419058e+01,4.8529099743e+05,4.8592928336e+05
read,12,6.7224714041e+01,6.7136411905e+01,4.8529104907e+05,4.8592933513e+05
read,13,6.7224716187e+01,6.7136442900e+01,4.8529103358e+05,4.8592911079e+05
read,14,6.7224706173e+01,6.7136405945e+01,4.8529110586e+05,4.8592937827e+05
read,15,6.7224717140e+01,6.7136446953e+01,4.8529102669e+05,4.8592908146e+05
read,16,6.7224709034e+01,6.7136430025e+01,4.8529108521e+05,4.8592920398e+05
read,17,6.7224717140e+01,6.7136430025e+01,4.8529102669e+05,4.8592920398e+05
read,18,6.7224713087e+01,6.7136435986e+01,4.8529105595e+05,4.8592916084e+05
read,19,6.7224718094e+01,6.7136451006e+01,4.8529101981e+05,4.8592905212e+05
read,20,6.7224731207e+01,6.7136207819e+01,4.8529092514e+05,4.8593081230e+05
read,21,6.7224732876e+01,6.7136240959e+01,4.8529091310e+05,4.8593057243e+05
read,22,6.7224725962e+01,6.7136211157e+01,4.8529096301e+05,4.8593078814e+05
read,23,6.7224734068e+01,6.7136282921e+01,4.8529090449e+05,4.8593026871e+05
read,24,6.7224726915e+01,6.7136229992e+01,4.8529095613e+05,4.8593065181e+05
read,25,6.7224735022e+01,6.7136267900e+01,4.8529089761e+05,4.8593037743e+05
read,26,6.7224730015e+01,6.7136219025e+01,4.8529093375e+05,4.8593073119e+05
read,27,6.7224737167e+01,6.7136261940e+01,4.8529088212e+05,4.8593042057e+05
read,28,6.7224730015e+01,6.7136229038e+01,4.8529093375e+05,4.8593065871e+05
read,29,6.7224733829e+01,6.7136228800e+01,4.8529090621e+05,4.8593066044e+05
read,30,6.7224723101e+01,6.7136362791e+01,4.8529098366e+05,4.8592969061e+05
read,31,6.7224725008e+01,6.7136405945e+01,4.8529096989e+05,4.8592937827e+05
read,32,6.7224718094e+01,6.7136373043e+01,4.8529101981e+05,4.8592961641e+05
read,33,6.7224729061e+01,6.7136420012e+01,4.8529094063e+05,4.8592927646e+05
read,34,6.7224724054e+01,6.7136368990e+01,4.8529097678e+05,4.8592964575e+05
read,35,6.7224730015e+01,6.7136404037e+01,4.8529093375e+05,4.8592939207e+05
read,36,6.7224721909e+01,6.7136404991e+01,4.8529099227e+05,4.8592938517e+05
read,37,6.7224729061e+01,6.7136405945e+01,4.8529094063e+05,4.8592937827e+05
read,38,6.7224718809e+01,6.7136407852e+01,4.8529101464e+05,4.8592936446e+05
read,39,6.7224726200e+01,6.7136417150e+01,4.8529096129e+05,4.8592929716e+05
read,40,6.7224714041e+01,6.7136479855e+01,4.8529104907e+05,4.8592884332e+05
read,41,6.7224720001e+01,6.7136507034e+01,4.8529100604e+05,4.8592864659e+05
read,42,6.7224718094e+01,6.7136484861e+01,4.8529101981e+05,4.8592880708e+05
read,43,6.7224724770e+01,6.7136524916e+01,4.8529097162e+05,4.8592851717e+05
read,44,6.7224714041e+01,6.7136497021e+01,4.8529104907e+05,4.8592871907e+05
read,45,6.7224725008e+01,6.7136533022e+01,4.8529096989e+05,4.8592845849e+05
read,46,6.7224717855e+01,6.7136518002e+01,4.8529102153e+05,4.8592856721e+05
read,47,6.7224723816e+01,6.7136528969e+01,4.8529097850e+05,4.8592848783e+05
read,48,6.7224715233e+01,6.7136520863e+01,4.8529104046e+05,4.8592854650e+05
read,49,6.7224723816e+01,6.7136533976e+01,4.8529097850e+05,4.8592845159e+05
