access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.0293631077e+01,3.0171674013e+01,1.0769112464e+06,1.0812642343e+06
write,1,3.0293634176e+01,3.0167299032e+01,1.0769111362e+06,1.0814210435e+06
write,2,3.0293648005e+01,3.0167746782e+01,1.0769106446e+06,1.0814049931e+06
write,3,3.0293644905e+01,3.0225193024e+01,1.0769107548e+06,1.0793496662e+06
write,4,3.0293648005e+01,3.0130211830e+01,1.0769106446e+06,1.0827521620e+06
write,5,3.0293644905e+01,3.0171161890e+01,1.0769107548e+06,1.0812825876e+06
write,6,3.0293646097e+01,3.0213110924e+01,1.0769107124e+06,1.0797812937e+06
write,7,3.0293644905e+01,3.0216557026e+01,1.0769107548e+06,1.0796581481e+06
write,8,3.0293644905e+01,3.0211570978e+01,1.0769107548e+06,1.0798363324e+06
write,9,3.0293642998e+01,3.0212150097e+01,1.0769108226e+06,1.0798156336e+06
write,10,3.0293647051e+01,3.0171744108e+01,1.0769106785e+06,1.0812617223e+06
write,11,3.0293642044e+01,3.0210196972e+01,1.0769108565e+06,1.0798854450e+06
write,12,3.0293635130e+01,3.0252416849e+01,1.0769111023e+06,1.0783783710e+06
write,13,3.0293632984e+01,3.0209331989e+01,1.0769111786e+06,1.0799163653e+06
write,14,3.0293637991e+01,3.0208345890e+01,1.0769110006e+06,1.0799516173e+06
write,15,3.0293638945e+01,3.0041574001e+01,1.0769109667e+06,1.0859468282e+06
write,16,3.0293640852e+01,3.0083791971e+01,1.0769108989e+06,1.0844228690e+06
write,17,3.0293638945e+01,3.0167191982e+01,1.0769109667e+06,1.0814248810e+06
write,18,3.0293651104e+01,3.0212251186e+01,1.0769105344e+06,1.0798120206e+06
write,19,3.0293649197e+01,3.0168676853e+01,1.0769106022e+06,1.0813716544e+06
write,20,3.0293656111e+01,3.0089272022e+01,1.0769103564e+06,1.0842253670e+06
write,21,3.0293653965e+01,3.0174702883e+01,1.0769104327e+06,1.0811556994e+06
write,22,3.0293656111e+01,3.0126285076e+01,1.0769103564e+06,1.0828932913e+06
write,23,3.0293657064e+01,3.0086577892e+01,1.0769103225e+06,1.0843224549e+06
write,24,3.0293658018e+01,3.0130752087e+01,1.0769102886e+06,1.0827327478e+06
write,25,3.0293657064e+01,3.0175205231e+01,1.0769103225e+06,1.0811377007e+06
write,26,3.0293651104e+01,3.0175826073e+01,1.0769105344e+06,1.0811154572e+06
write,27,3.0293648958e+01,3.0086292982e+01,1.0769106107e+06,1.0843327232e+06
write,28,3.0293653011e+01,3.0085618019e+01,1.0769104666e+06,1.0843570499e+06
write,29,3.0293648958e+01,3.0084546089e+01,1.0769106107e+06,1.0843956862e+06
write,30,3.0293646097e+01,3.0041579008e+01,1.0769107124e+06,1.0859466472e+06
write,31,3.0293641806e+01,3.0088577986e+01,1.0769108650e+06,1.0842503762e+06
write,32,3.0293642998e+01,3.0135055065e+01,1.0769108226e+06,1.0825781446e+06
write,33,3.0293644905e+01,3.0126552105e+01,1.0769107548e+06,1.0828836930e+06
write,34,3.0293646097e+01,3.0133487940e+01,1.0769107124e+06,1.0826344453e+06
write,35,3.0293642998e+01,3.0215425014e+01,1.0769108226e+06,1.0796985971e+06
write,36,3.0293655872e+01,3.0208239079e+01,1.0769103649e+06,1.0799554358e+06
write,37,3.0293656111e+01,3.0125415087e+01,1.0769103564e+06,1.0829245641e+06
write,38,3.0293656111e+01,3.0134318829e+01,1.0769103564e+06,1.0826045940e+06
write,39,3.0293656111e+01,3.0174257994e+01,1.0769103564e+06,1.0811716400e+06
write,40,3.0293653011e+01,3.0041591167e+01,1.0769104666e+06,1.0859462076e+06
write,41,3.0293652058e+01,3.0168992043e+01,1.0769105005e+06,1.0813603568e+06
write,42,3.0293651104e+01,3.0087291956e+01,1.0769105344e+06,1.0842967206e+06
write,43,3.0293649912e+01,3.0128462076e+01,1.0769105768e+06,1.0828150444e+06
write,44,3.0293638945e+01,3.0041580200e+01,1.0769109667e+06,1.0859466041e+06
write,45,3.0293635845e+01,3.0125204086e+01,1.0769110769e+06,1.0829321490e+06
write,46,3.0293637037e+01,3.0127853870e+01,1.0769110345e+06,1.0828369037e+06
write,47,3.0293637037e+01,3.0041569948e+01,1.0769110345e+06,1.0859469747e+06
write,48,3.0293637991e+01,3.0086013794e+01,1.0769110006e+06,1.0843427854e+06
write,49,3.0293646097e+01,3.0084336996e+01,1.0769107124e+06,1.0844032230e+06
